id,network_id,network_type,physical_network,segmentation_id,is_dynamic,segment_index
5711a275-47ef-4922-8c92-9bea423fa7cb,67d7ab01-c733-4391-9bf4-a6fdc7d11382,gre,,6,0,0
5d6f8131-ebb8-4ef0-be50-84f037fadfd8,fe178706-9942-4600-9224-b2ae7c61db71,gre,,1,0,0
6657115a-4abb-47af-8e8e-8528daa83824,ee45c397-e436-4b5e-b9ee-113bfbf4ffd0,gre,,26,0,0
68c31fad-ef88-47d0-99d8-ec49a03c9bf2,84ba89ec-68fd-4257-80eb-a1c3a65ee594,vlan,trunk,2052,0,0
69796581-1c58-403c-a21e-7579bb5b05b4,5ec0b65f-6115-4525-8093-a8ce01707624,gre,,4,0,0
6a7d136c-28d1-43f2-854e-ab3b4c21c2dd,888bba77-ed12-40b4-a804-d24c88a731cc,gre,,109,0,0
7288edd3-98a0-4a97-ba24-324dd0bd36be,b0c35168-dd4a-43db-9eaf-40f72529d8c8,vlan,trunk,2001,0,0
8144b0c3-1c29-4ea5-a3e3-f31edc56b5ab,d1419216-65f6-4bba-bd77-f35850328822,gre,,41,0,0
849f1332-db7a-4bae-a09e-be6f272baede,4207d69c-903d-48d3-be48-debcb46b3241,vlan,trunk,3000,0,0
850aefbe-2053-473f-a4cb-509a58859679,38bfcc47-5f4d-46c8-9596-fb3a69f64e1e,gre,,13,0,0
8732f845-0947-4c45-b28b-79236d94d477,f185f951-64c6-4d2e-b412-1504f800e20b,gre,,9,0,0
87b8c955-a43e-4a5f-bff6-7b2e0308c85f,2eb56e3e-f49c-49a2-8b82-d10187ed05cd,gre,,5,0,0
8ca8cdd2-63f2-4b18-a86b-7f9c7c8542c4,259e350d-9ea5-4dc5-8a1c-4ab7deef9eec,gre,,57,0,0
8d6a3b8a-326c-489a-bf7a-f0ea7e93ed71,037e1428-06c8-44b3-bd51-6a320330d08c,gre,,10,0,0
8f09c1d6-7db7-47c1-8ec0-97fd8aa2bc1e,99d2d7a0-3a92-4f0d-8e2f-917201477f8b,gre,,3,0,0
9634c759-122f-43e3-8a49-1baa73f703ca,82caefaf-7420-4122-80c4-92e46e9fd658,gre,,79,0,0
98540d42-c9f2-44e4-8c04-d118e25888fc,c859d73e-68b1-47e2-a271-8e2c1cdc979d,gre,,10,0,0
ab7fc3c5-2ad9-4d61-857b-b435c93cee23,e521f9d0-a1bd-4ff4-bc81-78a60dd88fe5,gre,,2,0,0
b572ebd3-9351-44e1-8183-67757d56548a,5f12d2ba-af34-45bf-8118-10fb41d6b5f7,gre,,101,0,0
bfec5bf9-a6ee-4119-8f53-c5b563a71812,7cde47d6-0ae4-4537-9120-444dc3920ff0,gre,,11,0,0
c583d60a-93ab-4a42-9ed9-4e587b1a8551,18b03960-577f-49a4-be38-aafb4e05f3f3,gre,,104,0,0
c8550712-621d-4582-9fb4-80f9ee490033,2fd4865f-ed87-4b56-a1a3-8a20f3275c0d,gre,,137,0,0
d005c79a-1dff-402f-8552-d6eea7561b84,adaf4d7d-da5b-4a9f-b2b7-45074035f7f9,gre,,2,0,0
d3e20774-d214-4cdd-b9f3-8b2eb722f295,9a8f3905-08e1-47df-a376-12d3093c04bc,gre,,121,0,0
d88dea4d-f8cd-4f7f-89b6-c90fc22895b1,d4d68601-45d2-4ed9-9a22-f62b8645223d,gre,,4,0,0
dd33586b-e860-456f-862f-6e5077ab6fc8,6814a543-6ad2-4426-83bc-dd0740dc068a,gre,,18,0,0
e0f58a90-4acb-4a1b-bfa5-c1574757bf4e,6ef825a6-115f-4270-86ca-e3a818b13c14,gre,,20,0,0
e1f1caed-fc73-438f-ad9b-ba52fed4d338,f18bc442-8970-40dd-ad8e-a69f1733cc98,gre,,8,0,0
e60f5ca7-1c57-48d9-bd70-b0df047b5513,85d1052c-e23d-4ecb-bdba-16ebb8265237,gre,,7,0,0
ea0f417c-0c81-461b-a705-81ad4d2e62b0,04dc6fb8-2d9e-4739-9c71-1e3dc9ab6390,gre,,40,0,0
f6478ce0-8e28-44ec-9a87-810d37ca2aab,63dc291f-cabd-4689-9ec8-c0d935c6399e,gre,,95,0,0
f7506aa6-0a24-4a1d-b6d8-2582ca1f8c23,c9e8f307-e1d5-4c06-b464-ef5370ca1d6d,vlan,trunk,9,0,0
fad83f9c-fff2-4170-ba77-dcd63ecb1e88,9eb1cb96-7b96-4734-b99f-e2320fc4e475,gre,,9,0,0
fd961fc1-c324-49bc-8f53-629f0af064d8,b4f80478-cac6-49b2-9485-8d011dc9cb53,gre,,7,0,0
