tenant_id,id,pool_id,subnet_id,address,protocol_port,weight,admin_state_up,provisioning_status,operating_status,name
bfd50153a2e9476f93e33e30e922cd06,71dfbb81-4503-439c-a1b3-3fc66a9a19f6,4b1b8e0d-663b-445a-b130-b409c2f41bf0,2019039a-089f-408c-b080-201a0c5cbe6f,10.111.186.226/8,31582,1,1,ACTIVE,ONLINE,
bfd50153a2e9476f93e33e30e922cd06,7aabf7b0-2542-43c1-becf-433df0a10798,84ed8864-e9d5-436a-b662-4b4e8d4b7893,2019039a-089f-408c-b080-201a0c5cbe6f,10.111.186.226/8,30637,1,1,ACTIVE,ONLINE,
bfd50153a2e9476f93e33e30e922cd06,7e3c7e05-daad-4c5a-b348-5f6c881e26f8,f256a064-1fe7-43b3-ab76-522886bc27d8,2019039a-089f-408c-b080-201a0c5cbe6f,10.174.5.53/8,30062,1,1,ACTIVE,ONLINE,
bfd50153a2e9476f93e33e30e922cd06,85e73a4f-20bf-4060-8be3-badc94cd8886,f256a064-1fe7-43b3-ab76-522886bc27d8,2019039a-089f-408c-b080-201a0c5cbe6f,10.111.186.226/8,30062,1,1,ACTIVE,ONLINE,
bfd50153a2e9476f93e33e30e922cd06,8d36de4e-1c5c-44ce-8157-f85311ba03d8,4b1b8e0d-663b-445a-b130-b409c2f41bf0,2019039a-089f-408c-b080-201a0c5cbe6f,10.154.119.80/8,31582,1,1,ACTIVE,ONLINE,
bfd50153a2e9476f93e33e30e922cd06,b561cbbf-87d5-42ff-92d9-796e826dac36,f256a064-1fe7-43b3-ab76-522886bc27d8,2019039a-089f-408c-b080-201a0c5cbe6f,10.154.119.80/8,30062,1,1,ACTIVE,ONLINE,
98333a1a28e746fa8c629c83a818ad57,bdc46992-264f-4afb-9f23-93136a74ca3a,03c2ef39-04ca-4652-a26e-e790cb7db5ce,0807c5b3-aa6c-4108-8884-7b4948a19178,10.6.159.91/8,31042,1,1,ACTIVE,ONLINE,
bfd50153a2e9476f93e33e30e922cd06,c9d63f33-f016-4044-aced-df86fecfad2b,84ed8864-e9d5-436a-b662-4b4e8d4b7893,2019039a-089f-408c-b080-201a0c5cbe6f,10.171.206.66/8,30637,1,1,ACTIVE,ONLINE,
98333a1a28e746fa8c629c83a818ad57,d15b9a12-9d3b-40be-9414-f0d532a7cce5,03c2ef39-04ca-4652-a26e-e790cb7db5ce,0807c5b3-aa6c-4108-8884-7b4948a19178,10.123.57.224/8,31042,1,1,ACTIVE,ONLINE,
98333a1a28e746fa8c629c83a818ad57,dbdb2a6f-564a-4676-8343-9406c9c2b557,03c2ef39-04ca-4652-a26e-e790cb7db5ce,0807c5b3-aa6c-4108-8884-7b4948a19178,10.60.169.197/8,31042,1,1,ACTIVE,ONLINE,
bfd50153a2e9476f93e33e30e922cd06,f2bab0c3-e5d8-4577-9a7b-7340420dda81,84ed8864-e9d5-436a-b662-4b4e8d4b7893,2019039a-089f-408c-b080-201a0c5cbe6f,10.154.119.80/8,30637,1,1,ACTIVE,ONLINE,
