allocation_pool_id,first_ip,last_ip
455ff839-68cc-497c-80cb-aec8ddd623a8,10.231.103.250/8,10.231.103.250/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.76.94.169/8,10.76.94.169/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.188.210.206/8,10.48.190.229/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.96.219.64/8,10.198.182.104/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.74.238.147/8,10.74.238.147/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.8.56.180/8,10.3.252.84/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.40.200.227/8,10.40.200.227/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.50.128.101/8,10.50.128.101/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.32.130.242/8,10.63.132.46/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.224.184.252/8,10.218.195.232/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.221.23.198/8,10.221.23.198/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.244.66.74/8,10.221.219.204/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.136.21.205/8,10.198.68.14/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.198.199.33/8,10.198.199.33/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.183.70.174/8,10.43.57.101/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.58.188.178/8,10.58.188.178/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.172.84.191/8,10.172.84.191/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.22.187.155/8,10.22.187.155/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.162.102.127/8,10.162.102.127/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.26.147.255/8,10.178.13.162/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.212.253.63/8,10.212.253.63/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.66.211.19/8,10.66.211.19/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.144.6.4/8,10.144.6.4/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.207.166.238/8,10.125.23.135/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.140.193.120/8,10.11.159.85/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.183.121.34/8,10.246.6.93/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.147.226.78/8,10.141.187.126/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.234.252.49/8,10.212.10.189/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.137.74.74/8,10.137.74.74/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.242.111.128/8,10.242.111.128/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.32.210.234/8,10.28.73.75/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.210.18.114/8,10.96.150.31/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.34.67.166/8,10.55.29.6/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.93.205.207/8,10.169.204.26/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.222.3.16/8,10.222.3.16/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.131.217.178/8,10.131.217.178/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.208.137.100/8,10.208.137.100/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.88.87.155/8,10.151.45.85/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.72.145.191/8,10.72.145.191/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.203.191.206/8,10.203.191.206/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.81.61.111/8,10.213.5.116/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.137.32.95/8,10.137.32.95/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.150.189.208/8,10.189.20.123/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.204.28.215/8,10.164.94.167/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.157.116.27/8,10.157.116.27/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.92.170.97/8,10.92.170.97/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.88.173.158/8,10.75.163.43/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.30.21.164/8,10.197.235.178/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.14.229.47/8,10.48.168.65/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.40.206.229/8,10.40.206.229/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.17.8.100/8,10.17.8.100/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.25.131.178/8,10.14.75.199/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.15.110.127/8,10.140.43.3/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.236.204.205/8,10.236.204.205/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.54.183.249/8,10.0.114.247/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.110.121.164/8,10.198.210.67/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.68.20.26/8,10.142.104.208/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.110.235.145/8,10.110.235.145/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.36.253.156/8,10.112.150.37/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.108.139.71/8,10.91.197.150/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.169.252.12/8,10.169.252.12/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.193.178.115/8,10.193.178.115/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.80.175.6/8,10.187.133.34/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.119.124.47/8,10.17.218.58/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.173.81.245/8,10.16.167.18/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.148.153.173/8,10.227.40.55/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.180.109.20/8,10.78.90.103/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.230.240.112/8,10.230.240.112/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.196.117.148/8,10.196.117.148/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.247.105.221/8,10.247.105.221/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.98.239.58/8,10.156.231.207/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.6.61.91/8,10.17.57.85/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.136.220.185/8,10.119.15.117/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.23.105.184/8,10.48.218.168/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.178.72.101/8,10.139.129.53/8
ae6109d3-5562-450e-9dbb-e6b40b3c8886,10.170.178.230/8,10.117.61.111/8
8ef3f5a3-6dd4-41d4-aa32-1ee00002039a,10.135.202.18/8,10.39.216.202/8
569ff367-a88d-4264-a120-0a7df9590fe7,10.147.85.181/8,10.101.177.172/8
32206cb1-51e5-43e3-85b5-b4a9498f4ba0,10.3.42.229/8,10.91.230.4/8
8ae63b0c-9bff-4d37-99ac-cee4c241958a,10.115.129.158/8,10.216.137.103/8
07a675f9-e85b-4204-82d2-15e7c8182a73,10.212.161.77/8,10.223.86.138/8
189eb400-ef8d-4016-9635-fa002c46b890,10.200.135.104/8,10.223.242.172/8
ec4c0e78-6d2d-4317-9c09-32f562a6ae8d,10.241.4.144/8,10.237.149.242/8
e88e61ee-6f6e-4174-88a1-acce5a238961,10.134.87.255/8,10.144.23.247/8
bd458661-08e3-4f8e-ae40-be8a3959e373,10.7.36.139/8,10.80.23.128/8
c16deaee-bdca-4b7e-89c4-841e02faa302,10.108.136.186/8,10.161.92.214/8
6bc957ee-27a3-41ab-88e2-ab9b825424f5,10.86.5.22/8,10.234.100.251/8
c5e2d4da-df21-4fc2-87c2-bb308d16b020,10.86.242.211/8,10.69.113.176/8
399c52ff-0415-429d-ab58-1debafe21b75,10.71.143.119/8,10.241.191.20/8
0e8845e0-2994-4c9e-a1e1-8c4f9e89aad6,10.200.100.102/8,10.192.163.49/8
8841e96d-d84f-4b97-9df9-a0f7243bec63,10.253.0.132/8,10.123.238.229/8
9c14e16b-59b1-4114-8aa2-a16bddf9b25d,10.136.126.129/8,10.6.196.172/8
