tenant_id,id,name,network_id,ip_version,cidr,gateway_ip,enable_dhcp,ipv6_ra_mode,ipv6_address_mode,subnetpool_id,standard_attr_id
bfd50153a2e9476f93e33e30e922cd06,5a4a17a5-301a-4a2b-ac62-15cda54d4dad,helix_cubic,9a8f3905-08e1-47df-a376-12d3093c04bc,4,10.140.101.221/8,10.199.64.236/8,1,,,,24315
5f321cb6f5454443876cfbe22aa1d6d8,5a9a4c02-f5f0-4b87-a48b-c08f6b873fec,forge-prime,5b5cae96-6f01-43b4-865a-369382c484f3,4,10.145.222.112/8,10.204.198.208/8,1,,,,1323
fab98a79c65a47a99d23492c39315927,5e142952-a7f2-40e9-a941-0df00182e08c,spike_drive,82caefaf-7420-4122-80c4-92e46e9fd658,4,10.151.186.223/8,10.183.73.24/8,1,,,,6060
ef0ebc28b4e54d1b818821b2fd5e7511,623773a5-42bb-46ed-9148-374c29fd4c64,spire-strat,d1419216-65f6-4bba-bd77-f35850328822,4,10.145.222.112/8,10.204.198.208/8,1,,,,1324
84d075a4038642f3b592249e4a9cc41a,69924eb1-208f-44f9-8f9f-40c5b56cc1af,scope4,5f12d2ba-af34-45bf-8118-10fb41d6b5f7,4,10.13.81.72/8,,1,,,,1325
6f9adccbd03e4d2186756896957a14bf,76123b94-2ae9-40c4-a4c6-03ee98d081d9,mover_spear,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d,4,10.37.117.235/8,10.51.22.157/8,1,,,,1326
6707cc1c25b14cb6a625ea1d5c06946d,78d951ff-a5df-4a9a-9352-05703e990324,xenon9,f185f951-64c6-4d2e-b412-1504f800e20b,4,10.13.81.72/8,10.35.234.88/8,1,,,,1327
fab98a79c65a47a99d23492c39315927,862e31fa-ce44-4f58-95b7-9bf1193cb5c9,quark0,05e04d8f-42ab-4610-845a-e50c515bf89a,4,10.151.186.223/8,10.183.73.24/8,1,,,,59606
d5a33464413740e19dbe588144de18d0,889127c0-f07d-4494-a1a5-14293ef6bca5,zenta-delta,adaf4d7d-da5b-4a9f-b2b7-45074035f7f9,4,10.59.247.49/8,10.210.172.3/8,1,,,,1328
d5a33464413740e19dbe588144de18d0,890e8f54-c93f-4f2c-9e63-5a1b3d70d9d6,galax-phase,99d2d7a0-3a92-4f0d-8e2f-917201477f8b,4,10.82.4.115/8,10.77.211.184/8,1,,,,1329
09ad05432f914e26bc417bf58f1cb4d2,94d5f7e2-c383-4532-993d-ed6f9a9bb771,comet7-49,d8d71cfe-9924-4521-9c23-e0eb4ec92747,4,10.65.25.0/8,,1,,,,14632
ecc28eb4ccc84ea497c8770ec9e7f0db,95c091f0-34e6-42a0-8c45-936cccba55c7,shine_vortex,7cde47d6-0ae4-4537-9120-444dc3920ff0,4,10.118.65.134/8,10.61.127.33/8,1,,,,1331
98333a1a28e746fa8c629c83a818ad57,97c5b573-621a-4d16-8c90-12f7d411d7e9,lyric_quark,5ec0b65f-6115-4525-8093-a8ce01707624,4,10.45.225.109/8,,1,,,,1332
db95ae8358bd4566ba2e38702a128b6b,9a5dbe03-34ac-4c93-89b8-cd16bb198697,glyph_mover,f18bc442-8970-40dd-ad8e-a69f1733cc98,4,10.109.15.13/8,10.24.95.177/8,1,,,,1333
6f9adccbd03e4d2186756896957a14bf,9ce2600b-6566-4c81-9370-9b758d5f7ccc,spark4,4207d69c-903d-48d3-be48-debcb46b3241,4,10.79.27.247/8,10.146.31.243/8,1,,,,20750
fab98a79c65a47a99d23492c39315927,9d67653d-0e90-4f72-a9ab-162930b79267,flare_strat,354ce497-50a3-42cc-9cd7-e6fe499f7211,4,10.112.136.215/8,10.241.214.72/8,1,,,,59602
98333a1a28e746fa8c629c83a818ad57,b20e102d-9334-447d-8bfa-878485d13663,gamma3_helix,2fd4865f-ed87-4b56-a1a3-8a20f3275c0d,4,10.112.136.215/8,,0,,,,54184
5f321cb6f5454443876cfbe22aa1d6d8,b57b0a8f-0a00-47e7-8b0c-2e4728f93533,spire7,67d7ab01-c733-4391-9bf4-a6fdc7d11382,4,10.232.183.159/8,10.87.216.39/8,1,,,,1334
70b2507b8cc44fcb917ddfb85f5079d9,bef6a0f5-1da7-4499-b9fc-8456b4a593bc,spark4,b4f80478-cac6-49b2-9485-8d011dc9cb53,4,10.139.203.124/8,10.226.230.46/8,1,,,,1335
17ea94ad74b64b9d92f4888336a598c7,bfa4c406-630d-4b28-955f-d46ada5d4c07,spark9-72,e521f9d0-a1bd-4ff4-bc81-78a60dd88fe5,4,10.112.136.215/8,,0,,,,1336
d5a33464413740e19dbe588144de18d0,c196b93b-6df3-400c-a02a-333ce0623f01,orbit4,d4d68601-45d2-4ed9-9a22-f62b8645223d,4,10.75.91.253/8,10.29.52.67/8,1,,,,1337
3a3dd8971d2e4f6abf826e5dd0362895,c42d1fec-ca09-4b4c-9763-3fd7aaf36a25,flick-starx,28bdd9ff-3e79-45ac-9831-f61a8ac71ab7,4,10.131.134.151/8,10.28.50.81/8,1,,,,25012
2225894827c04000a2b8e087256dacc7,c8dbe01f-3465-46f8-a3b0-20436272a81a,neon5,888bba77-ed12-40b4-a804-d24c88a731cc,4,10.147.125.107/8,10.42.191.118/8,1,,,,1338
4e101cf5264b4e739b7b5ebe0f6b5c68,d23b3313-7e36-47a0-8beb-3c80bd26afaa,meter4,a4d00c60-f005-400e-a24c-1bf8b8308f98,4,10.172.178.110/8,,1,,,,1339
09ad05432f914e26bc417bf58f1cb4d2,d607b3ee-92c6-4c55-933b-ac08aa0aa08f,meter-netix,76ce01f0-fa14-4a5d-9808-009709a72219,4,10.51.174.76/8,10.160.126.213/8,1,,,,5914
daa18fdafdf04b5eac18e04aa19ee214,e0ac71ab-9f59-4f6a-93c7-43b431f4382b,helio-drive,84ba89ec-68fd-4257-80eb-a1c3a65ee594,6,10.18.76.76/8,10.87.234.209/8,1,dhcpv6-stateful,dhcpv6-stateful,,33993
98333a1a28e746fa8c629c83a818ad57,e8da8ec5-364b-4a31-afaf-f68a206b7846,orbit-drive,b3d6c27a-a9bb-4521-b5de-4d65eb7490dc,4,10.53.228.11/8,10.25.176.78/8,1,,,,1340
daa18fdafdf04b5eac18e04aa19ee214,faee7948-a17f-4e58-a557-7ea1219c3b5f,axiom8,84ba89ec-68fd-4257-80eb-a1c3a65ee594,4,10.44.3.58/8,10.196.213.153/8,1,,,,1341
