tenant_id,id,name,status,admin_state_up,mtu,vlan_transparent,standard_attr_id,availability_zone_hints
5f321cb6f5454443876cfbe22aa1d6d8,67d7ab01-c733-4391-9bf4-a6fdc7d11382,flux-omega,ACTIVE,1,0.0,,1290,
ccffeac313314388922e3c1006ee9871,6814a543-6ad2-4426-83bc-dd0740dc068a,meter4,ACTIVE,1,8958.0,,14014,[]
09ad05432f914e26bc417bf58f1cb4d2,6ef825a6-115f-4270-86ca-e3a818b13c14,point-array,ACTIVE,1,8958.0,,7648,[]
09ad05432f914e26bc417bf58f1cb4d2,76ce01f0-fa14-4a5d-9808-009709a72219,flick_track,ACTIVE,1,9000.0,,5898,[]
ecc28eb4ccc84ea497c8770ec9e7f0db,7cde47d6-0ae4-4537-9120-444dc3920ff0,axiom0,ACTIVE,1,0.0,,1291,
fab98a79c65a47a99d23492c39315927,82caefaf-7420-4122-80c4-92e46e9fd658,space,ACTIVE,1,1458.0,,6058,[]
daa18fdafdf04b5eac18e04aa19ee214,84ba89ec-68fd-4257-80eb-a1c3a65ee594,scope_drift,ACTIVE,1,,,1292,
939a950b58f140b695f0da6c200e805c,85d1052c-e23d-4ecb-bdba-16ebb8265237,meter_mover,ACTIVE,1,,,1293,
2225894827c04000a2b8e087256dacc7,888bba77-ed12-40b4-a804-d24c88a731cc,grav9,ACTIVE,1,0.0,,1294,
09ad05432f914e26bc417bf58f1cb4d2,8ad137b5-cc2b-44c7-9db0-e4f81d978d0c,neon7_galax,ACTIVE,1,0.0,,1295,
d00c4471fe5945f69795d50f7f32981e,92d37d16-07e5-4387-8ab0-ce4a90a998ea,grav1_star,ACTIVE,1,8958.0,,50203,[]
d5a33464413740e19dbe588144de18d0,99d2d7a0-3a92-4f0d-8e2f-917201477f8b,celes5,ACTIVE,1,,,1296,
bfd50153a2e9476f93e33e30e922cd06,9a8f3905-08e1-47df-a376-12d3093c04bc,flare_align,ACTIVE,1,8958.0,,24312,[]
db95ae8358bd4566ba2e38702a128b6b,9eb1cb96-7b96-4734-b99f-e2320fc4e475,omni_space,ACTIVE,1,,,1297,
4e101cf5264b4e739b7b5ebe0f6b5c68,a4d00c60-f005-400e-a24c-1bf8b8308f98,meter4,ACTIVE,1,,,1298,
d5a33464413740e19dbe588144de18d0,adaf4d7d-da5b-4a9f-b2b7-45074035f7f9,point9_twist,ACTIVE,1,,,1299,
7691c9955ce1444ab366d041f5bdf33c,b0c35168-dd4a-43db-9eaf-40f72529d8c8,light-quark,ACTIVE,1,9134.0,,64760,[]
98333a1a28e746fa8c629c83a818ad57,b3d6c27a-a9bb-4521-b5de-4d65eb7490dc,beam6_mover,ACTIVE,1,,,1300,
70b2507b8cc44fcb917ddfb85f5079d9,b4f80478-cac6-49b2-9485-8d011dc9cb53,spark4,ACTIVE,1,,,1301,
d60e461ee9034977b4717d79bba2f77e,c859d73e-68b1-47e2-a271-8e2c1cdc979d,warp,ACTIVE,1,0.0,,1302,
70b2507b8cc44fcb917ddfb85f5079d9,c9e8f307-e1d5-4c06-b464-ef5370ca1d6d,proto,ACTIVE,1,1500.0,,16162,[]
98333a1a28e746fa8c629c83a818ad57,cc0bf539-feba-46fe-a2e3-f04bfe1eef35,spike4,ACTIVE,1,,,1303,
ef0ebc28b4e54d1b818821b2fd5e7511,d1419216-65f6-4bba-bd77-f35850328822,plasm8-93,ACTIVE,1,0.0,,1304,
d5a33464413740e19dbe588144de18d0,d4d68601-45d2-4ed9-9a22-f62b8645223d,glyph,ACTIVE,1,,,1305,
09ad05432f914e26bc417bf58f1cb4d2,d8d71cfe-9924-4521-9c23-e0eb4ec92747,comet7-49,ACTIVE,1,8958.0,,14631,[]
09ad05432f914e26bc417bf58f1cb4d2,dfdf2f92-8c4b-4a49-9641-4d5d77fa135b,track,ACTIVE,1,0.0,,1306,
17ea94ad74b64b9d92f4888336a598c7,e521f9d0-a1bd-4ff4-bc81-78a60dd88fe5,gamut,ACTIVE,1,,,1307,
98333a1a28e746fa8c629c83a818ad57,ee45c397-e436-4b5e-b9ee-113bfbf4ffd0,pulse-star-arrow,ACTIVE,1,8958.0,,54728,[]
6707cc1c25b14cb6a625ea1d5c06946d,f185f951-64c6-4d2e-b412-1504f800e20b,nexus_blaze,ACTIVE,1,0.0,,1308,
db95ae8358bd4566ba2e38702a128b6b,f18bc442-8970-40dd-ad8e-a69f1733cc98,forge5,ACTIVE,1,,,1309,
70b2507b8cc44fcb917ddfb85f5079d9,f29a09a3-0e98-498f-8493-ac69378220a0,shift3,ACTIVE,1,8958.0,,44774,[]
17ea94ad74b64b9d92f4888336a598c7,fe178706-9942-4600-9224-b2ae7c61db71,twist0-28,ACTIVE,1,,,1311,
