id,subnet_id,first_ip,last_ip
9c14e16b-59b1-4114-8aa2-a16bddf9b25d,e0ac71ab-9f59-4f6a-93c7-43b431f4382b,10.120.195.112/8,10.6.196.172/8
9ed39179-6fb6-4dcb-aa1d-d85dbf47a90b,faee7948-a17f-4e58-a557-7ea1219c3b5f,10.72.174.11/8,10.164.202.45/8
9f849fa8-dcbb-47cb-825a-d33106edd3fa,69924eb1-208f-44f9-8f9f-40c5b56cc1af,10.172.23.168/8,10.61.209.226/8
ae6109d3-5562-450e-9dbb-e6b40b3c8886,36ad083d-c3cc-443f-8821-c85601c10084,10.79.51.227/8,10.117.61.111/8
b2fffa2a-1b31-4acf-92f2-2c41e1d5be08,94d5f7e2-c383-4532-993d-ed6f9a9bb771,10.173.225.92/8,10.16.20.109/8
b66b54e8-39c5-45c2-b432-c3b97aacf474,bfa4c406-630d-4b28-955f-d46ada5d4c07,10.150.64.113/8,10.128.178.118/8
bd458661-08e3-4f8e-ae40-be8a3959e373,d607b3ee-92c6-4c55-933b-ac08aa0aa08f,10.8.165.165/8,10.80.23.128/8
bd49087a-73da-453b-944f-96db35b3bc1b,4ab2d89a-536b-4ec7-a8a2-df853a5b65e3,10.55.50.212/8,10.26.220.146/8
c16562ef-a48d-4189-a672-7ae1129203e7,9a5dbe03-34ac-4c93-89b8-cd16bb198697,10.30.33.48/8,10.20.2.132/8
c16deaee-bdca-4b7e-89c4-841e02faa302,5a9a4c02-f5f0-4b87-a48b-c08f6b873fec,10.5.48.112/8,10.161.92.214/8
c1805089-995e-40aa-a275-df98cdc50a67,4fbfd587-0fdf-494d-8a79-0ce73ff4d055,10.160.0.210/8,10.211.92.37/8
c2e2303f-cf26-477e-863a-ee30ca777c66,bef6a0f5-1da7-4499-b9fc-8456b4a593bc,10.91.135.163/8,10.224.71.35/8
c51be380-8316-4ef7-a5c9-8767fda6f9a8,9d67653d-0e90-4f72-a9ab-162930b79267,10.150.64.113/8,10.103.41.89/8
c5e2d4da-df21-4fc2-87c2-bb308d16b020,1e360a1e-339a-4dc7-a250-28c31fcd905a,10.112.59.229/8,10.69.113.176/8
ceb2baeb-54ec-4a05-b29e-e80ef68cfe00,5e142952-a7f2-40e9-a941-0df00182e08c,10.103.209.35/8,10.104.153.88/8
dd308e20-c0e8-4e3a-bcb2-3f365ec14898,37f62d26-a556-4177-8d7b-fe5f016a37a3,10.150.64.113/8,10.128.178.118/8
de38c287-2557-4652-ae97-f49b652a1005,0814cd95-6c95-4669-8415-e555344bb15b,10.40.209.248/8,10.13.139.247/8
e814b7f9-9a94-49d2-9ee6-7975f4bb3752,2019039a-089f-408c-b080-201a0c5cbe6f,10.10.33.226/8,10.8.222.32/8
e88e61ee-6f6e-4174-88a1-acce5a238961,97c5b573-621a-4d16-8c90-12f7d411d7e9,10.237.223.220/8,10.144.23.247/8
ec4c0e78-6d2d-4317-9c09-32f562a6ae8d,25e390e6-3a89-42d7-a5e8-c4da22edc587,10.156.147.132/8,10.237.149.242/8
f0a1a550-63b1-48e6-aec8-37577ad646e8,9ce2600b-6566-4c81-9370-9b758d5f7ccc,10.75.231.144/8,10.75.231.144/8
f2c784e3-2b56-4fca-b9d2-f5432b4fbce3,c8dbe01f-3465-46f8-a3b0-20436272a81a,10.148.172.254/8,10.179.7.202/8
