Region,Site,Layer/Assemblage/Context,Culture,Lab code,ProjCode,date,error,Material,Species,Marine?,ΔR,ΔR error,% marine,Cal. BC 1 sigma,Cal. BC 1 sigma,Cal. BC 2 sigma,Cal. BC 2 sigma,Latitude,Longitude,Notes,reference
Sicily,Grotta dell'Uzzo,"Trench F, spit 18",Mesolithic,OxA-13419,19,"8,745",90,Marine shell,,yes,88,50,,,,,,12.786510,38.110100,,Lo Veto & Martini 2016
Sicily,Grotta di Cala dei Genovesi,,Mesolithic,OxA-14257,20,"8,166",90,Shell,Monodonta turbinata,yes,88,50,,,,,,12.322450,38.002272,,Mannino & Thomas 2007
Southern Italy,Grotta la Porta,,Mesolithic,Pi-10,21,"8,619",90,Marine shell,Patella,yes,131,30,,,,,,14.492000,40.628260,,Skeates 1994
Sicily,Gruppo dell'Isolidda,,Mesolithic,OxA-18070,22,"8,620",90,Marine shell,,yes,88,50,,,,,,12.735450,38.146640,,Lo Veto & Martini 2016
Sicily,Gruppo dell'Isolidda,,Mesolithic,OxA-18069,23,"8,685",90,Marine shell,,yes,88,50,,,,,,12.735450,38.146640,,Lo Veto & Martini 2016
Sicily,Gruppo dell'Isolidda,,Mesolithic,OxA-18071,24,"8,785",90,Marine shell,,yes,88,50,,,,,,12.735450,38.146640,,Lo Veto & Martini 2016
Corsica,A Petra,,Neolithic,LTL1154A,25,"6,064",90,Unknown,,,,,,,,,,8.707231,42.492600,,Tozzi & Weiss 2007
Corsica,A Petra,Layer 2 A2,Neolithic,Ly-3008,26,"6,255",90,Charcoal,,,,,,,,,,8.707231,42.492600,,Lugliè 2018
Corsica,A Petra,Layer 2 C2,Neolithic,Ly-3005,27,"6,320",90,Charcoal,,,,,,,,,,8.707231,42.492600,,Lugliè 2018
Corsica,A Petra,"Layer 2, D3",Neolithic,Ly-3007,28,"6,370",90,Charcoal,,,,,,,,,,8.707231,42.492600,,Lugliè 2018
Corsica,A Petra,II b,Neolithic,Ly-3006,29,"6,400",90,Charcoal,,,,,,,,,,8.707231,42.492600,,Lugliè 2018
Corsica,A Petra,Layer 2 C1,Neolithic,Ly-3009,30,"6,420",90,Charcoal,,,,,,,,,,8.707231,42.492600,,Lugliè 2018
Corsica,A Petra,,Neolithic,?,31,"6,430",90,Unknown,,,,,,,,,,8.707231,42.492600,,Tozzi & Weiss 2007
Corsica,A Petra,Layer 2c,Neolithic,GIF-7368,32,"6,430",90,Charcoal,,,,,,,,,,8.800000,41.860000,,Lugliè 2018
Corsica,A Revellata,"Sondage 1, layer 3",Neolithic,Ly-6085,33,"6,280",90,Charcoal,,,,,,,,,,8.720000,42.580000,,Lugliè 2018
Southern Italy,Acconia,,Neolithic,P-2949,34,"6,710",90,Unknown,,,,,,,,,,16.583300,38.900000,,Pinhasi et al 2005
Northern Italy,Ala Le Corone,US 14,Mesolithic,KIA30570,35,"6,627",90,Charcoal,,,,,,,,,,11.005173,45.762564,,Nicolis et al 2007
Northern Italy,Alba,US 72/A,Neolithic,GX-20845,36,"6,030",90,charcoal,,,,,,,,,,8.033300,44.700000,,Pinhasi et al 2005
Corsica,Araguina Sennola,"Hearth F3, level XVIIe",Neolithic,GIF-2324,37,"6,430",90,Charcoal,,,,,,,,,,9.166667,41.383333,,Lugliè 2018
Corsica,Araguina Sennola,"Heart, level XVII",Neolithic,GIF-2325,38,"6,650",90,Charcoal,,,,,,,,,,9.166667,41.383333,,Lugliè 2018
Corsica,Araguina Sennola,"Hearth, level XVIIa",Mesolithic,GIF-2705,39,"8,520",90,Charcoal,,,,,,,,,,9.166667,41.383333,,Lugliè 2018
Northern Italy,Arama dell'Aquila,Skeleton III,Neolithic,OxA-V-2365-34,40,"6,029",90,Bone,Homo sapiens,,,,,,,,,8.396494,44.316792,,Sparacello et al 2019
Northern Italy,Arama dell'Aquila,,Neolithic,Lyon-14596,41,"6,095",90,Bone,Homo sapiens,,,,,,,,,8.396494,44.316792,,Sparacello et al 2019
Northern Italy,Arama dell'Aquila,,Neolithic,Lyon-14591,42,"6,105",90,Bone,Homo sapiens,,,,,,,,,8.396494,44.316792,,Sparacello et al 2019
Northern Italy,Arama dell'Aquila,Skeleton IV,Neolithic,OxA-V-2365-32,43,"6,118",90,Bone,Homo sapiens,,,,,,,,,8.396494,44.316792,,Sparacello et al 2019
Northern Italy,Arama dell'Aquila,Skeleton II,Neolithic,OxA-V-2365-35,44,"6,155",90,Bone,Homo sapiens,,,,,,,,,8.396494,44.316792,,Sparacello et al 2019
Northern Italy,Arama dell'Aquila,"Spit 3, underneath heart 5",Neolithic,Bln-3450,45,"6,240",90,charcoal,,,,,,,,,,8.396494,44.316792,,Pinhasi et al 2005
Northern Italy,Arama dell'Aquila,,Neolithic,GrA-38257,46,"6,315",90,Bone,Homo sapiens,,,,,,,,,8.396494,44.316792,,Biagi & Starnini 2016
Northern Italy,Arama dell'Aquila,Skeleton I,Neolithic,OxA-V-2365-36,47,"6,318",90,Bone,Homo sapiens,,,,,,,,,8.396494,44.316792,,Biagi & Starnini 2016
Northern Italy,Arama dell'Aquila,,Neolithic,GrM-14531,48,"6,447",90,Bone,Homo sapiens,,,,,,,,,8.396494,44.316792,,Sparacello et al 2019
Northern Italy,Arama dell'Aquila,,Neolithic,GrM-15910,49,"6,470",90,Bone,Homo sapiens,,,,,,,,,8.396494,44.316792,,Sparacello et al 2019
Northern Italy,Arama dell'Aquila,Layer 7,Neolithic,OxA-V-2365-50,50,"6,669",90,Bone,Homo sapiens,,,,,,,,,8.396494,44.316792,,Biagi & Starnini 2016
Northern Italy,Arama dell'Aquila,,Neolithic,Lyon-14595,51,"6,670",90,Bone,Homo sapiens,,,,,,,,,8.396494,44.316792,,Sparacello et al 2019
Northern Italy,Arama dell'Aquila,,Neolithic,Lyon-14594,52,"6,675",90,Bone,Homo sapiens,,,,,,,,,8.396494,44.316792,,Sparacello et al 2019
Northern Italy,Arama dell'Aquila,"Skeleton V, child",Neolithic,OxA-V-2365-31,53,"6,678",90,Bone,Homo sapiens,,,,,,,,,8.396494,44.316792,,Biagi & Starnini 2016
Northern Italy,Arama dell'Aquila,,Neolithic,Lyon-14590,54,"6,770",90,Bone,Homo sapiens,,,,,,,,,8.396494,44.316792,,Sparacello et al 2019
Northern Italy,Arama dell'Aquila,,Neolithic,Lyon-14592,55,"6,825",90,Bone,Homo sapiens,,,,,,,,,8.396494,44.316792,,Sparacello et al 2019
Northern Italy,Arama dell'Aquila,,Neolithic,Lyon-14593,56,"6,830",90,Bone,Homo sapiens,,,,,,,,,8.396494,44.316792,,Sparacello et al 2019
Northern Italy,Arene Candide,AC layer 24C,Neolithic,Beta-48691,57,"6,000",90,"collagen, bone",Cervus elaphus,,,,,,,,,8.328223,44.162293,,Maggi & Chiella 1999
Northern Italy,Arene Candide,"Layer 13, A/D-1/4",Neolithic,MC-752,58,"6,000",90,charcoal,,,,,,,,,,8.328223,44.162293,,Skeates 1994
Northern Italy,Arene Candide,,Neolithic,Beta-48692,59,"6,010",90,"collagen, bone",Bos,,,,,,,,,8.328223,44.162293,,Maggi & Chiella 1999
Northern Italy,Arene Candide,"AC layer 24G, Gb16",Neolithic,Beta-60688,60,"6,010",90,charcoal,,,,,,,,,,8.328223,44.162293,,Maggi & Chiella 1999
Northern Italy,Arene Candide,"layer 26G, Gb19; C26G",Neolithic,Beta-60689,61,"6,050",90,charcoal,,,,,,,,,,8.328223,44.162293,,"Manen, C."
Northern Italy,Arene Candide,,Neolithic,LJ-4142,62,"6,070",90,charcoal,,,,,,,,,,8.328223,44.162293,,Allegri et al 1987
Northern Italy,Arene Candide,,Neolithic,Beta-60707,63,"6,090",90,Soil,,,,,,,,,,8.328223,44.162293,,Skeates & Whitehouse 1994
Northern Italy,Arene Candide,,Neolithic,LJ-4140,64,"6,090",90,charcoal,,,,,,,,,,8.328223,44.162293,,Allegri et al 1987
Northern Italy,Arene Candide,T. 2? AC_6622.1,Neolithic,GrM-13679,65,"6,135",90,Bone,Homo sapiens,,,,,,,,,8.328223,44.162293,,Sparacello et al 2019
Northern Italy,Arene Candide,,Neolithic,Beta-60690,66,"6,140",90,charcoal,,,,,,,,,,8.328223,44.162293,,"Manen, C."
Northern Italy,Arene Candide,T. 2 AC T2 Tinè,Neolithic,GrM-16975,67,"6,145",90,Bone,Homo sapiens,,,,,,,,,8.328223,44.162293,,Sparacello et al 2019
Northern Italy,Arene Candide,"Cf. Phase AC4\, US27C",Neolithic,Beta-66552,68,"6,150",90,charcoal,Phillirea,,,,,,,,,8.328223,44.162293,,"Manen, C."
Northern Italy,Arene Candide,"AC layer 13A, R3",Neolithic,UB-2420,69,"6,205",90,charcoal,,,,,,,,,,8.328223,44.162293,,Skeates 1994
Northern Italy,Arene Candide,US13,Neolithic,LJ-4141,70,"6,220",90,charcoal,,,,,,,,,,8.328223,44.162293,,Allegri et al 1987
Northern Italy,Arene Candide,AC C25-26,Neolithic,R-101,71,"6,220",90,charcoal,,,,,,,,,,8.328223,44.162293,,"Manen, C."
Northern Italy,Arene Candide,,Neolithic,LJ-4139,72,"6,230",90,charcoal,,,,,,,,,,8.328223,44.162293,,Allegri et al 1987
Northern Italy,Arene Candide,"AC layer 24G1, G1c15",Neolithic,Beta-60687,73,"6,240",90,charcoal,,,,,,,,,,8.328223,44.162293,,Maggi & Chiella 1999
Northern Italy,Arene Candide,"Phase AC3, US312, #A",Neolithic,LTL-16680A,74,"6,271",90,Bone,Capra hircus,,,,,,,,,8.328223,44.162293,,Binder et al
Northern Italy,Arene Candide,AC layer 14,Neolithic,UB-2422,75,"6,345",90,charcoal,,,,,,,,,,8.328223,44.162293,,Maggi & Chiella 1999
Northern Italy,Arene Candide,AC layer 26ABD,Neolithic,Beta-66551,76,"6,350",90,charcoal,Quercus caducifolia,,,,,,,,,8.328223,44.162293,,"Manen, C."
Northern Italy,Arene Candide,"Phase AC3, US9B",Neolithic,Beta-109619,77,"6,370",90,Charcoal,Rhamnus,,,,,,,,,8.328223,44.162293,,Binder et al
Northern Italy,Arene Candide,"Cf. Phase AC3, US26, #Cardial pot",Neolithic,LTL-6004A,78,"6,446",90,Charcoal,Triticum dicoccum,,,,,,,,,8.328223,44.162293,,Binder et al
Northern Italy,Arene Candide,,Neolithic,Pi-27bis,79,"6,487",90,Unknown,,,,,,,,,,8.328223,44.162293,,"Manen, C."
Northern Italy,Arene Candide,AC layer 14,Neolithic,LJ-4144,80,"6,490",90,charcoal,,,,,,,,,,8.328223,44.162293,,"Manen, C."
Northern Italy,Arene Candide,"Phase AC3, US312, #B",Neolithic,LTL-16681A,81,"6,623",90,Bone,Bos taurus,,,,,,,,,8.328223,44.162293,,Binder et al
Northern Italy,Arene Candide,"Phase AC2, US9Bbase",Neolithic,Beta-170555,82,"6,700",90,Charcoal,Euphorbia,,,,,,,,,8.328223,44.162293,,Binder et al
Northern Italy,Arene Candide,AC layer 15,Neolithic,UB-2424,83,"6,700",90,charcoal,,,,,,,,,,8.328223,44.162293,,"Manen, C."
Northern Italy,Arene Candide,"Phase AC1, US351A",Neolithic,LTL-15946A,84,"6,750",90,Bone,Vitis vinifera,,,,,,,,,8.328223,44.162293,,Binder et al
Northern Italy,Arene Candide,"Phase AC3, US306, #B",Neolithic,LTL-16678A,85,"6,751",90,Bone,Capra hircus,,,,,,,,,8.328223,44.162293,,Binder et al
Northern Italy,Arene Candide,"Phase AC1, US10",Neolithic,OxA-23072,86,"6,778",90,Seeds,Triticum dicoccum,,,,,,,,,8.328223,44.162293,,Biagi & Starnini 2016
Northern Italy,Arene Candide,"Phase AC1, US10",Neolithic,Beta-110542,87,"6,830",90,Seeds,Hordeum,,,,,,,,,8.328223,44.162293,,Biagi & Starnini 2016
Northern Italy,Arene Candide,"Phase AC1, US347",Neolithic,LTL-15943A,88,"6,834",90,Bone,Ovis aries,,,,,,,,,8.328223,44.162293,,Binder et al
Northern Italy,Arene Candide,"Phase AC2, US330",Neolithic,LTL-15947A,89,"6,861",90,Bone,Ova aries,,,,,,,,,8.328223,44.162293,,Binder et al
Northern Italy,Arene Candide,"Phase AC1, US360",Neolithic,LTL-15944A,90,"6,864",90,Bone,Ovis aries,,,,,,,,,8.328223,44.162293,,Binder et al
Northern Italy,Arene Candide,AC layer 14 N2,Neolithic,LJ-4143,91,"6,870",90,charcoal,,,,,,,,,,8.328223,44.162293,,"Manen, C."
Northern Italy,Arene Candide,"Cf. Phase AC1\, US27G",Neolithic,Beta-66553,92,"6,880",90,charcoal,Pistacia terebintus,,,,,,,,,8.328223,44.162293,,"Manen, C."
Northern Italy,Arene Candide,AC layers 14-15,Neolithic,LJ-4143bis,93,"6,910",90,Unknown,,,,,,,,,,8.328223,44.162293,,"Manen, C."
Northern Italy,Arene Candide,,Neolithic,UB-2423,94,"6,980",90,Unknown,,,,,,,,,,8.328223,44.162293,,Pinhasi et al 2005
Northern Italy,Arma dello Stefanin,C2,Mesolithic,Bln-3276,95,"6,610",90,Charcoal,,,,,,,,,,8.265058,44.288800,,Pinhasi et al 2005
Northern Italy,Arma dello Stefanin,Layer IV (upper),Mesolithic,R-109,96,"7,800",90,Charcoal,,,,,,,,,,8.265058,44.288800,,Skeates 1994
Northern Italy,Arma dello Stefanin,Layer 5,Mesolithic,R-148,97,"8,100",90,Charcoal,,,,,,,,,,8.265058,44.288800,,Skeates 1994
Northern Italy,Arma dello Stefanin,Level 5,Mesolithic,R-126,98,"8,400",90,Charcoal,,,,,,,,,,8.265058,44.288800,,Skeates 1994
Northern Italy,Arma di Nasino,,Neolithic,R-263,99,"6,140",90,charcoal,,,,,,,,,,8.019247,44.132030,,Bagolini & Biagi 1990
Northern Italy,Arma di Nasino,,Neolithic,R-265,100,"6,280",90,charcoal,,,,,,,,,,8.019247,44.132030,,Bagolini & Biagi 1990
Northern Italy,Arma di Nasino,,Neolithic,R-313A,101,"6,400",90,charcoal,,,,,,,,,,8.019247,44.132030,,Bagolini & Biagi 1990
Northern Italy,Arma di Nasino,"VIII-66, hearth, lower level layer VIII",Neolithic,R-313,102,"6,420",90,charcoal,,,,,,,,,,8.019247,44.132030,,Pinhasi et al 2005
Northern Italy,Arma di Nasino,,Neolithic,R-267,103,"6,470",90,charcoal,,,,,,,,,,8.019247,44.132030,,Bagolini & Biagi 1990
Northern Italy,Arma di Nasino,,Neolithic,F-7,104,"6,010",90,charcoal,,,,,,,,,,8.033300,44.116700,,"Manen, C."
Northern Italy,Arma di Nasino,,Neolithic,R-316,105,"6,015",90,charcoal,,,,,,,,,,8.033300,44.116700,,Bagolini & Biagi 1990
Northern Italy,Arma di Nasino,,Neolithic,F-8,106,"6,050",90,charcoal,,,,,,,,,,8.033300,44.116700,,"Manen, C."
Northern Italy,Arma di Nasino,,Neolithic,R-315,107,"6,280",90,charcoal,,,,,,,,,,8.033300,44.116700,,Bagolini & Biagi 1990
Northern Italy,Arma di Nasino,,Mesolithic,Beta-76823,108,"7,870",90,Bone,Homo sapiens,,,,,,,,,8.033300,44.116700,,Martínez-Grau et al 2020
Southern Italy,Balsignano,Structure 3,Neolithic,LTL-139A,109,"6,148",90,Unknown,,,,,,,,,,16.797277,41.064307,,Fiorentino et al 2013
Southern Italy,Balsignano,Hut structure 2,Neolithic,LTL-140A,110,"6,523",90,Unknown,,,,,,,,,,16.797277,41.064307,,Fiorentino et al 2013
Southern Italy,Balsignano,Burial 3,Neolithic,KIA*,111,"6,565",90,Unknown,,,,,,,,,,16.797277,41.064307,,Fiorentino et al 2013
Southern Italy,Balsignano,Burial 3,Neolithic,KIA*,112,"6,602",90,Unknown,,,,,,,,,,16.797277,41.064307,,Fiorentino et al 2013
Corsica,Basi,"Site 1, level 7",Mesolithic,GIF-1851,113,"7,700",90,Charcoal,,,,,,,,,,8.850000,41.740000,,Lugliè 2018
Northern Italy,Bassinale,,Mesolithic,GrN-20886,114,"6,220",90,charcoal,,,,,,,,,,10.238324,45.837323,,Skeates & Whitehouse 1998
Northern Italy,Bazzarola,,Neolithic,BAZZ 17,115,"6,170",90,Charcoal,Corylus avellana ,,,,,,,,,10.654794,44.678799,,Conati-Barbaro 2019
Northern Italy,Bazzarola,,Neolithic,BAZZ 13,116,"6,280",90,Charcoal,,,,,,,,,,10.654794,44.678799,,Conati-Barbaro 2019
Northern Italy,Bazzarola,,Neolithic,BAZZ 14,117,"6,390",90,Charcoal,Corlus avellana,,,,,,,,,10.654794,44.678799,,Conati-Barbaro 2019
Northern Italy,Bergeggi,BER 1172,Neolithic,GrM-16987,118,"6,065",90,Bone,Homo sapiens,,,,,,,,,8.439456,44.247911,,Sparacello et al 2019
Southern Italy,Bevilacqua,,Neolithic,P-3047,119,"6,430",90,Unknown,,,,,,,,,,16.610000,38.820000,,Pinhasi et al 2005
Northern Italy,"Bologna, via Andrea Costa",,Neolithic,LTL2427A,120,"6,219",90,Bone,,,,,,,,,,11.314755,44.494824,,Bernabò Brea et al 2017
Northern Italy,Camere,,Neolithic,GrM-13518,121,"6,146",90,Bone,Homo sapiens,,,,,,,,,8.062356,44.098087,,Sparacello et al 2019
Northern Italy,Campègine,,Neolithic,GX29088,122,"6,490",90,Peat,,,,,,,,,,10.620400,44.642550,,Bernabo Brèa et al 2017
Northern Italy,Campo Ceresole,,Neolithic,I-11445,123,"6,170",90,Charcoal,,,,,,,,,,10.385035,45.129258,,Skeates 1994
Northern Italy,Campo Ceresole,,Neolithic,I-11444,124,"6,235",90,Charcoal,,,,,,,,,,10.385035,45.129258,,Skeates 1994
Northern Italy,Campo Ceresole,,Neolithic,GrM-12418,125,"6,090",90,Bone,Bos sp ,,,,,,,,,9.082222,44.851670,,Biagi et al 2020
Northern Italy,Campo Ceresole,,Neolithic,OxA-X-2504-57,126,"6,090",90,Bone,Ovicaprid,,,,,,,,,9.082222,44.851670,,Biagi et al 2020
Northern Italy,Campo Ceresole,,Neolithic,OxA-21358,127,"6,122",90,Caryopsis,Hordeum sativum,,,,,,,,,9.082222,44.851670,,Starnini et al 2018
Northern Italy,Campo Ceresole,,Neolithic,OxA-27418,128,"6,127",90,Bone,Ovicaprid,,,,,,,,,9.082222,44.851670,,Biagi et al 2020
Northern Italy,Campo Ceresole,,Neolithic,GrM-15259,129,"6,190",90,Bone,Bos sp. ,,,,,,,,,9.082222,44.851670,,Biagi et al 2020
Corsica,Campu Stefanu,Shelter 1,Mesolithic,UGAMS-3825,130,"7,700",90,Bone,,,,,,,,,,8.860000,41.750000,,Lugliè 2018
Corsica,Campu Stefanu,Shelter 1,Mesolithic,UGAMS-3824,131,"7,920",90,Charcoal,Homo sapiens,,,,,,,,,8.860000,41.750000,,Lugliè 2018
Corsica,Campu Stefanu,"Lev. 4, R32",Mesolithic,Beta-318791,132,"8,940",90,Bone,Homo sapiens,,,,,,,,,8.860000,41.750000,,Lugliè 2018
Corsica,Campu Stefanu,"Lev. 4, R32",Mesolithic,Poz-44201,133,"8,970",90,Bone,Homo sapiens,,,,,,,,,8.860000,41.750000,,Lugliè 2018
Southern Italy,Carrara San Francesco,T. 2,Neolithic,Eth-21724,134,"6,080",90,Unknown,,,,,,,,,,16.516606,41.233161,,Fiorentino et al 2013
Central Italy,Casa Querciolaia,,Neolithic,GrA-13891,135,"6,040",90,charcoal,,,,,,,,,,10.357000,43.555900,,Pearce 2013
Central Italy,Casale Dolce,"Area A, structure B, US 391",Neolithic,Beta-98081,136,"6,270",90,Charcoal,Quercus sez ,,,,,,,,,13.151891,41.744632,,Manfredini & Muntoni  2003
Central Italy,Casale Dolce,,Neolithic,Beta-95263,137,"6,810",90,Unknown,,,,,,,,,,13.151891,41.744632,,Manfredini & Muntoni  2003
Northern Italy,Casalecchio di Reno (BO),,Neolithic,LTL2435A,138,"6,189",90,Charcoal,,,,,,,,,,11.052786,44.595499,,Bernabò Brea et al 2017
Northern Italy,Casalecchio di Reno (BO),,Neolithic,LTL2436A,139,"6,312",90,Charcoal,,,,,,,,,,11.276848,44.482007,,Bernabò Brea et al 2017
Northern Italy,Casalnoceto-Cascina Cascinetta,US 221,Neolithic,Beta-71945,140,"6,340",90,Charcoal,,,,,,,,,,8.957740,44.959086,,Starnini et al 2018
Northern Italy,Cassa di Risparmio,,Neolithic,I-12769,141,"6,310",90,Unknown,,,,,,,,,,9.543840,44.861443,,Skeates 1994
Northern Italy,Cassa di Risparmio,,Neolithic,I-12585,142,"6,580",90,Charcoal,,,,,,,,,,9.543840,44.861443,,Skeates 1994
Sicily,Catania,,Neolithic,LTL15581A,143,"6,476",90,Bone,,,,,,,,,,15.083030,37.507877,,Natali & Forgia 2017
Central Italy,Catignano,Feature 9,Neolithic,R-1102,144,"6,000",90,Unknown,,,,,,,,,,13.440800,42.212700,,Tozzi 1998
Central Italy,Catignano,,Neolithic,R-1778,145,"6,040",90,Unknown,,,,,,,,,,13.440800,42.212700,,Tozzi 1998
Central Italy,Catignano,"Feature 5, spit 6",Neolithic,R-1101a,146,"6,080",90,Unknown,,,,,,,,,,13.440800,42.212700,,Tozzi 1998
Central Italy,Catignano,Feature 1,Neolithic,R-997,147,"6,120",90,Unknown,,,,,,,,,,13.440800,42.212700,,Tozzi 1998
Central Italy,Catignano,Feature 5A,Neolithic,R-1420a,148,"6,125",90,Unknown,,,,,,,,,,13.440800,42.212700,,Tozzi 1998
Central Italy,Catignano,Feature 502/510,Neolithic,Beta-167164,149,"6,130",90,Unknown,,,,,,,,,,13.440800,42.212700,,Pearce 2013
Central Italy,Catignano,Feature 30,Neolithic,Grn-24487,150,"6,180",90,Unknown,,,,,,,,,,13.440800,42.212700,,Pearce 2013
Central Italy,Catignano,Feature 511,Neolithic,Beta-158321,151,"6,290",90,Unknown,,,,,,,,,,13.440800,42.212700,,Pearce 2013
Central Italy,Catignano,"Feature 501, spit 3",Neolithic,Beta-149260,152,"6,330",90,Unknown,,,,,,,,,,13.440800,42.212700,,Pearce 2013
Central Italy,Catignano,Feature 3,Neolithic,R-996a,153,"6,330",90,Unknown,,,,,,,,,,13.440800,42.212700,,Tozzi 1998
Central Italy,Catignano,"Feature 501, spit 1",Neolithic,Beta-149259,154,"6,350",90,Unknown,,,,,,,,,,13.440800,42.212700,,Pearce 2013
Central Italy,Catignano,Feature 7a,Neolithic,R-1146,155,"6,410",90,Unknown,,,,,,,,,,13.440800,42.212700,,Pearce 2013
Central Italy,Catignano,Feature 7a,Neolithic,R-1147,156,"6,480",90,Unknown,,,,,,,,,,13.440800,42.212700,,Pearce 2013
Central Italy,Catignano,Feature 56,Neolithic,R-1148,157,"6,585",90,Unknown,,,,,,,,,,13.440800,42.212700,,Pearce 2013
Southern Italy,Cava Petrilli,Middle level of ditch,Neolithic,SUERC-4535,158,"6,180",90,Bone,,,,,,,,,,15.187160,41.529870,,Whitehouse 2013
Southern Italy,Cava Petrilli,Lower level of ditch,Neolithic,SUERC-4536,159,"6,415",90,Bone,,,,,,,,,,15.187160,41.529870,,Whitehouse 2013
Northern Italy,Caverna dell'Aqua o del Morto,T253,Neolithic,GrM-14495,160,"6,230",90,Bone,Homo sapiens,,,,,,,,,8.329496,44.174305,,Sparacello et al 2019
Northern Italy,Cecima,,Neolithic,OxA-19803,161,"6,240",90,Charcoal,Hordeum vulgare vulgare,,,,,,,,,14.493750,41.630840,,Starnini et al 2018
Northern Italy,Chiozza di Scandiano,,Neolithic,R-458,162,"6,000",90,charcoal,,,,,,,,,,10.705500,44.596300,,Pinhasi et al 2005
Central Italy,Cialdino ,,Neolithic,?,163,"6,375",90,Unknown,,,,,,,,,,10.926160,44.007302,,Anzidei & Carboni 2020
Central Italy,Cialdino ,,Neolithic,?,164,"6,410",90,Unknown,,,,,,,,,,10.926160,44.007302,,Anzidei & Carboni 2020
Central Italy,Cialdino ,,Neolithic,?,165,"6,460",90,Unknown,,,,,,,,,,10.926160,44.007302,,Anzidei & Carboni 2020
Northern Italy,Cividate Camuno,,Mesolithic,GX-18843,166,"8,820",90,Unknown,,,,,,,,,,10.260000,45.944459,,Skeates & Whitehouse 1998
