geneSymbol,cytoband,postive2RNA,negative2RNA,postive2Protein,Negative2Protein,copyNumberStatus,role
CENPF,1q41,250,45,60,60,amplified,likely oncogenic
KCTD3,1q41,252,36,62,62,amplified,likely oncogenic
GPATCH2,1q41,256,43,61,61,amplified,likely oncogenic
RRP15,1q41,255,41,68,68,amplified,likely oncogenic
RAB3GAP2,1q41,260,41,68,68,amplified,likely oncogenic
1-Mar,1q41,260,41,68,68,amplified,likely oncogenic
ACBD3,1q42.12,268,50,68,68,amplified,likely oncogenic
CDC42BPA,1q42.13,253,23,64,64,amplified,likely oncogenic
SNAP47,1q42.13,251,29,61,61,amplified,likely oncogenic
TTC13,1q42.2,258,31,63,63,amplified,likely oncogenic
ARID4B,1q42.3,262,35,66,66,amplified,likely oncogenic
TBCE,1q42.3,263,36,70,70,amplified,likely oncogenic
LGALS8,1q43,262,33,67,67,amplified,likely oncogenic
CEP170,1q43,276,39,81,81,amplified,likely oncogenic
ADSS,1q44,251,31,67,67,amplified,likely oncogenic
AHCTF1,1q44,254,32,65,65,amplified,likely oncogenic
CNST,1q44,254,32,65,65,amplified,likely oncogenic
POLR3C,1q21.1,319,104,94,94,amplified,likely oncogenic
RBM8A,1q21.1,319,104,94,94,amplified,likely oncogenic
CHD1L,1q21.1,333,96,96,96,amplified,likely oncogenic
BOLA1,1q21.2,338,116,91,91,amplified,likely oncogenic
SF3B4,1q21.2,338,116,91,91,amplified,likely oncogenic
ANP32E,1q21.2,337,104,100,100,amplified,likely oncogenic
PRPF3,1q21.2,331,105,102,102,amplified,likely oncogenic
MCL1,1q21.3,340,127,120,120,amplified,likely oncogenic
GOLPH3L,1q21.3,330,123,111,111,amplified,likely oncogenic
ARNT,1q21.3,321,110,100,100,amplified,tumor suppressive
SETDB1,1q21.3,321,110,100,100,amplified,likely oncogenic
GABPB2,1q21.3,325,104,101,101,amplified,likely oncogenic
VPS72,1q21.3,328,107,102,102,amplified,likely oncogenic
PIP5K1A,1q21.3,328,107,102,102,amplified,likely oncogenic
LYSMD1,1q21.3,327,108,103,103,amplified,likely oncogenic
RFX5,1q21.3,320,102,93,93,amplified,likely oncogenic
PI4KB,1q21.3,320,106,101,101,amplified,likely oncogenic
TDRKH,1q21.3,349,127,116,116,amplified,likely oncogenic
THEM4,1q21.3,345,117,109,109,amplified,likely oncogenic
S100A13,1q21.3,334,107,105,105,amplified,likely oncogenic
S100A1,1q21.3,334,107,105,105,amplified,likely oncogenic
RAB13,1q21.3,336,102,94,94,amplified,likely oncogenic
RPS27,1q21.3,336,102,94,94,amplified,likely oncogenic
CRTC2,1q21.3,334,103,94,94,amplified,likely oncogenic
UBAP2L,1q21.3,336,102,94,94,amplified,likely oncogenic
HAX1,1q21.3,340,107,95,95,amplified,likely oncogenic
UBE2Q1,1q21.3,273,46,88,88,amplified,likely oncogenic
ADAR,1q21.3,280,53,90,90,amplified,likely oncogenic
PMVK,1q21.3,339,112,87,87,amplified,likely oncogenic
SHC1,1q21.3,335,112,88,88,amplified,likely oncogenic
FLAD1,1q21.3,335,112,88,88,amplified,likely oncogenic
CKS1B,1q21.3,335,112,88,88,amplified,likely oncogenic
EFNA1,1q22,346,92,90,90,amplified,likely oncogenic
FDPS,1q22,342,84,89,89,amplified,likely oncogenic
YY1AP1,1q22,345,128,94,94,amplified,likely oncogenic
GON4L,1q22,345,134,102,102,amplified,likely oncogenic
ARHGEF2,1q22,357,152,107,107,amplified,likely oncogenic
UBQLN4,1q22,355,153,107,107,amplified,likely oncogenic
PMF1,1q22,342,125,94,94,amplified,likely oncogenic
MEF2D,1q22,337,114,94,94,amplified,likely oncogenic
GPATCH4,1q23.1,338,121,95,95,amplified,likely oncogenic
HDGF,1q23.1,341,82,87,87,amplified,likely oncogenic
ISG20L2,1q23.1,341,82,87,87,amplified,likely oncogenic
ARHGEF11,1q23.1,334,114,88,88,amplified,likely oncogenic
ETV3,1q23.1,295,47,71,71,amplified,likely oncogenic
PEX19,1q23.2,306,78,94,94,amplified,likely oncogenic
PEA15,1q23.2,306,60,82,82,amplified,likely oncogenic
NCSTN,1q23.2,306,78,93,93,amplified,likely oncogenic
USF1,1q23.3,299,89,74,74,amplified,likely oncogenic
TSTD1,1q23.3,299,89,74,74,amplified,likely oncogenic
NIT1,1q23.3,299,89,74,74,amplified,likely oncogenic
UFC1,1q23.3,299,89,74,74,amplified,likely oncogenic
DUSP12,1q23.3,289,61,79,79,amplified,likely oncogenic
C1orf226,1q23.3,287,43,97,97,amplified,likely oncogenic
HSD17B7,1q23.3,289,43,98,98,amplified,likely oncogenic
ALDH9A1,1q24.1,325,98,113,113,amplified,likely oncogenic
TADA1,1q24.1,318,92,113,113,amplified,likely oncogenic
POGK,1q24.1,318,92,113,113,amplified,likely oncogenic
METTL18,1q24.2,305,60,109,109,amplified,likely oncogenic
SCYL3,1q24.2,292,47,95,95,amplified,likely oncogenic
GORAB,1q24.2,290,32,90,90,amplified,likely oncogenic
PRRC2C,1q24.3,279,38,92,92,amplified,likely oncogenic
METTL13,1q24.3,276,40,94,94,amplified,likely oncogenic
PRDX6,1q25.1,290,50,109,109,amplified,likely oncogenic
TOR3A,1q25.2,293,57,108,108,amplified,likely oncogenic
GLUL,1q25.3,288,60,101,101,amplified,likely oncogenic
NPL,1q25.3,289,72,101,101,amplified,likely oncogenic
RNF2,1q25.3,287,50,74,74,amplified,likely oncogenic
TRMT1L,1q25.3,287,50,74,74,amplified,likely oncogenic
TPR,1q31.1,281,53,90,90,amplified,likely oncogenic
UCHL5,1q31.2,268,32,75,75,amplified,likely oncogenic
ZNF281,1q32.1,280,41,93,93,amplified,likely oncogenic
DDX59,1q32.1,280,41,93,93,amplified,likely oncogenic
RNPEP,1q32.1,280,39,90,90,amplified,likely oncogenic
UBE2T,1q32.1,282,37,92,92,amplified,likely oncogenic
RABIF,1q32.1,274,44,95,95,amplified,likely oncogenic
RBBP5,1q32.1,276,28,76,76,amplified,likely oncogenic
NUCKS1,1q32.1,279,25,78,78,amplified,likely oncogenic
EIF2D,1q32.1,266,34,74,74,amplified,likely oncogenic
MAPKAPK2,1q32.1,266,30,76,76,amplified,likely oncogenic
PFKFB2,1q32.2,277,24,74,74,amplified,likely oncogenic
RCOR3,1q32.2,235,27,54,54,amplified,likely oncogenic
TRAF5,1q32.2,235,27,54,54,amplified,likely oncogenic
NENF,1q32.3,235,27,54,54,amplified,likely oncogenic
BPNT1,1q41,260,41,68,68,amplified,likely oncogenic
BROX,1q41,259,42,68,68,amplified,likely oncogenic
AIDA,1q41,259,42,68,68,amplified,likely oncogenic
NVL,1q42.11,268,50,71,71,amplified,likely oncogenic
WDR26,1q42.11,268,50,71,71,amplified,likely oncogenic
PARP1,1q42.12,267,53,65,65,amplified,likely oncogenic
C1orf35,1q42.13,253,32,63,63,amplified,likely oncogenic
GUK1,1q42.13,254,32,63,63,amplified,likely oncogenic
TAF5L,1q42.13,264,50,62,62,amplified,likely oncogenic
C1orf198,1q42.2,258,31,63,63,amplified,likely oncogenic
GNPAT,1q42.2,270,46,75,75,amplified,likely oncogenic
C1orf131,1q42.2,270,46,75,75,amplified,likely oncogenic
EGLN1,1q42.2,266,45,77,77,amplified,likely oncogenic
TSNAX,1q42.2,267,45,77,77,amplified,likely oncogenic
TARBP1,1q42.2,270,41,72,72,amplified,likely oncogenic
IRF2BP2,1q42.3,264,39,75,75,amplified,likely oncogenic
GGPS1,1q42.3,262,35,66,66,amplified,likely oncogenic
FH,1q43,256,31,65,65,amplified,tumor suppressive
HNRNPU,1q44,255,32,67,67,amplified,likely oncogenic
TFB2M,1q44,254,32,65,65,amplified,likely oncogenic
SCCPDH,1q44,254,32,65,65,amplified,likely oncogenic
SH3BP5L,1q44,246,34,58,58,amplified,likely oncogenic
CP,3q24,542,317,174,174,amplified,likely oncogenic
UBXN7,3q29,711,432,297,297,amplified,likely oncogenic
ACAP2,3q29,691,454,274,274,amplified,likely oncogenic
PARP14,3q21.1,456,284,134,134,amplified,likely oncogenic
DTX3L,3q21.1,418,272,125,125,amplified,likely oncogenic
ZNF148,3q21.2,533,339,168,168,amplified,likely oncogenic
OSBPL11,3q21.2,533,339,168,168,amplified,likely oncogenic
PIK3R4,3q22.1,378,245,113,113,amplified,likely oncogenic
DNAJC13,3q22.1,401,244,123,123,amplified,likely oncogenic
CDV3,3q22.1,377,233,115,115,amplified,likely oncogenic
AMOTL2,3q22.2,379,236,118,118,amplified,likely oncogenic
DBR1,3q22.3,435,291,121,121,amplified,likely oncogenic
TFDP2,3q23,562,346,207,207,amplified,likely oncogenic
XRN1,3q23,579,335,213,213,amplified,likely oncogenic
U2SURP,3q23,551,345,201,201,amplified,likely oncogenic
HLTF,3q24,542,317,174,174,amplified,likely oncogenic
PTX3,3q25.32,547,332,215,215,amplified,likely oncogenic
PRKCI,3q26.2,655,409,280,280,amplified,likely oncogenic
ECT2,3q26.31,763,444,329,329,amplified,likely oncogenic
TBL1XR1,3q26.32,676,496,268,268,amplified,tumor suppressive
PIK3CA,3q26.32,585,399,273,273,amplified,oncogenic
ZNF639,3q26.33,583,402,273,273,amplified,likely oncogenic
IGF2BP2,3q27.2,658,422,308,308,amplified,tumor suppressive
SENP2,3q27.2,655,423,306,306,amplified,likely oncogenic
RFC4,3q27.3,651,421,307,307,amplified,likely oncogenic
IL1RAP,3q28,727,438,328,328,amplified,likely oncogenic
LSG1,3q29,691,454,274,274,amplified,likely oncogenic
PAK2,3q29,714,434,292,292,amplified,likely oncogenic
NAA50,3q13.2,446,183,120,120,amplified,likely oncogenic
UMPS,3q21.2,369,245,121,121,amplified,likely oncogenic
MCM2,3q21.3,498,335,163,163,amplified,likely oncogenic
TOPBP1,3q22.1,377,233,115,115,amplified,likely oncogenic
GMPS,3q25.31,557,336,218,218,amplified,likely oncogenic
GFM1,3q25.32,562,346,214,214,amplified,likely oncogenic
SMC4,3q25.33,563,335,223,223,amplified,likely oncogenic
KPNA4,3q25.33,563,335,223,223,amplified,likely oncogenic
ACTL6A,3q26.33,565,386,269,269,amplified,likely oncogenic
TTC14,3q26.33,572,394,270,270,amplified,likely oncogenic
FXR1,3q26.33,583,401,274,274,amplified,likely oncogenic
ABCF3,3q27.1,631,384,293,293,amplified,likely oncogenic
EIF4G1,3q27.1,656,401,300,300,amplified,likely oncogenic
POLR2H,3q27.1,649,388,296,296,amplified,likely oncogenic
TRA2B,3q27.2,652,418,305,305,amplified,likely oncogenic
DNAJB11,3q27.3,656,427,312,312,amplified,likely oncogenic
PCYT1A,3q29,711,432,297,297,amplified,likely oncogenic
WDR53,3q29,711,432,297,297,amplified,likely oncogenic
TRIM2,4q31.3,170,232,54,54,deleted,likely tumor suppressive
SORBS2,4q35.1,225,269,52,52,deleted,likely tumor suppressive
SEC24D,4q26,130,192,51,51,deleted,likely tumor suppressive
SCLT1,4q28.2,138,212,54,54,deleted,likely tumor suppressive
C4orf3,4q26,125,200,51,51,deleted,likely tumor suppressive
ZNF330,4q31.21,151,203,71,71,deleted,likely tumor suppressive
MAP9,4q32.1,162,229,54,54,deleted,likely tumor suppressive
FAM198B,4q32.1,163,230,54,54,deleted,likely tumor suppressive
RWDD4,4q35.1,232,270,63,63,deleted,likely tumor suppressive
NCOA3,20q13.12,313,207,51,51,amplified,likely oncogenic
OSBPL2,20q13.33,416,295,110,110,amplified,likely oncogenic
HM13,20q11.21,223,129,74,74,amplified,likely oncogenic
POFUT1,20q11.21,233,136,75,75,amplified,likely oncogenic
ITCH,20q11.22,397,271,105,105,amplified,likely oncogenic
RALY,20q11.22,416,284,103,103,amplified,likely oncogenic
LPIN3,20q12,241,114,55,55,amplified,likely oncogenic
PCIF1,20q13.12,308,207,55,55,amplified,likely oncogenic
DNTTIP1,20q13.12,308,207,55,55,amplified,likely oncogenic
CSE1L,20q13.13,269,196,57,57,amplified,likely oncogenic
DDX27,20q13.13,269,196,57,57,amplified,likely oncogenic
ARFGEF2,20q13.13,269,196,57,57,amplified,likely oncogenic
PTPN1,20q13.13,289,206,59,59,amplified,likely oncogenic
ADNP,20q13.13,281,198,60,60,amplified,likely oncogenic
ZFP64,20q13.2,381,221,81,81,amplified,likely oncogenic
TAF4,20q13.33,574,337,168,168,amplified,likely oncogenic
PRPF6,20q13.33,442,330,124,124,amplified,likely oncogenic
TPD52L2,20q13.33,452,335,122,122,amplified,likely oncogenic
TPX2,20q11.21,237,148,75,75,amplified,likely oncogenic
MAPRE1,20q11.21,206,130,52,52,amplified,likely oncogenic
CHMP4B,20q11.22,403,270,100,100,amplified,likely oncogenic
EIF2S2,20q11.22,438,295,117,117,amplified,likely oncogenic
GGT7,20q11.22,383,255,104,104,amplified,likely oncogenic
SDC4,20q13.12,316,211,60,60,amplified,likely oncogenic
CTSA,20q13.12,308,207,55,55,amplified,likely oncogenic
UBE2C,20q13.12,308,207,55,55,amplified,likely oncogenic
ACOT8,20q13.12,308,207,55,55,amplified,likely oncogenic
CD40,20q13.12,308,207,55,55,amplified,likely oncogenic
STAU1,20q13.13,269,196,57,57,amplified,likely oncogenic
RNF114,20q13.13,285,206,57,57,amplified,likely oncogenic
CEBPB,20q13.13,287,204,60,60,amplified,likely oncogenic
PARD6B,20q13.13,294,208,60,60,amplified,likely oncogenic
ZNF217,20q13.2,401,227,76,76,amplified,likely oncogenic
PFDN4,20q13.2,393,227,80,80,amplified,likely oncogenic
RAE1,20q13.31,327,207,66,66,amplified,likely oncogenic
LSM14B,20q13.33,412,295,110,110,amplified,likely oncogenic
OGFR,20q13.33,438,296,108,108,amplified,likely oncogenic
YTHDF1,20q13.33,483,356,145,145,amplified,likely oncogenic
ARFGAP1,20q13.33,445,299,107,107,amplified,likely oncogenic
ZGPAT,20q13.33,434,295,105,105,amplified,likely oncogenic
ZNF512B,20q13.33,450,325,123,123,amplified,likely oncogenic
RGS19,20q13.33,435,312,102,102,amplified,likely oncogenic
