ID,Gene,FoldChange.phos,pval.phos,logp.phos,logfdr.phos,signedlogp.phos,FDR.phos,FoldChange.rna,pval.rna,logp.rna,signedlogp.rna,FDR.rna
AAK1-T389,AAK1,0.14295,0.788699078,0.103088667,0.004425914,0.103088667,0.989860709,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
AAK1-T441,AAK1,-0.20471,0.457994271,0.339139954,0.036121185,-0.339139954,0.920192767,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
AAK1-T606,AAK1,0.08375,0.948557572,0.022936305,0,0.022936305,1,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
AAK1-T620,AAK1,-0.081755,0.299617019,0.523433521,0.06452951,-0.523433521,0.86192701,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
AAK1-T640,AAK1,-0.17417,0.581975213,0.235095512,0.021771872,-0.235095512,0.951104262,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
AAK1-T653,AAK1,0.00794,0.536775076,0.270207658,0.027625452,0.270207658,0.938370936,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
AAK1-T674,AAK1,-0.205525,0.26414133,0.578163639,0.073189456,-0.578163639,0.844910182,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
AAK1-T694,AAK1,-0.1189,0.313186813,0.504196532,0.061642732,-0.504196532,0.867675367,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
AAK1-T848,AAK1,-0.9458,0.333879599,0.476410117,0.055938692,-0.476410117,0.879146614,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
AAMDC-S46,AAMDC,0.034,0.854304605,0.068387253,2.93E-04,0.068387253,0.999325576,-0.055,0.960413337,0.017541818,-0.017541818,0.983920475
AARS-S555,AARS,0.3893,0.640013173,0.193811087,0.013974408,0.193811087,0.968334917,0.225,0.039423391,1.404246017,1.404246017,0.190426358
AASDH-S724,AASDH,0.191,0.712787213,0.1470401,0.009611939,0.1470401,0.978110815,0.06,0.468643142,0.329157734,0.329157734,0.712830477
AATF-S153,AATF,0.0852,0.68055489,0.167136841,0.011356753,0.167136841,0.974189057,0.15,5.21E-04,3.28341998,3.28341998,0.01725574
AATF-S203,AATF,0.5303,0.13925703,0.85618287,0.118792031,0.85618287,0.760690459,0.15,5.21E-04,3.28341998,3.28341998,0.01725574
AATF-S316,AATF,5.65E-02,0.235780238,0.627492598,0.081505379,0.627492598,0.82888565,0.15,5.21E-04,3.28341998,3.28341998,0.01725574
AATF-S320,AATF,0.052375,0.413713967,0.383299817,0.044548424,0.383299817,0.902509072,0.15,5.21E-04,3.28341998,3.28341998,0.01725574
AATF-S321,AATF,0.1342,0.170840015,0.767410399,0.102590188,0.767410399,0.789604858,0.15,5.21E-04,3.28341998,3.28341998,0.01725574
AATF-S63,AATF,-0.345,0.73015873,0.136582718,0.00953154,-0.136582718,0.978291906,0.15,5.21E-04,3.28341998,3.28341998,0.01725574
AATF-T310,AATF,0.0118,0.694769008,0.158159563,0.011222092,0.158159563,0.974491169,0.15,5.21E-04,3.28341998,3.28341998,0.01725574
ABCA1-S1145,ABCA1,-0.099655,0.720725364,0.142230194,0.00953154,-0.142230194,0.978291906,-0.265,0.181820149,0.740357991,-0.740357991,0.43605059
ABCA1-S1296,ABCA1,0.1115,0.854305361,0.068386868,2.93E-04,0.068386868,0.999325576,-0.265,0.181820149,0.740357991,-0.740357991,0.43605059
ABCA2-S1358,ABCA2,0.11782,0.584365056,0.233315762,0.021048337,0.233315762,0.952690125,0.585,0.004521757,2.344692804,2.344692804,0.058034335
ABCA2-S1362,ABCA2,0.196,0.306833177,0.513097684,0.062335078,0.513097684,0.866293233,0.585,0.004521757,2.344692804,2.344692804,0.058034335
ABCA2-S1402,ABCA2,-0.427,0.111888112,0.951216055,0.138681417,-0.951216055,0.726638798,0.585,0.004521757,2.344692804,2.344692804,0.058034335
ABCA2-S1441,ABCA2,1.482,0.180652681,0.74315559,0.099555474,0.74315559,0.795141693,0.585,0.004521757,2.344692804,2.344692804,0.058034335
ABCA2-T2443,ABCA2,0.1922,0.2071012,0.683817385,0.08956536,0.683817385,0.8136444,0.585,0.004521757,2.344692804,2.344692804,0.058034335
ABCB1-S731,ABCB1,-0.3302,0.220846233,0.655910004,0.087057326,-0.655910004,0.81835676,-0.96,5.72E-04,3.242630229,-3.242630229,0.018224302
ABCB1-S741,ABCB1,-0.5485,0.555555556,0.255272505,0.026476947,-0.255272505,0.940855771,-0.96,5.72E-04,3.242630229,-3.242630229,0.018224302
ABCB1-S745,ABCB1,-0.33765,0.412698413,0.384367201,0.044548424,-0.384367201,0.902509072,-0.96,5.72E-04,3.242630229,-3.242630229,0.018224302
ABCB6-S755,ABCB6,0.182815,0.135284736,0.868751202,0.122854594,0.868751202,0.753607837,0.145,0.145881499,0.835999781,0.835999781,0.386461804
ABCC1-S915,ABCC1,-0.106175,0.43966149,0.356881572,0.039616349,-0.356881572,0.912816855,-0.04,0.964367916,0.015757247,-0.015757247,0.985115862
ABCC1-S916,ABCC1,0.3345,0.878797673,0.056111102,0,0.056111102,1,-0.04,0.964367916,0.015757247,-0.015757247,0.985115862
ABCC1-S917,ABCC1,-0.2617,0.184582373,0.733809775,0.097007871,-0.733809775,0.79981976,-0.04,0.964367916,0.015757247,-0.015757247,0.985115862
ABCC1-S918,ABCC1,-0.127375,0.39056726,0.408304165,0.045734447,-0.408304165,0.900047754,-0.04,0.964367916,0.015757247,-0.015757247,0.985115862
ABCC1-S919,ABCC1,-0.12675,0.626706001,0.202936147,0.016060038,-0.202936147,0.963695791,-0.04,0.964367916,0.015757247,-0.015757247,0.985115862
ABCC1-S921,ABCC1,-0.034,0.356984723,0.447350369,0.053256242,-0.447350369,0.884593529,-0.04,0.964367916,0.015757247,-0.015757247,0.985115862
ABCC1-S930,ABCC1,-0.051,0.299614483,0.523437197,0.06452951,-0.523437197,0.86192701,-0.04,0.964367916,0.015757247,-0.015757247,0.985115862
ABCC1-T931,ABCC1,-0.104,0.985676021,0.006265809,0,-0.006265809,1,-0.04,0.964367916,0.015757247,-0.015757247,0.985115862
ABCC1-Y920,ABCC1,0.060295,0.809131593,0.091980841,0.003542489,0.091980841,0.991876295,-0.04,0.964367916,0.015757247,-0.015757247,0.985115862
ABCC3-S908,ABCC3,0.1082,0.55121735,0.258677121,0.026476947,0.258677121,0.940855771,0.5,0.012198417,1.913696519,1.913696519,0.099465031
ABCC3-S911,ABCC3,0.2095,0.658498651,0.181445111,0.012071578,0.181445111,0.972586914,0.5,0.012198417,1.913696519,1.913696519,0.099465031
ABCC3-S912,ABCC3,-0.02651,0.43004895,0.366482108,0.041546057,-0.366482108,0.90876992,0.5,0.012198417,1.913696519,1.913696519,0.099465031
ABCC4-S404,ABCC4,-1.05615,0.048480931,1.31442905,0.211671621,-1.31442905,0.614226259,-0.62,0.012027785,1.919814327,-1.919814327,0.098893988
ABCC4-S655,ABCC4,-0.1587,0.085942284,1.06579311,0.156807257,-1.06579311,0.696935751,-0.62,0.012027785,1.919814327,-1.919814327,0.098893988
ABCC4-S658,ABCC4,-0.2158,0.28651856,0.542847241,0.068114879,-0.542847241,0.854840562,-0.62,0.012027785,1.919814327,-1.919814327,0.098893988
ABCC4-S661,ABCC4,-1.29,0.792207792,0.10116089,0.004425914,-0.10116089,0.989860709,-0.62,0.012027785,1.919814327,-1.919814327,0.098893988
ABCC4-S664,ABCC4,-0.2575,0.306130715,0.514093094,0.062335078,-0.514093094,0.866293233,-0.62,0.012027785,1.919814327,-1.919814327,0.098893988
ABCC4-S665,ABCC4,-0.4809,0.023936999,1.620930299,0.270794609,-1.620930299,0.536050112,-0.62,0.012027785,1.919814327,-1.919814327,0.098893988
ABCC4-S668,ABCC4,-0.6727,0.068619329,1.163553536,0.180234933,-1.163553536,0.66033614,-0.62,0.012027785,1.919814327,-1.919814327,0.098893988
ABCC4-T646,ABCC4,-0.3945,0.028622561,1.543291505,0.260137665,-1.543291505,0.549366705,-0.62,0.012027785,1.919814327,-1.919814327,0.098893988
ABCC4-T679,ABCC4,0.05125,1,0,0,0,1,-0.62,0.012027785,1.919814327,-1.919814327,0.098893988
ABCC5-S504,ABCC5,-0.289,0.028971029,1.53803608,0.25773484,-1.53803608,0.552414615,-0.255,0.010132831,1.994269208,-1.994269208,0.089233106
ABCC5-S505,ABCC5,-0.2715,0.04479218,1.348797796,0.218392979,-1.348797796,0.60479337,-0.255,0.010132831,1.994269208,-1.994269208,0.089233106
ABCD3-S40,ABCD3,0.138,0.602095444,0.220334659,0.018916451,0.220334659,0.957378233,0.34,0.006427109,2.191984327,2.191984327,0.069421398
ABCE1-S328,ABCE1,0.98195,0.025974026,1.58546073,0.263836012,1.58546073,0.544708293,0.16,0.052860879,1.276865616,1.276865616,0.223144126
ABCF1-S105,ABCF1,0.1677,0.1601684,0.795423164,0.108826023,0.795423164,0.778348292,-0.005,0.93669292,0.028402762,-0.028402762,0.974849861
ABCF1-S109,ABCF1,-0.0477,0.243499067,0.613502698,0.079761173,-0.613502698,0.8322213,-0.005,0.93669292,0.028402762,-0.028402762,0.974849861
ABCF1-S140,ABCF1,-0.0058,0.762089599,0.117993965,0.006863852,-0.117993965,0.984319634,-0.005,0.93669292,0.028402762,-0.028402762,0.974849861
ABCF1-S166,ABCF1,-0.314,0.08608195,1.065087902,0.156497348,-1.065087902,0.697433256,-0.005,0.93669292,0.028402762,-0.028402762,0.974849861
ABCF1-S22,ABCF1,0.117,0.24600442,0.609057089,0.078891821,0.609057089,0.833888872,-0.005,0.93669292,0.028402762,-0.028402762,0.974849861
ABCF1-S228,ABCF1,-0.0316,0.673136028,0.171897164,0.011356753,-0.171897164,0.974189057,-0.005,0.93669292,0.028402762,-0.028402762,0.974849861
ABCF1-S244,ABCF1,-1.048,0.150793651,0.821616944,0.114104509,-0.821616944,0.768945378,-0.005,0.93669292,0.028402762,-0.028402762,0.974849861
ABCF1-S595,ABCF1,-0.141675,0.396949302,0.401264958,0.045094853,-0.401264958,0.90137425,-0.005,0.93669292,0.028402762,-0.028402762,0.974849861
ABCF1-S621,ABCF1,0.056284,0.885714286,0.052706351,0,0.052706351,1,-0.005,0.93669292,0.028402762,-0.028402762,0.974849861
ABCF1-T108,ABCF1,-0.0611,0.435872508,0.360640522,0.039623479,-0.360640522,0.912801871,-0.005,0.93669292,0.028402762,-0.028402762,0.974849861
ABCF1-T21,ABCF1,0.1296,0.359332146,0.444503929,0.052560975,0.444503929,0.88601082,-0.005,0.93669292,0.028402762,-0.028402762,0.974849861
ABCF3-S115,ABCF3,-0.0815,0.916820337,0.037715762,0,-0.037715762,1,0.07,0.578213943,0.23791144,0.23791144,0.78235592
ABCF3-S161,ABCF3,0.5695,0.063492063,1.197280558,0.187044163,1.197280558,0.650063583,0.07,0.578213943,0.23791144,0.23791144,0.78235592
ABCF3-S83,ABCF3,0.0222,0.581647603,0.235340058,0.021771872,0.235340058,0.951104262,0.07,0.578213943,0.23791144,0.23791144,0.78235592
ABHD16A-T34,ABHD16A,0.0719,0.492898914,0.307242139,0.033607463,0.307242139,0.92553434,-0.03,0.588487665,0.230262636,-0.230262636,0.789111409
ABI1-S183,ABI1,0.08005,0.940656987,0.026568714,0,0.026568714,1,0.01,0.717037928,0.144457872,0.144457872,0.865792125
ABI1-S187,ABI1,-0.5705,0.256140918,0.591521038,0.074575572,-0.591521038,0.842217823,0.01,0.717037928,0.144457872,0.144457872,0.865792125
ABI1-S216,ABI1,0.5178,8.48E-02,1.071629755,0.158309368,1.071629755,0.694529396,0.01,0.717037928,0.144457872,0.144457872,0.865792125
ABI1-S222,ABI1,0.60775,0.072399988,1.140261505,0.173975301,1.140261505,0.669922708,0.01,0.717037928,0.144457872,0.144457872,0.865792125
ABI1-S225,ABI1,-0.01565,0.943216667,0.025388534,0,-0.025388534,1,0.01,0.717037928,0.144457872,0.144457872,0.865792125
ABI1-S231,ABI1,0.26958,0.099296006,1.00306822,0.143591362,1.00306822,0.718469999,0.01,0.717037928,0.144457872,0.144457872,0.865792125
ABI1-S319,ABI1,-0.0645,0.887426098,0.051867803,0,-0.051867803,1,0.01,0.717037928,0.144457872,0.144457872,0.865792125
ABI1-S323,ABI1,0.2548,0.747201107,0.126562493,0.007679441,0.126562493,0.982472853,0.01,0.717037928,0.144457872,0.144457872,0.865792125
ABI1-S326,ABI1,-0.039,0.880256235,0.05539089,0,-0.05539089,1,0.01,0.717037928,0.144457872,0.144457872,0.865792125
ABI1-S327,ABI1,-0.126625,5.51E-01,0.258696477,0.026476947,-0.258696477,0.940855771,0.01,0.717037928,0.144457872,0.144457872,0.865792125
ABI1-S329,ABI1,0.12396625,0.864849872,0.063059275,0,0.063059275,1,0.01,0.717037928,0.144457872,0.144457872,0.865792125
ABI1-T200,ABI1,-0.088,0.679388575,0.167881761,0.011356753,-0.167881761,0.974189057,0.01,0.717037928,0.144457872,0.144457872,0.865792125
ABI1-T229,ABI1,0.23217,0.107351008,0.969193872,0.138681417,0.969193872,0.726638798,0.01,0.717037928,0.144457872,0.144457872,0.865792125
ABI1-T324,ABI1,0.091,1,0,0,0,1,0.01,0.717037928,0.144457872,0.144457872,0.865792125
ABI1-T325,ABI1,0.0435,0.933188708,0.030030525,0,0.030030525,1,0.01,0.717037928,0.144457872,0.144457872,0.865792125
ABI1-T328,ABI1,0.574,0.417868619,0.378960243,0.043602983,0.378960243,0.904475936,0.01,0.717037928,0.144457872,0.144457872,0.865792125
ABI2-S183,ABI2,-0.08515,0.541569084,0.266346136,0.026660182,-0.266346136,0.940458893,-0.12,0.021828617,1.660973773,-1.660973773,0.137377805
ABI2-S216,ABI2,0.1876,0.257065929,0.58995548,0.074575572,0.58995548,0.842217823,-0.12,0.021828617,1.660973773,-1.660973773,0.137377805
ABI2-S227,ABI2,-0.18875,0.498192651,0.302602684,0.032871334,-0.302602684,0.92710445,-0.12,0.021828617,1.660973773,-1.660973773,0.137377805
ABI2-S233,ABI2,-0.554,0.212114413,0.67342982,0.088840027,-0.67342982,0.815004437,-0.12,0.021828617,1.660973773,-1.660973773,0.137377805
ABI2-S243,ABI2,4.22E-01,0.485714286,0.313619123,0.034466212,0.313619123,0.92370605,-0.12,0.021828617,1.660973773,-1.660973773,0.137377805
ABI2-S368,ABI2,-0.3325,0.001738271,2.759882439,0.57948602,-2.759882439,0.263338271,-0.12,0.021828617,1.660973773,-1.660973773,0.137377805
ABI2-T175,ABI2,-0.01695,0.391903884,0.406820432,0.045354255,-0.406820432,0.900836024,-0.12,0.021828617,1.660973773,-1.660973773,0.137377805
ABI2-T231,ABI2,-0.15785,0.676839157,0.169514524,0.011356753,-0.169514524,0.974189057,-0.12,0.021828617,1.660973773,-1.660973773,0.137377805
ABI2-T361,ABI2,-0.018555,0.878477191,0.05626951,0,-0.05626951,1,-0.12,0.021828617,1.660973773,-1.660973773,0.137377805
ABI3-S203,ABI3,0.23925,0.601547988,0.220729722,0.018916451,0.220729722,0.957378233,-0.055,0.811694952,0.090607155,-0.090607155,0.916155221
ABI3-S207,ABI3,0.11325,0.50592631,0.295912736,0.03154924,0.295912736,0.929931074,-0.055,0.811694952,0.090607155,-0.090607155,0.916155221
ABI3-S209,ABI3,0.115,0.156948267,0.804243476,0.110345543,0.804243476,0.775629747,-0.055,0.811694952,0.090607155,-0.090607155,0.916155221
ABI3-S210,ABI3,-0.0616,0.924136321,0.03426396,0,-0.03426396,1,-0.055,0.811694952,0.090607155,-0.090607155,0.916155221
ABI3-S213,ABI3,0.103,0.677995767,0.168773018,0.011356753,0.168773018,0.974189057,-0.055,0.811694952,0.090607155,-0.090607155,0.916155221
ABI3-S216,ABI3,0.28925,0.051125336,1.291363829,0.205479725,1.291363829,0.623046233,-0.055,0.811694952,0.090607155,-0.090607155,0.916155221
ABI3-S342,ABI3,0.1945,0.693594656,0.158894262,0.011222092,0.158894262,0.974491169,-0.055,0.811694952,0.090607155,-0.090607155,0.916155221
ABI3-T134,ABI3,0.0344,0.866614258,0.06217417,0,0.06217417,1,-0.055,0.811694952,0.090607155,-0.090607155,0.916155221
ABI3BP-S1419,ABI3BP,0.12465,0.646647653,0.189332294,0.013247233,0.189332294,0.969957638,-0.245,0.28371189,0.547122463,-0.547122463,0.554143923
ABL1-S16,ABL1,-0.5395,0.700719784,0.154455621,0.010867621,-0.154455621,0.975286874,0.16,0.189985262,0.721280089,0.721280089,0.444871128
ABL1-S199,ABL1,-0.408,0.135265776,0.868812073,0.122854594,-0.868812073,0.753607837,0.16,0.189985262,0.721280089,0.721280089,0.444871128
ABL1-S588,ABL1,-0.0501,0.779514921,0.108175567,0.005184527,-0.108175567,0.988133158,0.16,0.189985262,0.721280089,0.721280089,0.444871128
ABL1-S639,ABL1,0.11695,0.594287272,0.226003571,0.019282124,0.226003571,0.956572467,0.16,0.189985262,0.721280089,0.721280089,0.444871128
ABL1-S710,ABL1,-0.6894,0.363636364,0.439332694,0.051451401,-0.439332694,0.888277372,0.16,0.189985262,0.721280089,0.721280089,0.444871128
ABL1-S735,ABL1,0.084935,0.28655936,0.542785402,0.068114879,0.542785402,0.854840562,0.16,0.189985262,0.721280089,0.721280089,0.444871128
ABL1-S737,ABL1,-0.0685,0.386226282,0.413158177,0.046802972,-0.413158177,0.897836026,0.16,0.189985262,0.721280089,0.721280089,0.444871128
ABL1-S824,ABL1,-0.11125,0.052923126,1.276354509,0.203161558,-1.276354509,0.626380807,0.16,0.189985262,0.721280089,0.721280089,0.444871128
ABL1-S828,ABL1,-0.08675,0.057979344,1.236726699,0.197000323,-1.236726699,0.635330459,0.16,0.189985262,0.721280089,0.721280089,0.444871128
ABL1-S903,ABL1,-0.39995,0.352380952,0.452987575,0.054523447,-0.452987575,0.882016182,0.16,0.189985262,0.721280089,0.721280089,0.444871128
ABL1-S936,ABL1,0.10925,0.237758628,0.623863713,0.081229849,0.623863713,0.829411688,0.16,0.189985262,0.721280089,0.721280089,0.444871128
ABL1-S938,ABL1,9.51E-02,0.938003033,0.027795758,0,0.027795758,1,0.16,0.189985262,0.721280089,0.721280089,0.444871128
ABL1-S996,ABL1,-0.6495,0.008218873,2.085187738,0.383947315,-2.085187738,0.413097613,0.16,0.189985262,0.721280089,0.721280089,0.444871128
ABL1-T798,ABL1,-0.008,0.768746144,0.11421705,0.006081964,-0.11421705,0.986093363,0.16,0.189985262,0.721280089,0.721280089,0.444871128
ABL1-T833,ABL1,0.01867,0.813083963,0.089864605,0.00291863,0.089864605,0.993302139,0.16,0.189985262,0.721280089,0.721280089,0.444871128
ABL1-T871,ABL1,0.031,0.970569593,0.012973319,0,0.012973319,1,0.16,0.189985262,0.721280089,0.721280089,0.444871128
ABL1-Y204,ABL1,-0.3535,0.259633936,0.585638543,0.074301721,-0.585638543,0.842749063,0.16,0.189985262,0.721280089,0.721280089,0.444871128
ABL2-S602,ABL2,-0.086575,0.050771917,1.294376439,0.205996071,-1.294376439,0.622305915,0.1,0.077207645,1.112339692,1.112339692,0.275790766
ABL2-S620,ABL2,0.48685,0.013019888,1.885392737,0.335665363,1.885392737,0.461673171,0.1,0.077207645,1.112339692,1.112339692,0.275790766
ABL2-S631,ABL2,0.10515,0.043378255,1.362727919,0.220878456,1.362727919,0.601342009,0.1,0.077207645,1.112339692,1.112339692,0.275790766
ABL2-S783,ABL2,-0.04795,0.850992048,0.070074498,6.04E-04,-0.070074498,0.998609774,0.1,0.077207645,1.112339692,1.112339692,0.275790766
ABL2-S817,ABL2,0.0497,0.900215207,0.045653655,0,0.045653655,1,0.1,0.077207645,1.112339692,1.112339692,0.275790766
ABL2-S819,ABL2,0.03045,0.827355996,0.082307581,0.001812698,0.082307581,0.995834808,0.1,0.077207645,1.112339692,1.112339692,0.275790766
ABL2-S820,ABL2,0.12635,0.444988069,0.351651634,0.03931881,0.351651634,0.913442449,0.1,0.077207645,1.112339692,1.112339692,0.275790766
ABL2-S866,ABL2,0.43317685,0.155636126,0.807889588,0.111179731,0.807889588,0.774141357,0.1,0.077207645,1.112339692,1.112339692,0.275790766
ABL2-S936,ABL2,0.4539,0.268056189,0.571774161,0.072106206,0.571774161,0.847020251,0.1,0.077207645,1.112339692,1.112339692,0.275790766
ABL2-T1003,ABL2,-0.2389,0.420634921,0.376094676,0.043602983,-0.376094676,0.904475936,0.1,0.077207645,1.112339692,1.112339692,0.275790766
ABL2-T818,ABL2,-0.001259,0.904925626,0.043387113,0,-0.043387113,1,0.1,0.077207645,1.112339692,1.112339692,0.275790766
ABL2-T864,ABL2,-0.3065,0.547619048,0.261521454,0.026476947,-0.261521454,0.940855771,0.1,0.077207645,1.112339692,1.112339692,0.275790766
ABL2-Y80,ABL2,0.149,0.606362612,0.217267585,0.018881151,0.217267585,0.957456052,0.1,0.077207645,1.112339692,1.112339692,0.275790766
ABLIM1-S216,ABLIM1,0.0363,0.59130489,0.228188529,0.019710951,0.228188529,0.955628403,0.15,0.858186026,0.066418561,0.066418561,0.939157354
ABLIM1-S352,ABLIM1,-0.34575,0.134459739,0.871407737,0.122854594,-0.871407737,0.753607837,0.15,0.858186026,0.066418561,0.066418561,0.939157354
ABLIM1-S353,ABLIM1,0.038,1,0,0,0,1,0.15,0.858186026,0.066418561,0.066418561,0.939157354
ABLIM1-S355,ABLIM1,-0.37625,0.632549423,0.198905536,0.01495912,-0.198905536,0.966141817,0.15,0.858186026,0.066418561,0.066418561,0.939157354
ABLIM1-S358,ABLIM1,-0.16065,0.257606957,0.589042413,0.074575572,-0.589042413,0.842217823,0.15,0.858186026,0.066418561,0.066418561,0.939157354
ABLIM1-S362,ABLIM1,-0.1612,0.416650011,0.380228603,0.043653625,-0.380228603,0.904370475,0.15,0.858186026,0.066418561,0.066418561,0.939157354
ABLIM1-S363,ABLIM1,0.0264,0.625773014,0.203583169,0.016060038,0.203583169,0.963695791,0.15,0.858186026,0.066418561,0.066418561,0.939157354
ABLIM1-S367,ABLIM1,-0.1089,0.318494357,0.496898258,0.061136573,-0.496898258,0.868687209,0.15,0.858186026,0.066418561,0.066418561,0.939157354
ABLIM1-S422,ABLIM1,-0.31325,0.065586091,1.183188255,0.182432767,-1.183188255,0.657002819,0.15,0.858186026,0.066418561,0.066418561,0.939157354
ABLIM1-S426,ABLIM1,-0.1794,0.659942969,0.180493594,0.012071578,-0.180493594,0.972586914,0.15,0.858186026,0.066418561,0.066418561,0.939157354
ABLIM1-S431,ABLIM1,-0.20925,0.484070172,0.315091678,0.034466212,-0.315091678,0.92370605,0.15,0.858186026,0.066418561,0.066418561,0.939157354
ABLIM1-S435,ABLIM1,-0.296025,0.325078045,0.48801236,0.058139955,-0.48801236,0.874701849,0.15,0.858186026,0.066418561,0.066418561,0.939157354
ABLIM1-S452,ABLIM1,-0.16375,0.4536159,0.343311731,0.037287129,-0.343311731,0.917725652,0.15,0.858186026,0.066418561,0.066418561,0.939157354
ABLIM1-S455,ABLIM1,-0.1288,0.313705427,0.503477968,0.061642732,-0.503477968,0.867675367,0.15,0.858186026,0.066418561,0.066418561,0.939157354
ABLIM1-S458,ABLIM1,-0.04035,0.588288115,0.230409926,0.02041022,-0.230409926,0.954090957,0.15,0.858186026,0.066418561,0.066418561,0.939157354
ABLIM1-S465,ABLIM1,-0.037,0.735331914,0.133516585,0.009255436,-0.133516585,0.978914054,0.15,0.858186026,0.066418561,0.066418561,0.939157354
ABLIM1-S586,ABLIM1,-0.3847,0.101673528,0.992792105,0.141950433,-0.992792105,0.721189786,0.15,0.858186026,0.066418561,0.066418561,0.939157354
ABLIM1-S587,ABLIM1,-0.458125,0.009976488,2.001022319,0.36415286,-2.001022319,0.432361624,0.15,0.858186026,0.066418561,0.066418561,0.939157354
ABLIM1-S640,ABLIM1,-0.16705,0.342332653,0.465551674,0.055938692,-0.465551674,0.879146614,0.15,0.858186026,0.066418561,0.066418561,0.939157354
ABLIM1-S646,ABLIM1,-0.2266,0.005077868,2.294318553,0.436911781,-2.294318553,0.365669063,0.15,0.858186026,0.066418561,0.066418561,0.939157354
ABLIM1-S655,ABLIM1,-0.38595,0.019410811,1.711956317,0.294894646,-1.711956317,0.507113712,0.15,0.858186026,0.066418561,0.066418561,0.939157354
