Gene,Feature,FoldChange.phos,pval.phos,logp.phos,FDR.phos,logfdr.phos,signedlogp.phos,signedfdr.phos,FoldChange.prot,pval.prot,logp.prot,FDR.prot,logfdr.prot,signedlogp.prot,signedfdr.prot,Comparison
CCNL1,CCNL1-S342,-0.2169,8.62E-04,3.064441036,0.049192498,1.308101121,-3.064441036,-1.308101121,-0.12731,0.079680857,1.098646005,0.22424529,0.649276669,-1.098646005,-0.649276669,CNV-low
CCNL1,CCNL1-S374,-0.25995,2.72E-04,3.564818671,0.024936239,1.603169043,-3.564818671,-1.603169043,-0.12731,0.079680857,1.098646005,0.22424529,0.649276669,-1.098646005,-0.649276669,CNV-low
CCNYL1,CCNYL1-S344,-0.3675,2.83E-04,3.547547176,0.025708322,1.589926267,-3.547547176,-1.589926267,-0.0671,0.954188797,0.020365687,0.981196714,0.008243915,-0.020365687,-0.008243915,CNV-low
CD2AP,CD2AP-T512,-0.625,1.49E-05,4.826490787,0.00379338,2.42097368,-4.826490787,-2.42097368,-0.126,0.097426243,1.011324044,0.254411705,0.594462912,-1.011324044,-0.594462912,CNV-low
CD2AP,CD2AP-S510,-0.5255,6.84E-04,3.164718808,0.042845692,1.368092841,-3.164718808,-1.368092841,-0.126,0.097426243,1.011324044,0.254411705,0.594462912,-1.011324044,-0.594462912,CNV-low
CD2AP,CD2AP-S514,-0.8284,1.22E-06,5.912434482,6.94E-04,3.158951341,-5.912434482,-3.158951341,-0.126,0.097426243,1.011324044,0.254411705,0.594462912,-1.011324044,-0.594462912,CNV-low
CDAN1,CDAN1-T71,-0.5092,5.98E-06,5.223623161,0.002091518,2.679538461,-5.223623161,-2.679538461,-0.00465,0.432915684,0.36359668,0.633377658,0.19833726,-0.36359668,-0.19833726,CNV-low
CDCA5,CDCA5-S107,-0.6966,2.45E-04,3.610488467,0.023334685,1.631998057,-3.610488467,-1.631998057,-0.876,0.020461331,1.689066117,0.093549899,1.028956675,-1.689066117,-1.028956675,CNV-low
CDCA5,CDCA5-S33,-1.354,1.21E-05,4.916242055,0.00341867,2.466142816,-4.916242055,-2.466142816,-0.876,0.020461331,1.689066117,0.093549899,1.028956675,-1.689066117,-1.028956675,CNV-low
CENPC,CENPC-T130,-0.81505,1.34E-05,4.873078345,0.003619389,2.441364686,-4.873078345,-2.441364686,-0.0026,0.671096361,0.173215116,0.812975036,0.08992279,-0.173215116,-0.08992279,CNV-low
CENPC,CENPC-S177,-0.5328,1.07E-06,5.970001825,6.42E-04,3.19225011,-5.970001825,-3.19225011,-0.0026,0.671096361,0.173215116,0.812975036,0.08992279,-0.173215116,-0.08992279,CNV-low
CHAMP1,CHAMP1-S405,-0.366,5.16E-04,3.28762571,0.036065683,1.442905835,-3.28762571,-1.442905835,-0.14376,0.145553119,0.836978484,0.327537739,0.484738653,-0.836978484,-0.484738653,CNV-low
CIZ1,CIZ1-S380,-0.41,5.60E-05,4.251986128,0.009066277,2.042571032,-4.251986128,-2.042571032,0.0468,0.781484456,0.107079656,0.884413262,0.053344753,0.107079656,0.053344753,CNV-low
CIZ1,CIZ1-T615,-0.3831,4.28E-04,3.368267511,0.032798678,1.484143654,-3.368267511,-1.484143654,0.0468,0.781484456,0.107079656,0.884413262,0.053344753,0.107079656,0.053344753,CNV-low
CLCC1,CLCC1-S509,-0.525,3.22E-04,3.492244977,0.027842529,1.555291321,-3.492244977,-1.555291321,-0.1288,0.382527237,0.417337637,0.589531072,0.2294933,-0.417337637,-0.2294933,CNV-low
CLK3,CLK3-S281,-0.384,4.45E-04,3.351259386,0.033489259,1.475094456,-3.351259386,-1.475094456,-0.1555,0.057351352,1.241456336,0.182662406,0.738350825,-1.241456336,-0.738350825,CNV-low
CLK3,CLK3-S283,-0.384,4.45E-04,3.351259386,0.033489259,1.475094456,-3.351259386,-1.475094456,-0.1555,0.057351352,1.241456336,0.182662406,0.738350825,-1.241456336,-0.738350825,CNV-low
CNOT3,CNOT3-S299,-0.7295,1.78E-05,4.748379144,0.004329656,2.363546636,-4.748379144,-2.363546636,-0.06535,0.022162152,1.654388061,0.09812459,1.008222146,-1.654388061,-1.008222146,CNV-low
CRYBG1,CRYBG1-S533,0.816,4.89E-04,3.311051299,0.03548912,1.449904775,3.311051299,1.449904775,0.3287,0.018467169,1.733599667,0.08790435,1.055989632,1.733599667,1.055989632,CNV-low
CUL4B,CUL4B-S53,-0.492905,7.28E-06,5.137720436,0.002358982,2.627275344,-5.137720436,-2.627275344,0.03105,0.73201175,0.135481948,0.853512728,0.068789998,0.135481948,0.068789998,CNV-low
CUL4B,CUL4B-T49,-0.18615,7.16E-04,3.145173074,0.044080412,1.355754351,-3.145173074,-1.355754351,0.03105,0.73201175,0.135481948,0.853512728,0.068789998,0.135481948,0.068789998,CNV-low
DACT3,DACT3-S271,0.753,5.23E-04,3.281305589,0.036286705,1.440252461,3.281305589,1.440252461,0.646,0.04227913,1.373873959,0.149432596,0.825554658,1.373873959,0.825554658,CNV-low
DBR1,DBR1-S514,-0.5095,1.48E-05,4.830442665,0.003777445,2.422801864,-4.830442665,-2.422801864,-0.083845,0.029917447,1.524075466,0.119307222,0.923333267,-1.524075466,-0.923333267,CNV-low
DCP2,DCP2-S329,-0.6363,2.92E-06,5.53415361,0.001209893,2.917253187,-5.53415361,-2.917253187,-0.14018,0.023595135,1.627177526,0.102175826,0.990651841,-1.627177526,-0.990651841,CNV-low
DDB1,DDB1-T1125,-0.5475,5.25E-04,3.27981105,0.036363438,1.439335058,-3.27981105,-1.439335058,-0.03075,0.551260159,0.258643394,0.728494753,0.137573572,-0.258643394,-0.137573572,CNV-low
DDX20,DDX20-S714,-0.424,2.12E-04,3.674125224,0.021117575,1.675355945,-3.674125224,-1.675355945,-0.059015,0.044775115,1.348963286,0.154204754,0.811902236,-1.348963286,-0.811902236,CNV-low
DDX50,DDX50-S82,-0.688,3.62E-05,4.440950049,0.006968375,2.156868489,-4.440950049,-2.156868489,-0.1348,0.078952315,1.102635132,0.222611217,0.652452956,-1.102635132,-0.652452956,CNV-low
DGCR8,DGCR8-S271,-0.20696,7.16E-04,3.145173074,0.044080412,1.355754351,-3.145173074,-1.355754351,-0.1064,0.010627346,1.97357519,0.061301193,1.212531077,-1.97357519,-1.212531077,CNV-low
DNAJA1,DNAJA1-S335,-0.3658,7.33E-04,3.134930467,0.044550565,1.351146787,-3.134930467,-1.351146787,-0.15415,0.044050492,1.356049233,0.153126551,0.814949501,-1.356049233,-0.814949501,CNV-low
DOCK11,DOCK11-S158,0.544,8.20E-04,3.086064454,0.047795111,1.320616521,3.086064454,1.320616521,0.17551,0.337626904,0.471562954,0.54658579,0.262341663,0.471562954,0.262341663,CNV-low
DSN1,DSN1-S81,-0.49,2.58E-04,3.588382068,0.024238511,1.615494058,-3.588382068,-1.615494058,-0.2071,0.012665163,1.897389204,0.068881002,1.161900547,-1.897389204,-1.161900547,CNV-low
DSN1,DSN1-S58,-0.4175,2.09E-05,4.679933824,0.004953526,2.305085537,-4.679933824,-2.305085537,-0.2071,0.012665163,1.897389204,0.068881002,1.161900547,-1.897389204,-1.161900547,CNV-low
DSN1,DSN1-S125,-0.77,3.84E-05,4.415801845,0.007227521,2.141010646,-4.415801845,-2.141010646,-0.2071,0.012665163,1.897389204,0.068881002,1.161900547,-1.897389204,-1.161900547,CNV-low
EAF1,EAF1-S165,-0.2509,1.50E-04,3.823643976,0.016869764,1.772890989,-3.823643976,-1.772890989,-0.1883,0.053330348,1.273025582,0.174585696,0.757991341,-1.273025582,-0.757991341,CNV-low
EEF2,EEF2-T435,-0.58958,5.01E-05,4.300339882,0.00829126,2.081379468,-4.300339882,-2.081379468,-0.1322,0.183937721,0.735329198,0.378265087,0.422203741,-0.735329198,-0.422203741,CNV-low
EIF3H,EIF3H-S183,-0.423205,4.19E-05,4.378173806,0.007564299,2.121231315,-4.378173806,-2.121231315,-0.02682,0.16756069,0.775827859,0.35717501,0.447118935,-0.775827859,-0.447118935,CNV-low
EIF4B,EIF4B-S192,-0.285,8.07E-04,3.09338197,0.047367017,1.324523968,-3.09338197,-1.324523968,-0.08275,0.074397203,1.128443394,0.213894436,0.669800513,-1.128443394,-0.669800513,CNV-low
ENAH,ENAH-S508,-0.595175,4.76E-05,4.322408558,0.008192563,2.086580219,-4.322408558,-2.086580219,-0.0422,0.590816053,0.228547713,0.757391415,0.120679622,-0.228547713,-0.120679622,CNV-low
EXOSC2,EXOSC2-S124,-0.4095,7.22E-04,3.141359843,0.044309026,1.3535078,-3.141359843,-1.3535078,-0.0761,0.140871039,0.851178282,0.321431264,0.492911883,-0.851178282,-0.492911883,CNV-low
FAM83D,FAM83D-S462,-1.398,1.81E-06,5.742429726,8.80E-04,3.05562351,-5.742429726,-3.05562351,-0.3259,0.013177149,1.880178554,0.070421711,1.152293429,-1.880178554,-1.152293429,CNV-low
FBXO28,FBXO28-S344,-0.835,1.57E-07,6.803660992,1.65E-04,3.783799598,-6.803660992,-3.783799598,-0.0733,0.192367191,0.715868998,0.388697001,0.41038881,-0.715868998,-0.41038881,CNV-low
FIP1L1,FIP1L1-S259,-0.457415,5.32E-05,4.273786344,0.008704374,2.06026247,-4.273786344,-2.06026247,-0.10095,0.014480711,1.839210112,0.074832355,1.125910587,-1.839210112,-1.125910587,CNV-low
FLII,FLII-S856,-0.3697,2.45E-05,4.610155312,0.005422568,2.265794993,-4.610155312,-2.265794993,0.074785,0.567394707,0.24611472,0.741007149,0.130177602,0.24611472,0.130177602,CNV-low
FLNB,FLNB-S2496,-0.834,5.67E-04,3.246091686,0.037628122,1.424487451,-3.246091686,-1.424487451,0.0675,0.142730723,0.845482533,0.323548237,0.490060962,0.845482533,0.490060962,CNV-low
FNBP4,FNBP4-S510,-0.8495,2.26E-05,4.646639665,0.005183289,2.285394554,-4.646639665,-2.285394554,-0.1219,0.037331106,1.427929139,0.137202498,0.86263798,-1.427929139,-0.86263798,CNV-low
FOXK1,FOXK1-Y219,-0.82675,6.66E-07,6.176530592,4.34E-04,3.362349611,-6.176530592,-3.362349611,-0.0408,0.937220246,0.028158338,0.973771051,0.011543141,-0.028158338,-0.011543141,CNV-low
FOXK1,FOXK1-S223,-0.7745,1.44E-07,6.841570906,1.65E-04,3.783799598,-6.841570906,-3.783799598,-0.0408,0.937220246,0.028158338,0.973771051,0.011543141,-0.028158338,-0.011543141,CNV-low
FOXK1,FOXK1-S213,-0.451225,4.72E-07,6.326330921,3.42E-04,3.466325902,-6.326330921,-3.466325902,-0.0408,0.937220246,0.028158338,0.973771051,0.011543141,-0.028158338,-0.011543141,CNV-low
FOXO3,FOXO3-S43,-0.3594,5.68E-04,3.245658283,0.037628122,1.424487451,-3.245658283,-1.424487451,0.061175,0.980875359,0.008386175,0.990606994,0.00409861,0.008386175,0.00409861,CNV-low
FUBP1,FUBP1-T174,-0.34355,2.03E-04,3.693081688,0.020489888,1.688460422,-3.693081688,-1.688460422,-0.0853,0.163384548,0.786789019,0.351815153,0.453685459,-0.786789019,-0.453685459,CNV-low
FXR1,FXR1-S587,-0.24455,7.74E-04,3.111192523,0.046141201,1.335911104,-3.111192523,-1.335911104,-0.087735,0.01420828,1.847458479,0.073813379,1.131864913,-1.847458479,-1.131864913,CNV-low
GARNL3,GARNL3-S426,0.51027,6.39E-04,3.194174615,0.040820122,1.389125703,3.194174615,1.389125703,0.338,0.10248765,0.989328464,0.262607872,0.58069226,0.989328464,0.58069226,CNV-low
GART,GART-Y348,-0.4895,5.12E-04,3.290533612,0.036033654,1.443291699,-3.290533612,-1.443291699,-0.20655,0.016678325,1.777847578,0.082023301,1.086062756,-1.777847578,-1.086062756,CNV-low
GAS2L2,GAS2L2-S316,1.1135,9.73E-05,4.011678287,0.01305159,1.884336576,4.011678287,1.884336576,1.0535,0.007920949,2.101222765,0.0504528,1.297114726,2.101222765,1.297114726,CNV-low
GAS2L2,GAS2L2-S834,0.49895,3.56E-04,3.448649352,0.029416585,1.531407743,3.448649352,1.531407743,1.0535,0.007920949,2.101222765,0.0504528,1.297114726,2.101222765,1.297114726,CNV-low
GPBP1L1,GPBP1L1-S123,-0.388175,1.79E-04,3.747478933,0.018998116,1.721289457,-3.747478933,-1.721289457,-0.09183,0.209986941,0.677807713,0.409439053,0.387810736,-0.677807713,-0.387810736,CNV-low
GPI,GPI-S146,-0.4774825,1.16E-04,3.934903127,0.014776922,1.830416015,-3.934903127,-1.830416015,-0.17155,0.14745871,0.831329569,0.330510902,0.480814211,-0.831329569,-0.480814211,CNV-low
H2AFX,H2AFX-S122,-1.169,1.55E-05,4.808838775,0.003884589,2.410654956,-4.808838775,-2.410654956,-0.1043,0.760532869,0.118882012,0.872253078,0.05935749,-0.118882012,-0.05935749,CNV-low
H2AFX,H2AFX-T121,-1.2215,2.97E-05,4.527811073,0.006156401,2.210673125,-4.527811073,-2.210673125,-0.1043,0.760532869,0.118882012,0.872253078,0.05935749,-0.118882012,-0.05935749,CNV-low
H2AFY,H2AFY-T129,-0.368895,1.44E-04,3.841670506,0.016540347,1.781455391,-3.841670506,-1.781455391,0.133,0.068478013,1.16444885,0.203606076,0.691209266,1.16444885,0.691209266,CNV-low
HDLBP,HDLBP-S31,-0.1584,4.37E-04,3.359993511,0.03318588,1.479046659,-3.359993511,-1.479046659,-0.0012,0.706399718,0.150949483,0.837402333,0.077065834,-0.150949483,-0.077065834,CNV-low
HIST1H1E,HIST1H1E-T18,-0.6653,1.49E-04,3.826468916,0.016832944,1.773839924,-3.826468916,-1.773839924,0.5425,0.188503755,0.724679994,0.383840235,0.415849504,0.724679994,0.415849504,CNV-low
HMBOX1,HMBOX1-S148,0.304,6.12E-05,4.213403689,0.009610129,2.017270805,4.213403689,2.017270805,0.066845,0.132747748,0.876972838,0.309496154,0.509344744,0.876972838,0.509344744,CNV-low
HMGA1,HMGA1-T53,-0.5555,5.21E-04,3.283468532,0.036202718,1.441258827,-3.283468532,-1.441258827,-0.43225,0.030970472,1.509052172,0.121786425,0.914401119,-1.509052172,-0.914401119,CNV-low
HMGA1,HMGA1-S9,-0.884,3.70E-06,5.431293019,0.001410124,2.850742618,-5.431293019,-2.850742618,-0.43225,0.030970472,1.509052172,0.121786425,0.914401119,-1.509052172,-0.914401119,CNV-low
HMGXB4,HMGXB4-S512,-0.343875,6.52E-05,4.185423134,0.009960028,2.00173946,-4.185423134,-2.00173946,0.031765,0.939944872,0.026897617,0.97518435,0.010913277,0.026897617,0.010913277,CNV-low
HNRNPAB,HNRNPAB-S242,-0.5204,1.84E-05,4.734960575,0.004423236,2.354259903,-4.734960575,-2.354259903,-0.18865,0.018299632,1.737557647,0.087257622,1.059196629,-1.737557647,-1.059196629,CNV-low
HNRNPM,HNRNPM-S701,-0.2235,4.87E-04,3.312598477,0.035412235,1.450846665,-3.312598477,-1.450846665,0.01318,0.8721295,0.059419023,0.937280997,0.028130188,0.059419023,0.028130188,CNV-low
HP1BP3,HP1BP3-S156,-0.5295,6.20E-04,3.207312029,0.039976813,1.398191832,-3.207312029,-1.398191832,0.1656,0.050537324,1.296387755,0.168301768,0.773911321,1.296387755,0.773911321,CNV-low
HSF1,HSF1-S368,-0.6638,2.39E-05,4.622210184,0.005319183,2.274155073,-4.622210184,-2.274155073,0.044515,0.847919629,0.071645311,0.924053885,0.034302703,0.071645311,0.034302703,CNV-low
HSP90B1,HSP90B1-S306,-0.7655,5.37E-05,4.27022569,0.008747729,2.0581047,-4.27022569,-2.0581047,-0.085,0.696242864,0.157239243,0.830751709,0.080528756,-0.157239243,-0.080528756,CNV-low
HSPH1,HSPH1-T817,-0.36025,1.11E-05,4.956047704,0.003170676,2.498848124,-4.956047704,-2.498848124,0.0095,0.551262478,0.258641567,0.728494753,0.137573572,0.258641567,0.137573572,CNV-low
HTATSF1,HTATSF1-S452,-0.2653,5.64E-04,3.248909941,0.037502577,1.425938887,-3.248909941,-1.425938887,-0.06315,0.061989262,1.207683534,0.191277362,0.718336427,-1.207683534,-0.718336427,CNV-low
HTATSF1,HTATSF1-S498,-0.349875,1.48E-05,4.830442665,0.003777445,2.422801864,-4.830442665,-2.422801864,-0.06315,0.061989262,1.207683534,0.191277362,0.718336427,-1.207683534,-0.718336427,CNV-low
HUWE1,HUWE1-S1903,-0.2375,6.45E-04,3.190246385,0.041140662,1.38572872,-3.190246385,-1.38572872,-0.01829,0.842557557,0.074400422,0.920442511,0.036003331,-0.074400422,-0.036003331,CNV-low
ICA1L,ICA1L-S293,0.32475,5.92E-04,3.227467628,0.038646648,1.412888164,3.227467628,1.412888164,0.3848,0.017633847,1.753652935,0.085255705,1.069276549,1.753652935,1.069276549,CNV-low
ILF3,ILF3-T368,-0.37175,1.43E-05,4.843965659,0.003753637,2.425547767,-4.843965659,-2.425547767,0.0224,0.636509501,0.196195109,0.788876489,0.102990987,0.196195109,0.102990987,CNV-low
INA,INA-S282,0.8982,5.99E-04,3.222295689,0.038976327,1.409199089,3.222295689,1.409199089,-0.289265,0.165645667,0.780819921,0.354837551,0.449970427,-0.780819921,-0.449970427,CNV-low
IPCEF1,IPCEF1-S412,0.755975,8.21E-04,3.085503134,0.047803514,1.320540176,3.085503134,1.320540176,0.31925,0.033929186,1.469426558,0.128997857,0.889417504,1.469426558,0.889417504,CNV-low
IWS1,IWS1-S365,-0.166875,6.52E-05,4.185423134,0.009960028,2.00173946,-4.185423134,-2.00173946,-0.1072,0.01561766,1.806384027,0.078502759,1.105115077,-1.806384027,-1.105115077,CNV-low
IWS1,IWS1-S363,-0.18243,4.53E-05,4.343782636,0.00792998,2.100727932,-4.343782636,-2.100727932,-0.1072,0.01561766,1.806384027,0.078502759,1.105115077,-1.806384027,-1.105115077,CNV-low
KANSL3,KANSL3-S540,-0.28865,6.19E-05,4.208475327,0.009632762,2.016249166,-4.208475327,-2.016249166,-0.1158,0.015470398,1.81049852,0.078048163,1.107637316,-1.81049852,-1.107637316,CNV-low
