ID,FoldChange.protein,pval.protein,logp.protein,signedlogp.protein,FDR.protein,FoldChange.rna,pval.rna,logp.rna,signedlogp.rna,FDR.rna
ABCD4,-0.121,0.476843705,0.321623947,-0.321623947,0.669474758,0.27,0.134681253,0.870692851,0.870692851,0.30077043
ABCE1,0.0766,0.175241152,0.7563639,0.7563639,0.366721747,0.22,0.146765106,0.833377186,0.833377186,0.318769932
ABCF1,0.1885,0.004591475,2.338047752,2.338047752,0.034313444,0.525,1.33E-06,5.875361522,5.875361522,3.46E-04
ABCF2,0.010835,0.41027697,0.38692286,0.38692286,0.612054005,0.325,0.142070897,0.847494877,0.847494877,0.311815212
ABCF3,0.3193,7.02E-04,3.153802061,3.153802061,0.010109797,0.495,1.76E-06,5.753999406,5.753999406,3.72E-04
ABCG1,-0.7905,0.007928869,2.100788732,-2.100788732,0.049568918,-0.615,0.010811112,1.966129636,-1.966129636,0.054259643
ABHD10,-0.2527,0.079560938,1.099300103,-1.099300103,0.222769279,-0.01,0.835789319,0.077903183,-0.077903183,0.909698567
ABHD11,-0.0514,0.626030083,0.203404797,-0.203404797,0.782614576,0.21,0.394498418,0.403954734,0.403954734,0.59618089
ABHD12,0.3995,0.12621639,0.898884245,0.898884245,0.299618092,0.305,0.006816342,2.166448639,2.166448639,0.039890708
ABHD13,-0.14665,0.033030248,1.481088169,-1.481088169,0.125801212,-0.215,0.848942116,0.071121921,-0.071121921,0.91755495
ABHD14A,-0.36976,0.131878133,0.87982721,-0.87982721,0.307695864,-0.155,0.649997192,0.18708852,-0.18708852,0.800503171
ABHD14A-ACY1,-0.381,0.253168851,0.59658973,-0.59658973,0.457583505,-0.89,0.380742079,0.419369123,-0.419369123,0.58571348
ABHD14B,-0.1365,0.215749366,0.666050471,-0.666050471,0.417376113,-0.295,0.403903274,0.393722627,-0.393722627,0.605568958
ABHD16A,-0.0558,0.946408703,0.023921275,-0.023921275,0.975279068,0.1,0.262530689,0.580819921,0.580819921,0.466865364
ABHD17A,0.073,0.339125801,0.469639167,0.469639167,0.547404465,-0.36,0.001156604,2.936815276,-2.936815276,0.01223915
ABHD17B,-0.2596,0.037058494,1.431112233,-1.431112233,0.13551962,-0.54,5.24E-06,5.28054367,-5.28054367,5.58E-04
ABHD2,0.0538,0.8311229,0.080334751,0.080334751,0.913634071,-0.405,0.010637616,1.973155686,-1.973155686,0.053640967
ABHD3,0.326,0.034383516,1.463649718,1.463649718,0.129387316,0.385,0.315985131,0.500333353,0.500333353,0.521291003
ABHD4,-0.08095,0.560196242,0.251659809,-0.251659809,0.73700488,0.04,0.556393313,0.254618098,0.254618098,0.732619145
ABHD5,-0.08475,0.303737991,0.517500884,-0.517500884,0.511298391,-0.775,1.63E-04,3.787696227,-3.787696227,0.003603308
ABHD6,-0.4059,0.003157529,2.500652603,-2.500652603,0.026778433,-0.87,1.53E-04,3.81642382,-3.81642382,0.003463144
ABI1,-0.1419,0.139197503,0.856368556,-0.856368556,0.318264109,-0.27,0.059002429,1.229130109,-1.229130109,0.17368833
ABI2,0.2125,0.44618005,0.350489853,0.350489853,0.643496427,-0.125,0.335241477,0.474642255,-0.474642255,0.541488207
ABI3,0.2801,0.081499924,1.088842795,1.088842795,0.226489239,-0.025,0.682588139,0.165841263,-0.165841263,0.82294158
ABI3BP,0.33,0.442837141,0.353755962,0.353755962,0.639843469,0.75,0.329723233,0.48185045,0.48185045,0.535534219
ABL1,-0.0905,0.515842507,0.287482874,-0.287482874,0.702169984,-0.445,7.00E-04,3.155004675,-3.155004675,0.008901114
ABL2,0.1947,0.012481352,1.903738366,1.903738366,0.067420466,0.29,0.002181095,2.661325474,2.661325474,0.018553052
ABLIM1,-0.06,0.910800217,0.040576875,-0.040576875,0.955871152,0.035,0.964254525,0.015808314,0.015808314,0.982303855
ABLIM2,0.074,0.970542721,0.012985343,0.012985343,0.987394404,-0.27,0.959791883,0.017822927,-0.017822927,0.980033858
ABLIM3,-0.273,0.63812298,0.195095615,-0.195095615,0.790394533,0.175,0.610233479,0.214503969,0.214503969,0.772048669
ABR,-0.4302,0.005188517,2.284956717,-2.284956717,0.036932131,-0.72,0.014142264,1.849481061,-1.849481061,0.065106178
ABRACL,-0.341,0.076715764,1.115115384,-1.115115384,0.218225807,-0.36,0.043149984,1.365019357,-1.365019357,0.13968285
ABRAXAS1,-0.0459,0.541494141,0.266406239,-0.266406239,0.721833558,0.16,0.315981744,0.500338009,0.500338009,0.521291003
ABRAXAS2,-0.1606,0.028107628,1.551175807,-1.551175807,0.113655764,0.035,0.788005676,0.103470654,0.103470654,0.884155787
ABT1,0.70167,1.23E-06,5.91E+00,5.910328496,4.11E-04,0.385,4.73E-04,3.325549673,3.325549673,0.006893313
ABTB2,0.1504,0.450734798,0.346078912,0.346078912,0.646641387,0.43,0.294854229,0.530392639,0.530392639,0.499983116
ACAA1,-0.19635,0.070410671,1.152361519,-1.152361519,0.205472554,-0.275,0.146760863,0.833389743,-0.833389743,0.318769932
ACAA2,0.668,0.014372267,1.842474712,1.842474712,0.073574468,0.815,0.012087549,1.917661762,1.917661762,0.05843015
ACACA,0.516,0.014372951,1.842454063,1.842454063,0.073574468,0.6,0.0059478,2.22564361,2.22564361,0.03631594
ACAD10,-0.0622,0.870958373,0.060002601,-0.060002601,0.935839056,-0.06,0.792312209,0.101103652,-0.101103652,0.886763994
ACAD11,-0.04635,0.579210057,0.237163906,-0.237163906,0.750781311,-0.1,0.21154701,0.674593109,-0.674593109,0.403904036
ACAD8,-0.8065,1.10E-05,4.96E+00,-4.959769975,9.18E-04,-0.29,0.001179641,2.928250124,-2.928250124,0.012388772
ACAD9,0.1605,0.224173708,0.649415325,0.649415325,0.426826205,0.385,9.35E-06,5.029382783,5.029382783,7.31E-04
ACADL,-0.5965,0.00956976,2.019098939,-2.019098939,0.056040646,-1.245,0.041457498,1.382396916,-1.382396916,0.13590511
ACADM,-0.25725,0.059070752,1.228627503,-1.228627503,0.18254552,-0.02,0.410237653,0.386964481,-0.386964481,0.611479211
ACADS,-0.6944,0.007294922,2.136979355,-2.136979355,0.046845594,-0.815,2.33E-04,3.632789137,-3.632789137,0.004481579
ACADSB,-0.2455,0.237243628,0.624805442,-0.624805442,0.440585802,-0.035,0.775070687,0.110658687,-0.110658687,0.876298125
ACADVL,-0.2637,0.103097304,0.98675269,-0.98675269,0.263291194,-0.33,0.045499288,1.341995403,-1.341995403,0.144953327
ACAP1,0.3157,0.123464985,0.908456191,0.908456191,0.295382376,0.19,0.541461595,0.266432342,0.266432342,0.719628249
ACAP2,0.202,0.001228936,2.91047062,2.91047062,0.014405458,0.55,6.15E-06,5.210941324,5.210941324,6.08E-04
ACAP3,-0.135,0.38615009,0.41324386,-0.41324386,0.590847239,-0.22,0.690813625,0.160639105,-0.160639105,0.82831858
ACAT1,-0.286,0.24398013,0.612645541,-0.612645541,0.448717491,-0.065,0.788017989,0.103463868,-0.103463868,0.884155787
ACAT2,0.031671,0.809661392,0.091696569,0.091696569,0.899906269,0.215,0.501443536,0.299777963,0.299777963,0.686617772
ACBD3,-0.134,0.379161723,0.421175512,-0.421175512,0.585008126,-0.01,0.924124575,0.03426948,-0.03426948,0.960608962
ACBD5,-0.48275,0.109152818,0.961965048,-0.961965048,0.273174887,-0.44,9.30E-04,3.031630723,-3.031630723,0.010684425
ACBD6,0.351,0.021324747,1.671116122,1.671116122,0.094637726,0.325,0.023962061,1.620475828,1.620475828,0.093571762
ACBD7,0.912,0.055402423,1.256471241,1.256471241,0.174808713,0.175,0.26492934,0.576869942,0.576869942,0.469770416
ACD,0.25105,0.025417407,1.594868764,1.594868764,0.106433539,0.11,0.649982328,0.187098451,0.187098451,0.800503171
ACE,-0.2411,0.105487873,0.976797466,-0.976797466,0.266904127,-0.08,0.9776546,0.009814552,-0.009814552,0.98901722
ACIN1,0.2764,0.054694545,1.262055989,1.262055989,0.172946183,0.19,0.030567029,1.514746765,1.514746765,0.110765011
ACLY,0.4405,0.050595267,1.295890108,1.295890108,0.164237955,0.005,0.719950494,0.142697366,0.142697366,0.846765258
ACO1,-0.191,0.397659318,0.400488836,-0.400488836,0.601184372,-0.165,0.508598758,0.293624704,-0.293624704,0.693196268
ACO2,-0.2665,0.382211861,0.41769584,-0.41769584,0.587560086,-0.005,0.92412537,0.034269107,-0.034269107,0.960608962
ACOT1,-0.1015,0.648792298,0.187894314,-0.187894314,0.797624699,-0.19,0.579184828,0.237182823,-0.237182823,0.752222985
ACOT11,-0.24471,0.728373876,0.137645639,-0.137645639,0.848380998,0.12,0.545175997,0.263463273,0.263463273,0.722882899
ACOT13,-0.3665,0.267393229,0.572849594,-0.572849594,0.474532838,-0.15,0.237164834,0.624949707,-0.624949707,0.436980236
ACOT4,0.0985,0.347982455,0.458442652,0.458442652,0.555817964,-0.25,0.294862679,0.530380194,-0.530380194,0.499983116
ACOT7,0.6631,9.50E-04,3.022117917,3.022117917,0.012167958,0.9,7.14E-05,4.146562689,4.146562689,0.002162368
ACOT8,0.053,0.694984608,0.158024813,0.158024813,0.826381092,0.165,0.182438834,0.738882713,0.738882713,0.367708228
ACOT9,-0.07,0.352455879,0.452895241,-0.452895241,0.559690307,0.15,0.391372087,0.407410152,0.407410152,0.595116665
ACOX1,-0.48475,0.015290487,1.81557868,-1.81557868,0.076648167,-0.19,0.109089591,0.962216688,-0.962216688,0.2616188
ACOX2,-0.274,0.128678938,0.890492531,-0.890492531,0.303349256,-1.375,0.004511058,2.345721634,-2.345721634,0.030177471
ACOX3,-1.0025,3.65E-05,4.437178502,-4.437178502,0.001731258,-1.01,6.20E-04,3.207662992,-3.207662992,0.008230272
ACP1,0.20685,0.140704047,0.851693412,0.851693412,0.320012299,0.14,0.508560177,0.29365765,0.29365765,0.693196268
ACP2,-0.03,0.827073629,0.082455826,-0.082455826,0.910669831,0.04,0.805285407,0.094050171,0.094050171,0.892557723
ACP5,0.2671,0.16995791,0.769658618,0.769658618,0.359427709,0.575,0.037688868,1.42378691,1.42378691,0.127277898
ACP6,-0.2629,0.017022814,1.768968646,-1.768968646,0.082150164,-0.49,0.009966531,2.001455964,-2.001455964,0.051237774
ACPP,0.2004,0.607833192,0.216215588,0.216215588,0.771961553,-0.12,0.711599952,0.14776409,-0.14776409,0.84393565
ACSF2,0.2055,0.7074418,0.150309283,0.150309283,0.834496024,0.58,0.134744037,0.870490445,0.870490445,0.30077043
ACSF3,-0.17707,0.228468081,0.641174465,-0.641174465,0.431392887,-0.395,0.016483129,1.782960341,-1.782960341,0.072671929
ACSL1,-0.04875,0.805324138,0.094029283,-0.094029283,0.897873959,0.09,0.928581256,0.032180087,0.032180087,0.962731207
ACSL3,0.3315,0.045532553,1.341677995,1.341677995,0.153267806,-0.035,0.494305808,0.306004287,-0.306004287,0.68020655
ACSL4,-0.2325,0.33813499,0.470909886,-0.470909886,0.546246601,-0.685,0.025415866,1.594895086,-1.594895086,0.097539352
ACSL5,-1.1625,5.48E-04,3.261201407,-3.261201407,0.008574388,-2.02,1.49E-04,3.825938314,-3.825938314,0.003407761
ACSM3,-0.8085,0.021010574,1.677562083,-1.677562083,0.094089173,-0.825,0.039800966,1.400106384,-1.400106384,0.132171829
ACSS1,-0.0055,0.282161221,0.549502674,-0.549502674,0.489270851,-0.155,0.466480064,0.331166912,-0.331166912,0.65793616
ACSS2,0.132,0.106697695,0.971844963,0.971844963,0.269305065,0.215,0.262513984,0.580847557,0.580847557,0.466865364
ACSS3,0.069,0.77512661,0.110627353,0.110627353,0.878277918,0.28,0.610229729,0.214506638,0.214506638,0.772048669
ACTA1,0.94,0.045205123,1.344812347,1.344812347,0.153159859,0.235,0.645964049,0.189791652,0.189791652,0.797634905
ACTA2,0.1595,0.753761822,0.122765863,0.122765863,0.863694448,0.51,0.866546453,0.062208151,0.062208151,0.926998153
ACTB,0.580945,0.028512893,1.544958722,1.544958722,0.114486541,-0.125,0.654037076,0.184397632,-0.184397632,0.803562712
ACTBL2,0.3227,0.028512337,1.544967186,1.544967186,0.114486541,1.175,0.062593859,1.203468273,1.203468273,0.180661333
ACTG1,0.254,0.497913132,0.30284642,0.30284642,0.687222478,0.765,7.46E-04,3.127487473,3.127487473,0.009246656
ACTG2,0.9155,0.305334673,0.515223876,0.515223876,0.511824955,1.135,0.762284545,0.117882885,0.117882885,0.868310149
ACTL6A,0.29481,0.002103594,2.677037986,2.677037986,0.020240749,0.775,2.39E-06,5.621236783,5.621236783,4.16E-04
ACTL8,2.1625,0.077501725,1.110688629,1.110688629,0.219693798,3.745,0.001617367,2.79119151,2.79119151,0.015239437
ACTN1,0.0685,0.410273694,0.386926328,0.386926328,0.612054005,0.04,0.523056851,0.281451105,0.281451105,0.703909304
ACTN2,0.109425,0.783722922,0.105837451,0.105837451,0.883960129,1.66,0.010126861,1.994525162,1.994525162,0.051761997
ACTN3,-0.32185,0.134952005,0.86982066,-0.86982066,0.31192049,0.61,0.009995978,2.000174718,2.000174718,0.051340088
ACTN4,0.13995,0.968722772,0.013800491,0.013800491,0.986123715,0.36,0.034686859,1.459835023,1.459835023,0.120651062
ACTR10,-0.1974,0.002936145,2.532222523,-2.532222523,0.025567387,0.02,0.560102866,0.251732205,0.251732205,0.735734069
ACTR1A,-0.2072,0.046749692,1.330221245,-1.330221245,0.15612132,-0.085,0.534056663,0.272412663,-0.272412663,0.713982994
ACTR1B,-0.4387,0.001551933,2.80912698,-2.80912698,0.016627801,-0.21,0.228370365,0.641360254,-0.641360254,0.425852508
ACTR2,0.1039,0.534096735,0.272380077,0.272380077,0.71686184,0.315,0.002394328,2.620816342,2.620816342,0.019727547
ACTR3,0.09115,0.385271923,0.414232639,0.414232639,0.58977223,0.435,0.009037839,2.043935408,2.043935408,0.048247604
ACTR3B,-0.655,0.002225235,2.652624135,-2.652624135,0.02109649,-0.105,0.25080005,0.60067238,-0.60067238,0.453509261
ACTR5,0.1518655,0.031924668,1.495873607,1.495873607,0.122906235,0.475,2.07E-05,4.685008442,4.685008442,0.001117365
ACTR6,0.04577,0.831439038,0.080169588,0.080169588,0.913634071,-0.245,0.091746016,1.037412784,-1.037412784,0.233900157
ACTR8,0.121,0.370129488,0.431646313,0.431646313,0.576286993,-0.05,0.497851451,0.302900222,-0.302900222,0.683672014
ACVR1,-0.4653,0.001692407,2.771495243,-2.771495243,0.017657898,-0.13,0.118047577,0.927942922,-0.927942922,0.275728524
ACY3,-0.336,0.018200847,1.739908391,-1.739908391,0.086074322,-1.345,4.00E-04,3.398230778,-3.398230778,0.006182138
ACYP1,-0.0925,0.563974177,0.248740781,-0.248740781,0.739820215,-0.025,1,0,0,1
ACYP2,0.03515,0.490835936,0.309063648,0.309063648,0.681097463,-0.405,0.021624188,1.665060192,-1.665060192,0.087413266
ADA,0.602,1.71E-04,3.767264227,3.767264227,0.004151632,1.19,3.48E-05,4.458524196,4.458524196,0.001421702
ADA2,0.5198,0.059068977,1.228640552,1.228640552,0.18254552,-0.64,0.177020635,0.751976105,-0.751976105,0.360815679
ADAL,-0.0195,0.935773137,0.028829426,-0.028829426,0.970684457,-0.12,0.358253715,0.445809298,-0.445809298,0.562377135
ADAM10,-0.6555,2.90E-04,3.537725338,-3.537725338,0.005783319,-0.2,0.24847111,0.6047241,-0.6047241,0.450566256
ADAM15,-0.11395,0.419892504,0.376861878,-0.376861878,0.62086383,0.075,0.586865657,0.231461304,0.231461304,0.757989411
ADAM17,0.1095,0.523106299,0.28141005,0.28141005,0.70843113,0.56,1.07E-05,4.972368881,4.972368881,7.72E-04
ADAM28,-0.976,3.60E-04,3.444195493,-3.444195493,0.006520033,-1.935,0.001091725,2.961886729,-2.961886729,0.01177911
ADAM9,-0.5515,0.034709054,1.459557218,-1.459557218,0.129676066,-0.455,0.08048754,1.094271348,-1.094271348,0.214223839
ADAMDEC1,0.2661,0.429543809,0.366992536,0.366992536,0.628472976,1.845,0.021641165,1.664719368,1.664719368,0.087413266
ADAMTS1,0.7078,0.023985731,1.620047042,1.620047042,0.102622119,1.76,0.00451162,2.345667508,2.345667508,0.030177471
ADAMTS15,0.8664,0.082384394,1.084155049,1.084155049,0.228436747,2.035,0.007668147,2.115309545,2.115309545,0.043263466
ADAMTS2,0.5565,0.136302812,0.865495183,0.865495183,0.314132548,0.65,0.156405694,0.80574744,0.80574744,0.331964571
ADAMTS5,0.15585,0.291537311,0.535305857,0.535305857,0.499015258,0.075,0.407085262,0.390314621,0.390314621,0.608718942
ADAMTS8,-0.347,0.13084146,0.883254617,-0.883254617,0.306726217,-2.455,2.84E-04,3.54718572,-3.54718572,0.005016623
ADAMTS9,0.31435,0.194783775,0.710447222,0.710447222,0.391575109,0.575,0.156421641,0.805703162,0.805703162,0.331964571
ADAMTSL1,0.275245,0.840186631,0.075624233,0.075624233,0.918643634,0.04,0.690840308,0.160622331,0.160622331,0.82831858
ADAMTSL2,0.3594,0.473500139,0.324679889,0.324679889,0.667119948,-0.055,0.473361879,0.32480672,-0.32480672,0.663841827
ADAMTSL3,-0.331,0.215108187,0.667343059,-0.667343059,0.417376113,0.03,0.848955695,0.071114974,0.071114974,0.91755495
ADAMTSL4,0.3215,0.056120512,1.250878379,1.250878379,0.176059467,0.435,0.016256606,1.788970112,1.788970112,0.071842971
ADAMTSL5,0.055,0.43621506,0.360299345,0.360299345,0.633973703,0.015,0.946407392,0.023921876,0.023921876,0.972512512
ADAP1,0.06425,0.758021133,0.120318687,0.120318687,0.86599154,0.045,0.515813124,0.287507612,0.287507612,0.699610413
ADAP2,0.06895,0.552004178,0.258057635,0.258057635,0.731196057,0.445,0.073950983,1.13105605,1.13105605,0.202562036
ADAR,0.4034,9.45E-05,4.024430095,4.024430095,0.002981086,0.845,3.36E-04,3.473708288,3.473708288,0.005564348
ADARB1,0.012,0.618112883,0.208932204,0.208932204,0.777498388,0.905,9.50E-04,3.022297127,3.022297127,0.010795343
ADAT1,-0.2004,0.190405946,0.720319494,-0.720319494,0.38621163,-0.25,0.018616797,1.730095032,-1.730095032,0.079269079
ADAT2,-0.0076,0.986592811,0.005862054,-0.005862054,0.994552345,0.36,0.063708576,1.195802103,1.195802103,0.182541232
ADAT3,-0.0379,0.579204746,0.237167888,-0.237167888,0.750781311,-0.735,0.0064801,2.188418304,-2.188418304,0.038561083
ADCK1,-0.2611,0.548936596,0.260477815,-0.260477815,0.7284792,-0.255,0.173422458,0.760894662,-0.760894662,0.355664335
ADCK5,0.2928,0.546206125,0.262643434,0.262643434,0.726989698,0.06,0.582994247,0.234335731,0.234335731,0.754856056
ADCY3,-0.0145,0.656604304,0.182696275,-0.182696275,0.802606958,0.525,0.013712655,1.862878442,1.862878442,0.063739596
ADCY6,-0.4,0.21566409,0.666222163,-0.666222163,0.417376113,-0.395,0.040878254,1.388507666,-1.388507666,0.13467099
ADD1,-0.3585,0.035679984,1.447575354,-1.447575354,0.132026615,-0.075,0.284584291,0.545789077,-0.545789077,0.489214816
ADD2,0.7965,0.00333369,2.477074785,2.477074785,0.027728254,1.985,6.33E-04,3.198376461,3.198376461,0.008328841
ADD3,-0.5476,0.001278302,2.893366582,-2.893366582,0.014763686,-0.56,0.006816536,2.166436256,-2.166436256,0.039890708
ADGRA3,0.066148,0.962507782,0.016595751,0.016595751,0.983315377,0.185,0.32138706,0.492971613,0.492971613,0.527138279
ADGRE2,0.0466,0.208540937,0.68080868,0.68080868,0.409152111,0.72,0.008752421,2.057871782,2.057871782,0.04739294
ADGRE5,0.26965,0.050593652,1.295903973,1.295903973,0.164237955,0.535,0.021314302,1.67132888,1.67132888,0.086616001
ADGRF5,0.061,0.304385367,0.51657623,0.51657623,0.511824955,0.165,0.487290286,0.312212246,0.312212246,0.674532873
ADGRG1,0.3685,0.188061817,0.725699372,0.725699372,0.382961154,0.04,0.9642559,0.015807695,0.015807695,0.982303855
ADGRG2,0.06145,0.263410416,0.579367056,0.579367056,0.470761575,0.295,0.618114113,0.20893134,0.20893134,0.778173072
ADGRG3,-0.44267,0.324455022,0.488845499,-0.488845499,0.531583418,-0.365,0.598507152,0.222930656,-0.222930656,0.767582768
ADGRL1,0.15,0.653265399,0.184910344,0.184910344,0.800777052,0.735,0.007415748,2.129845053,2.129845053,0.042340688
ADGRL2,0.3018,0.042019829,1.376545722,1.376545722,0.14570712,1.085,0.009046051,2.043540973,2.043540973,0.048247604
ADGRL3,-0.1945,0.65806658,0.181730164,-0.181730164,0.802606958,0.795,0.866548766,0.062206992,0.062206992,0.926998153
ADGRL4,-0.284,0.433701537,0.362809039,-0.362809039,0.632440753,0.135,0.567739946,0.245850548,0.245850548,0.742679278
ADH1A,0.0015,0.942806431,0.025577464,0.025577464,0.973404231,-1.38,5.25E-05,4.280058044,-4.280058044,0.001823863
ADH1B,0.325,0.888631105,0.051278489,0.051278489,0.943489891,0.375,0.792340619,0.10108808,0.10108808,0.886763994
ADH1C,-0.4565,0.146845722,0.833138701,-0.833138701,0.326750885,-2.625,0.015290487,1.81557868,-1.81557868,0.06877793
ADH4,0.17765,0.441024328,0.355537453,0.355537453,0.639343487,-1.205,8.22E-05,4.085109136,-4.085109136,0.002336247
ADH5,-0.8055,0.00283061,2.548120026,-2.548120026,0.02500618,-0.62,2.66E-04,3.575926032,-3.575926032,0.004804986
ADH6,-0.2877,0.438802348,0.357731058,-0.357731058,0.637262641,-1.93,3.16E-04,3.500310026,-3.500310026,0.005341836
ADH7,-0.9457395,8.76E-04,3.057618565,-3.057618565,0.0115734,-1.83,0.026086238,1.583588542,-1.583588542,0.099639488
ADI1,0.26,0.038740527,1.411834477,1.411834477,0.138982779,0.165,0.211510232,0.674668619,0.674668619,0.403904036
ADIPOQ,-0.386,0.449537187,0.347234376,-0.347234376,0.645191,-0.235,0.297438905,0.526602227,-0.526602227,0.502884363
ADIPOR1,0.6096,0.027347781,1.563077903,1.563077903,0.11179497,-0.25,0.074816237,1.12600414,-1.12600414,0.204165134
ADIRF,-0.169,0.7074418,0.150309283,-0.150309283,0.834496024,-0.755,0.197625771,0.704156423,-0.704156423,0.387332886
ADK,-0.3905,0.002103746,2.677006643,-2.677006643,0.020240749,-0.155,0.034678616,1.459938241,-1.459938241,0.120651062
ADM,-1.1,0.026231626,1.581174787,-1.581174787,0.108631579,-0.895,0.052602022,1.278997561,-1.278997561,0.160260661
ADNP,0.4011,0.004673476,2.33035999,2.33035999,0.034450332,0.42,0.01503033,1.823031483,1.823031483,0.067985759
ADO,0.0371,0.57157069,0.242930049,0.242930049,0.746569223,0.155,0.429545689,0.366990635,0.366990635,0.628017136
ADPGK,0.1435,0.54149697,0.266403969,0.266403969,0.721833558,-0.02,0.719932652,0.142708129,-0.142708129,0.846765258
ADPRH,0.332,0.040902258,1.388252713,1.388252713,0.143224198,0.585,0.002880827,2.540482836,2.540482836,0.022412581
ADPRHL2,0.1923,0.237238704,0.624814456,0.624814456,0.440585802,0.45,0.001327102,2.877095617,2.877095617,0.013373496
ADRA2A,-0.42637,0.124373711,0.905271409,-0.905271409,0.297207316,-2.12,5.51E-05,4.259240576,-4.259240576,0.001860555
ADRM1,0.2225,0.062930035,1.201142028,1.201142028,0.19089677,0.95,5.25E-06,5.279950741,5.279950741,5.58E-04
ADSL,0.181,0.081500991,1.088837111,1.088837111,0.226489239,0.185,0.062104614,1.206876136,1.206876136,0.179434947
ADSS,0.204,0.050592844,1.295910906,1.295910906,0.164237955,0.215,0.282130904,0.549549339,0.549549339,0.487500456
ADSSL1,0.013,0.879788475,0.055621731,0.055621731,0.939776113,0.265,0.310628698,0.507758423,0.507758423,0.516250827
