ID,FoldChange.protein,pval.protein,logp.protein,signedlogp.protein,FDR.protein,FoldChange.rna,pval.rna,logp.rna,signedlogp.rna,FDR.rna
ACAD10,0.023,0.709727078,0.148908625,0.148908625,0.900710958,-0.01,0.534938483,0.271696158,-0.271696158,0.755088844
ACAD11,-0.2523,0.099414868,1.00254866,-1.00254866,0.398058507,-0.01,0.328144165,0.483935314,-0.483935314,0.598257403
ACAD8,-0.1204,0.36902956,0.432938844,-0.432938844,0.697711432,0.035,0.465588795,0.33199748,0.33199748,0.709888602
ACAD9,0.1576,0.496553121,0.304034284,0.304034284,0.784882583,0.115,0.05223979,1.281998579,1.281998579,0.221892144
ACADL,-0.10745,0.702756881,0.153194894,-0.153194894,0.896744883,-0.58,0.465661377,0.331929782,-0.331929782,0.709888602
ACADM,0.183,0.29046538,0.536905622,0.536905622,0.63185651,0.225,0.154306366,0.811616156,0.811616156,0.399184157
ACADS,0.14895,0.272724309,0.564276149,0.564276149,0.612407116,0.36,0.002020561,2.694528024,2.694528024,0.036746413
ACADSB,0.2186,0.680394949,0.167238919,0.167238919,0.887329786,-0.055,0.73566954,0.133317225,-0.133317225,0.876539836
ACADVL,-0.1325,0.128843968,0.88993591,-0.88993591,0.44585228,-0.08,0.292632225,0.53367785,-0.53367785,0.563307385
ACAP1,0.122445,0.35854075,0.445461478,0.445461478,0.690303683,0.295,0.26199185,0.581712218,0.581712218,0.531755774
ACAP2,-0.0785,0.363747678,0.439199771,-0.439199771,0.693132603,0.085,0.404309475,0.393286081,0.393286081,0.660457421
ACAP3,-0.015,0.253873318,0.595382941,-0.595382941,0.592278992,-0.015,0.609170253,0.215261312,-0.215261312,0.801924026
ACAT1,0.0855,0.353371111,0.451768958,0.451768958,0.687382579,0.225,0.085916995,1.065920922,1.065920922,0.291465884
ACAT2,0.4245,0.004670943,2.330595425,2.330595425,0.101515289,0.485,0.00459538,2.337678582,2.337678582,0.05835501
ACBD3,0.069,0.249561631,0.602822185,0.602822185,0.587860679,0.055,0.200336383,0.698240171,0.698240171,0.459466051
ACBD5,0.1005,0.680393365,0.16723993,0.16723993,0.887329786,0.02,0.623128295,0.205422528,0.205422528,0.810673148
ACBD6,-0.0625,0.956463446,0.019331623,-0.019331623,0.985514047,0.12,0.90517335,0.043268241,0.043268241,0.960361609
ACBD7,-0.1425,0.63375382,0.19807941,-0.19807941,0.868921195,-0.085,0.595332809,0.225240182,-0.225240182,0.793515817
ACD,-0.062,0.471743244,0.326294311,-0.326294311,0.76776031,0.175,0.07078232,1.150075209,1.150075209,0.262032926
ACE,0.02105,0.544858656,0.263716145,0.263716145,0.818051091,-0.125,0.916984221,0.037638137,-0.037638137,0.96500359
ACIN1,0.106585,0.069300437,1.159264028,1.159264028,0.334654057,0.08,0.264005953,0.57838628,0.57838628,0.534056253
ACLY,0.403335,1.06E-04,3.974066065,3.974066065,0.015174128,0.435,6.73E-06,5.171833844,5.171833844,0.00217017
ACO1,0.134,0.058641533,1.231794685,1.231794685,0.308142627,0.365,0.006431844,2.191664474,2.191664474,0.069421398
ACO2,0.00485,0.702349662,0.153446622,0.153446622,0.896337644,0.14,0.037088726,1.430758087,1.430758087,0.184474587
ACOT1,-0.0295,0.827197218,0.082390935,-0.082390935,0.946493626,-0.025,0.59880946,0.222711347,-0.222711347,0.79561004
ACOT11,0.0975,0.869906612,0.060527368,0.060527368,0.956844463,0.065,0.720809678,0.142179391,0.142179391,0.867551987
ACOT13,0.0905,0.522027652,0.282306492,0.282306492,0.802090189,0.09,0.441655009,0.35491684,0.35491684,0.691861559
ACOT4,-0.17158,0.263518203,0.579189379,-0.579189379,0.602210775,0.085,0.889474678,0.050866411,0.050866411,0.952887452
ACOT7,0.5745,7.26E-04,3.139345942,3.139345942,0.039681929,0.745,5.51E-04,3.258568679,3.258568679,0.01780714
ACOT8,0.066,0.655117069,0.183681085,0.183681085,0.87829602,-0.085,0.358485257,0.4455287,-0.4455287,0.623459313
ACOT9,-0.0465,0.956463218,0.019331727,-0.019331727,0.985514047,-0.01,0.509132435,0.293169235,-0.293169235,0.744017786
ACOX1,0.035,0.551473799,0.258475117,0.258475117,0.821763698,-0.14,0.011675269,1.932733093,-1.932733093,0.097190018
ACOX2,-0.2684,0.008118999,2.090497502,-2.090497502,0.129073703,-1.095,0.002901951,2.537309884,-2.537309884,0.045364111
ACOX3,-0.105,0.205662201,0.68684552,-0.68684552,0.541466556,-0.09,0.393264989,0.405314716,-0.405314716,0.651336122
ACP1,0.0705,0.216540641,0.664460582,0.664460582,0.554025624,0.135,0.231561779,0.635333123,0.635333123,0.497292831
ACP2,-0.0685,0.272719276,0.564284164,-0.564284164,0.612407116,0.12,0.233484271,0.631742371,0.631742371,0.499363378
ACP5,0.0419,0.308964172,0.510091879,0.510091879,0.649430574,0.175,0.239475946,0.620738102,0.620738102,0.507294064
ACP6,0.062,0.916992903,0.037634026,0.037634026,0.972706632,-0.15,0.12387016,0.907033303,-0.907033303,0.357499299
ACPP,-0.11225,0.278110534,0.555782561,-0.555782561,0.61982223,-0.085,0.094404443,1.025007567,-1.025007567,0.307964751
ACSF2,-5.55E-17,0.616190113,0.210285274,-0.210285274,0.859697528,-0.08,0.694992503,0.15801988,-0.15801988,0.853903677
ACSF3,0.035145,0.88555883,0.052782582,0.052782582,0.962799538,0.17,0.01118168,1.951492924,1.951492924,0.094779618
ACSL1,-0.0728,0.181866008,0.740248467,-0.740248467,0.514413768,-0.21,0.277045019,0.557449654,-0.557449654,0.547274596
ACSL3,0.041,0.956463218,0.019331727,0.019331727,0.985514047,-0.045,0.404341546,0.393251633,-0.393251633,0.660457421
ACSL4,-0.44734,0.00285662,2.5441475,-2.5441475,0.079141257,-0.79,1.53E-04,3.816593176,-3.816593176,0.008648723
ACSL5,-0.2947,0.158694545,0.799438002,-0.799438002,0.487032786,-0.805,0.007471091,2.126615955,-2.126615955,0.075295287
ACSM3,0.1945,0.297308099,0.526793261,0.526793261,0.637944354,0.18,0.123901721,0.906922663,0.906922663,0.357499299
ACSS1,0.278835,0.104612754,0.980415364,0.980415364,0.405787891,0.565,0.058622986,1.231932068,1.231932068,0.235457987
ACSS2,-0.1025,0.061339645,1.212258743,-1.212258743,0.316301188,0.095,0.74319023,0.128900008,0.128900008,0.881029556
ACSS3,-0.7245,0.012722304,1.895434239,-1.895434239,0.158586869,-1.33,0.001416311,2.848841304,-2.848841304,0.030023547
ACTA1,0.385,0.464292124,0.333208684,0.333208684,0.765048298,0.31,0.487088565,0.312392066,0.312392066,0.727329473
ACTA2,-0.286,0.651532026,0.186064232,-0.186064232,0.876568341,-0.045,0.581701476,0.235299834,-0.235299834,0.78460786
ACTB,-0.081,0.42715177,0.36941779,-0.36941779,0.741793776,0.19,0.268345189,0.571306186,0.571306186,0.538560198
ACTBL2,-0.0145,0.846522929,0.072361274,-0.072361274,0.951132101,-0.915,0.037806921,1.422428692,-1.422428692,0.18677488
ACTG1,0.174,0.800180072,0.096812269,0.096812269,0.936153485,0.455,4.25E-04,3.371440124,3.371440124,0.015235518
ACTG2,-0.159,0.591958118,0.227709019,-0.227709019,0.846898687,0.025,0.920930679,0.035773059,0.035773059,0.967113964
ACTL6A,-0.08455,0.366387754,0.43605905,-0.43605905,0.695168794,0.14,0.229631151,0.638969197,0.638969197,0.495472298
ACTL8,-0.53555,0.145035494,0.838525701,-0.838525701,0.469854144,0.41,0.484963137,0.314291272,0.314291272,0.726393016
ACTN1,-0.2395,0.313700348,0.503484999,-0.503484999,0.653126704,-0.1,0.274847283,0.560908552,-0.560908552,0.544888239
ACTN2,-0.2161,0.2662625,0.574689995,-0.574689995,0.604999532,-0.71,0.018130429,1.741591912,-1.741591912,0.124040269
ACTN3,-0.17,0.260978804,0.583394763,-0.583394763,0.599462778,-0.035,0.554312567,0.256245275,-0.256245275,0.76849122
ACTN4,-0.16885,0.05112046,1.291405246,-1.291405246,0.291058734,0,0.424207605,0.372421549,0,0.678044524
ACTR10,-0.0846,0.020737417,1.683245344,-1.683245344,0.200636379,-0.13,0.075527691,1.121893791,-1.121893791,0.272270144
ACTR1A,-0.18255,0.025850979,1.587523,-1.587523,0.217403384,-0.055,0.387771758,0.411423825,-0.411423825,0.646248086
ACTR1B,-0.1682,0.398836922,0.399204645,-0.399204645,0.72442084,0.085,0.605648336,0.217779471,0.217779471,0.800097031
ACTR2,-7.50E-04,0.506024076,0.29582882,-0.29582882,0.792958039,0.19,0.358462552,0.445556208,0.445556208,0.623459313
ACTR3,-0.017082,0.285952021,0.54370683,-0.54370683,0.626248616,0.1,0.167603795,0.775716151,0.775716151,0.417525314
ACTR3B,-0.241,0.032431558,1.489032191,-1.489032191,0.236527573,0.005,0.713392254,0.14667161,0.14667161,0.86374531
ACTR5,-0.0295,0.78488034,0.105196549,-0.105196549,0.931158992,0.215,0.24743485,0.606539132,0.606539132,0.516687194
ACTR6,0.1402,0.003464666,2.460338637,2.460338637,0.086507106,0.235,0.002946444,2.53070184,2.53070184,0.045808104
ACTR8,-0.00674,0.823275883,0.084454606,-0.084454606,0.945525715,-0.005,0.311256466,0.506881618,-0.506881618,0.581462555
ACVR1,-0.11582,0.733083781,0.134846389,-0.134846389,0.910772943,-0.06,0.034468617,1.462576141,-1.462576141,0.176337028
ACY3,0.4249,0.004419853,2.354592209,2.354592209,0.099123055,0.745,0.006831555,2.165480428,2.165480428,0.071925435
ACYP1,0.0794,0.073190471,1.135545456,1.135545456,0.344749701,0.165,0.053505593,1.271600822,1.271600822,0.224249708
ACYP2,-0.2529,0.019668109,1.706237394,-1.706237394,0.195787194,-0.125,0.031610321,1.500171095,-1.500171095,0.16786993
ADA,0.07615,0.181863715,0.740253942,0.740253942,0.514413768,0.185,0.588518979,0.230239528,0.230239528,0.789111409
ADA2,0.0481,0.61968497,0.207829037,0.207829037,0.862508774,-0.59,0.222110569,0.653430775,-0.653430775,0.48613789
ADAL,-0.152,0.249242693,0.603377565,-0.603377565,0.587860679,-0.215,0.471719984,0.326315725,-0.326315725,0.715575242
ADAM10,0.048,0.743244842,0.128868096,0.128868096,0.912662877,0.18,0.087718577,1.05690842,1.05690842,0.295380809
ADAM15,0.1422,0.150076605,0.823687002,0.823687002,0.475989391,0.22,0.112214741,0.949950087,0.949950087,0.338258033
ADAM17,-0.3592,0.032432467,1.489020019,-1.489020019,0.236527573,-0.11,0.292637293,0.53367033,-0.53367033,0.563307385
ADAM28,-0.036,0.897328759,0.047048413,-0.047048413,0.967548209,0.18,0.960415205,0.017540973,0.017540973,0.983920475
ADAM9,0.226,0.404405671,0.393182762,0.393182762,0.729472528,0.35,0.061297462,1.212557509,1.212557509,0.241537145
ADAMDEC1,0.1146,0.341175946,0.467021596,0.467021596,0.679310204,0.665,0.073989526,1.130829754,1.130829754,0.268662616
ADAMTS1,0.322,0.016978965,1.770088783,1.770088783,0.18192575,0.41,0.225899316,0.646085085,0.646085085,0.490630182
ADAMTS15,-0.39425,0.667983016,0.17523458,-0.17523458,0.881869203,-0.07,0.438789246,0.357744025,-0.357744025,0.689304396
ADAMTS2,0.345,0.090203218,1.044777967,1.044777967,0.382886553,0.425,0.060630648,1.217307793,1.217307793,0.240266627
ADAMTS5,-0.3415,0.13005151,0.885884602,-0.885884602,0.446310778,-0.25,0.212860655,0.671904605,-0.671904605,0.474295682
ADAMTS8,0.26755,0.710419047,0.148485403,0.148485403,0.901248083,-0.225,0.651530318,0.18606537,-0.18606537,0.827588803
ADAMTS9,0.1386,0.295088996,0.530046985,0.530046985,0.635466862,0.185,0.781062255,0.107314349,0.107314349,0.900290827
ADAMTSL1,-0.3735,0.009858386,2.00619417,-2.00619417,0.141675861,-0.6,0.03756488,1.425217997,-1.425217997,0.185827385
ADAMTSL2,-0.2521,0.04696524,1.328223458,-1.328223458,0.280966388,-0.375,0.039899517,1.399032363,-1.399032363,0.191804761
ADAMTSL3,-0.42755,0.121655347,0.914868798,-0.914868798,0.434280826,-1.085,0.17862985,0.748045966,-0.748045966,0.431377743
ADAMTSL4,-0.014,0.39056726,0.408304165,-0.408304165,0.717059031,-0.365,0.013448165,1.871336983,-1.871336983,0.104744722
ADAMTSL5,-0.465,0.081506489,1.088807815,-1.088807815,0.362122256,-0.18,0.316079964,0.500203032,-0.500203032,0.586389294
ADAP1,0.06197,0.361147114,0.442315852,0.442315852,0.691709319,0.58,0.001016823,2.992754682,2.992754682,0.025165411
ADAP2,-0.0733,0.577351331,0.238559828,-0.238559828,0.839247694,0.045,0.842632696,0.074361693,0.074361693,0.931897251
ADAR,0.0132,0.25366906,0.595732501,0.595732501,0.592065976,0.02,0.205512287,0.687162208,0.687162208,0.46602561
ADARB1,-0.2005,0.057979344,1.236726699,-1.236726699,0.306788094,0.055,0.393289821,0.405287294,0.405287294,0.651336122
ADAT1,0.1699,0.021229761,1.673054895,1.673054895,0.202868077,0.085,0.051068054,1.291850687,1.291850687,0.219058562
ADAT2,-0.09565,0.401616732,0.396188202,-0.396188202,0.726152445,-0.195,1,0,0,1
ADAT3,0.0749,0.363757748,0.439187747,0.439187747,0.693132603,-0.125,0.889472373,0.050867537,-0.050867537,0.952887452
ADCK1,-0.00335,0.412846812,0.384211064,-0.384211064,0.735182173,0.045,0.283656295,0.547207574,0.547207574,0.554143923
ADCK5,0.0605,0.318545497,0.49682853,0.49682853,0.657452392,0.165,0.008394779,2.075990713,2.075990713,0.080191742
ADCY3,-0.22,0.076494472,1.116369948,-1.116369948,0.350286519,-0.315,0.14451931,0.84007412,-0.84007412,0.384790556
ADCY6,0.25995,0.233326941,0.632035113,0.632035113,0.571240719,0.11,0.13646061,0.864992692,0.864992692,0.372329235
ADD1,-0.3966,1.94E-04,3.713101802,-3.713101802,0.021398761,-0.045,0.075538434,1.121832024,-1.121832024,0.272270144
ADD2,-0.472,0.024561104,1.609752113,-1.609752113,0.213906757,-0.625,0.105670835,0.976044859,-0.976044859,0.326866582
ADD3,-0.41685,4.86E-06,5.313629231,-5.313629231,0.00325421,-0.41,0.005201252,2.283892132,-2.283892132,0.062151289
ADGRA3,0.11097,0.690221195,0.161011709,0.161011709,0.892268144,0.01,0.390460309,0.408423106,0.408423106,0.648995175
ADGRE2,0.1002,0.92342371,0.034598979,0.034598979,0.975947883,-0.065,0.91305051,0.039505197,-0.039505197,0.964007664
ADGRE5,0.033,0.877725134,0.056641465,0.056641465,0.960195993,-0.25,0.447612137,0.349098147,-0.349098147,0.696719397
ADGRF5,-0.128,0.369141747,0.432806837,-0.432806837,0.69779572,-0.315,0.014608282,1.835400851,-1.835400851,0.109773412
ADGRG1,0.0675,0.591958118,0.227709019,0.227709019,0.846898687,-0.15,0.574905281,0.240403702,-0.240403702,0.780398969
ADGRG2,-0.41,0.034244667,1.465407051,-1.465407051,0.243922147,-2.025,0.007254022,2.139421122,-2.139421122,0.074350844
ADGRG3,-0.0676,0.735331914,0.133516585,-0.133516585,0.910772943,-0.17,0.522012364,0.28231921,-0.28231921,0.750517953
ADGRL1,-0.0365,0.994025402,0.002602517,-0.002602517,1,-0.17,0.335622148,0.474149387,-0.474149387,0.604137765
ADGRL2,-0.04745,0.148673871,0.827765352,-0.827765352,0.473072466,-0.62,0.018898174,1.723580162,-1.723580162,0.12678937
ADGRL3,-0.2655,0.196902704,0.705748319,-0.705748319,0.532683432,-1.48,0.010145473,1.993727687,-1.993727687,0.089233106
ADGRL4,0.0106,0.840184718,0.075625222,0.075625222,0.948681291,-0.27,0.039896391,1.399066391,-1.399066391,0.191804761
ADH1A,-0.2444,0.248446991,0.604766259,-0.604766259,0.587676907,-0.26,0.462618165,0.334777318,-0.334777318,0.707469478
ADH1B,-0.221,0.067791286,1.16882613,-1.16882613,0.331857981,-2.13,0.02618345,1.581973134,-1.581973134,0.152026087
ADH1C,0.7015,0.098400095,1.007004482,1.007004482,0.39701466,1.595,0.020736081,1.68327331,1.68327331,0.133119758
ADH4,-0.0255,0.975201101,0.010905817,-0.010905817,0.993482033,-0.16,0.97228557,0.01220616,-0.01220616,0.988929518
ADH5,-0.0965,0.361144594,0.442318882,-0.442318882,0.691709319,0.11,0.166111685,0.779599815,0.779599815,0.415790394
ADH6,0.2133,0.253389922,0.596210662,0.596210662,0.592065976,0.98,0.040384718,1.393782945,1.393782945,0.193037563
ADH7,0.347121,0.832626138,0.07954996,0.07954996,0.947391408,-0.685,0.943629752,0.025198375,-0.025198375,0.977664653
ADI1,0.16435,0.120323455,0.919649705,0.919649705,0.43155906,0.06,0.521887824,0.282422836,0.282422836,0.750517953
ADIPOQ,-0.515,0.053535683,1.271356649,-1.271356649,0.296131334,0.08,0.869897816,0.06053176,0.06053176,0.943517914
ADIPOR1,-0.2452,0.396891997,0.401327658,-0.401327658,0.722970638,-0.045,0.901235884,0.045161525,-0.045161525,0.959008171
ADIRF,-0.6755,0.004893098,2.310416121,-2.310416121,0.102654434,-1.18,0.0357844,1.446306262,-1.446306262,0.180210536
ADK,-0.0975,0.148676002,0.827759126,-0.827759126,0.473072466,0,0.93669491,0.02840184,0,0.974849861
ADM,0.33,0.419366934,0.377405816,0.377405816,0.737975967,1.28,0.085933454,1.065837732,1.065837732,0.291465884
ADNP,-0.07005,0.438798855,0.357734515,-0.357734515,0.751069691,0.125,0.952494869,0.021137355,0.021137355,0.981249221
ADO,-0.1633,0.043393026,1.362580061,-1.362580061,0.27139629,-0.1,0.172225191,0.763903326,-0.763903326,0.423633504
ADPGK,0.1249,0.100439757,0.998094345,0.998094345,0.39907865,0.125,0.005869525,2.23139702,2.23139702,0.066419231
ADPRH,-0.1265,0.115658374,0.936822919,-0.936822919,0.421877759,-0.415,0.010284999,1.987795746,-1.987795746,0.090152806
ADPRHL2,-0.12745,0.083256778,1.079580398,-1.079580398,0.366112407,0.165,0.143108171,0.844335569,0.844335569,0.382799115
ADPRM,0.2152,0.409486166,0.387760766,0.387760766,0.734660702,-0.2,0.249494539,0.602938955,-0.602938955,0.518636295
ADRA2A,-0.240585,0.790301643,0.102207115,-0.102207115,0.933405456,0.54,0.415679502,0.381241391,0.381241391,0.670457022
ADRM1,-0.0081,0.901255995,0.045151833,-0.045151833,0.967793333,0.145,0.2183046,0.660937113,0.660937113,0.480864282
ADSL,0.0189,0.502857292,0.298555248,0.298555248,0.789264747,0.085,0.102449864,0.989488613,0.989488613,0.321042589
