ID,Gene,FoldChange.acetyl,pval.acetyl,logp.acetyl,signedlogp.acetyl,FDR.acetyl,FoldChange.rna,pval.rna,logp.rna,signedlogp.rna,FDR.rna
ACSL5-K417,ACSL5,-0.48206,0.156597874,0.805214139,-0.805214139,0.567435943,-2.02,1.49E-04,3.825938314,-3.825938314,0.003407761
ACSS3-K215,ACSS3,0.1236,0.906832298,0.04247302,0.04247302,0.985845275,0.28,0.610229729,0.214506638,0.214506638,0.772048669
ACSS3-K524,ACSS3,-0.022,9.54E-01,2.05E-02,-0.020502376,0.996051694,0.28,0.610229729,0.214506638,0.214506638,0.772048669
ACTA1-K86,ACTA1,-0.0955,0.515922137,0.287415838,-0.287415838,0.847684399,0.235,0.645964049,0.189791652,0.189791652,0.797634905
ACTL6A-K379,ACTL6A,0.28303,0.078378986,1.105800358,1.105800358,0.443858368,0.775,2.39E-06,5.621236783,5.621236783,4.16E-04
ACTL6A-K62,ACTL6A,0.34,0.829298416,0.081289164,0.081289164,0.974961508,0.775,2.39E-06,5.621236783,5.621236783,4.16E-04
ACTN1-K214,ACTN1,0.1431675,0.370785406,0.430877368,0.430877368,0.760477974,0.04,0.523056851,0.281451105,0.281451105,0.703909304
ACTN1-K478,ACTN1,0.1717,0.422116593,0.374567576,0.374567576,0.801412285,0.04,0.523056851,0.281451105,0.281451105,0.703909304
ACTN1-K492,ACTN1,0.08155,0.12886969,0.889849216,0.889849216,0.521595285,0.04,0.523056851,0.281451105,0.281451105,0.703909304
ACTN1-K563,ACTN1,-0.065,0.441754474,0.354819043,-0.354819043,0.810363825,0.04,0.523056851,0.281451105,0.281451105,0.703909304
ACTN1-K649,ACTN1,-0.15275,0.291622103,0.535179562,-0.535179562,0.69708325,0.04,0.523056851,0.281451105,0.281451105,0.703909304
ACTN1-K676,ACTN1,-0.266,0.685370622,0.164074515,-0.164074515,0.92589388,0.04,0.523056851,0.281451105,0.281451105,0.703909304
ACTN1-K89,ACTN1,0.6465,0.03385819,1.47033626,1.47033626,0.348095339,0.04,0.523056851,0.281451105,0.281451105,0.703909304
ACTN4-K108,ACTN4,0.13515,0.383574366,0.416150424,0.416150424,0.770495803,0.36,0.034686859,1.459835023,1.459835023,0.120651062
ACTN4-K323,ACTN4,0.19053,0.269922024,0.568761678,0.568761678,0.677601417,0.36,0.034686859,1.459835023,1.459835023,0.120651062
ACTN4-K395,ACTN4,0.5,0.038428328,1.415348508,1.415348508,0.362535899,0.36,0.034686859,1.459835023,1.459835023,0.120651062
ACTN4-K437,ACTN4,0.0160095,0.521488439,0.282755315,0.282755315,0.847786996,0.36,0.034686859,1.459835023,1.459835023,0.120651062
ACTN4-K518,ACTN4,-0.013,0.937493589,0.028031694,-0.028031694,0.99107133,0.36,0.034686859,1.459835023,1.459835023,0.120651062
ACTN4-K521,ACTN4,0.005,0.957867339,0.018694635,0.018694635,0.996729358,0.36,0.034686859,1.459835023,1.459835023,0.120651062
ACTN4-K592,ACTN4,0.1813,0.173147864,0.761582862,0.761582862,0.58227186,0.36,0.034686859,1.459835023,1.459835023,0.120651062
ACTN4-K622,ACTN4,-0.45885,0.122878072,0.910525613,-0.910525613,0.512555706,0.36,0.034686859,1.459835023,1.459835023,0.120651062
ACTN4-K625,ACTN4,0.1225,0.479133313,0.319543633,0.319543633,0.828051716,0.36,0.034686859,1.459835023,1.459835023,0.120651062
ACTN4-K791,ACTN4,0.179,0.878945699,0.056037955,0.056037955,0.983227298,0.36,0.034686859,1.459835023,1.459835023,0.120651062
ACTN4-K899,ACTN4,0.2254,0.159205288,0.79804251,0.79804251,0.567435943,0.36,0.034686859,1.459835023,1.459835023,0.120651062
ACTR2-K304,ACTR2,0.0897,0.093606717,1.028692988,1.028692988,0.468728205,0.315,0.002394328,2.620816342,2.620816342,0.019727547
ACTR2-K327,ACTR2,0.2055,0.756663323,0.121097317,0.121097317,0.956454445,0.315,0.002394328,2.620816342,2.620816342,0.019727547
ACTR2-K336,ACTR2,0.16035,0.573194729,0.241697812,0.241697812,0.874495539,0.315,0.002394328,2.620816342,2.620816342,0.019727547
ACTR2-K373,ACTR2,0.39485,0.125297962,0.902055991,0.902055991,0.517400251,0.315,0.002394328,2.620816342,2.620816342,0.019727547
ACTR3-K240,ACTR3,0.15785,1.56E-01,0.80686774,0.80686774,0.567435943,0.435,0.009037839,2.043935408,2.043935408,0.048247604
ACTR3-K244,ACTR3,0.173,0.243527118,0.613452671,0.613452671,0.656432476,0.435,0.009037839,2.043935408,2.043935408,0.048247604
ACTR3-K251,ACTR3,-0.1045,0.904383323,0.043647455,-0.043647455,0.985845275,0.435,0.009037839,2.043935408,2.043935408,0.048247604
ACTR3-K254,ACTR3,-0.0219,0.968718238,0.013802524,-0.013802524,0.998260607,0.435,0.009037839,2.043935408,2.043935408,0.048247604
ACTR3-K348,ACTR3,0.11071,0.169004143,0.772102649,0.772102649,0.577480603,0.435,0.009037839,2.043935408,2.043935408,0.048247604
ACTR8-K6,ACTR8,0.3223,3.80E-01,0.420523513,0.420523513,0.76813852,-0.05,0.497851451,0.302900222,-0.302900222,0.683672014
ACYP1-K55,ACYP1,-0.562,0.7393534,0.131147926,-0.131147926,0.948977712,-0.025,1,0,0,1
ADAR-K665,ADAR,0.1333,0.906109471,0.04281933,0.04281933,0.985845275,0.845,3.36E-04,3.473708288,3.473708288,0.005564348
ADD3-K504,ADD3,-0.35265,0.402468728,0.395267859,-0.395267859,0.78682209,-0.56,0.006816536,2.166436256,-2.166436256,0.039890708
ADH1B-K105,ADH1B,0.2519,0.486787792,0.312660322,0.312660322,0.830605521,0.375,0.792340619,0.10108808,0.10108808,0.886763994
ADH1B-K19,ADH1B,0.03885,0.51661378,0.286834014,0.286834014,0.847684399,0.375,0.792340619,0.10108808,0.10108808,0.886763994
ADH1C-K100,ADH1C,0.42315,0.141991342,0.847738136,0.847738136,0.548890125,-2.625,0.015290487,1.81557868,-1.81557868,0.06877793
ADH5-K101,ADH5,-0.21845,0.679708154,0.16767752,-0.16767752,0.925797955,-0.62,2.66E-04,3.575926032,-3.575926032,0.004804986
ADH5-K113,ADH5,-0.43045,0.014783486,1.830223133,-1.830223133,0.264326288,-0.62,2.66E-04,3.575926032,-3.575926032,0.004804986
ADH5-K323,ADH5,-0.1344,0.711961722,0.147543355,-0.147543355,0.936130008,-0.62,2.66E-04,3.575926032,-3.575926032,0.004804986
ADH5-K338,ADH5,-0.223,0.407692701,0.389667064,-0.389667064,0.790989125,-0.62,2.66E-04,3.575926032,-3.575926032,0.004804986
ADH5-K366,ADH5,0.0683,2.69E-01,0.570042212,0.570042212,0.677601417,-0.62,2.66E-04,3.575926032,-3.575926032,0.004804986
ADI1-K73,ADI1,0.0755,0.416961147,0.379904412,0.379904412,0.795231615,0.165,0.211510232,0.674668619,0.674668619,0.403904036
ADIRF-K70,ADIRF,0.149,0.534102459,0.272375423,0.272375423,0.856060685,-0.755,0.197625771,0.704156423,-0.704156423,0.387332886
ADPRHL2-K109,ADPRHL2,0.1175,0.911626808,0.040182912,0.040182912,0.985845275,0.45,0.001327102,2.877095617,2.877095617,0.013373496
ADSL-K295,ADSL,0.006425,0.928587238,0.032177289,0.032177289,0.988287011,0.185,0.062104614,1.206876136,1.206876136,0.179434947
AFF1-K251,AFF1,0.4205,0.516825488,0.286656077,0.286656077,0.847684399,-0.545,0.009039529,2.043854186,-2.043854186,0.048247604
AFF1-K589,AFF1,0.4667,0.054414722,1.264283587,1.264283587,0.396352921,-0.545,0.009039529,2.043854186,-2.043854186,0.048247604
AFF1-K610,AFF1,0.1871,0.910798973,0.040577468,0.040577468,0.985845275,-0.545,0.009039529,2.043854186,-2.043854186,0.048247604
AFF1-K688,AFF1,0.07224,0.397649409,0.400499658,0.400499658,0.781401409,-0.545,0.009039529,2.043854186,-2.043854186,0.048247604
AFF3-K563,AFF3,-0.4999,0.066168623,1.179347906,-1.179347906,0.422524741,-1.735,3.75E-04,3.425924252,-3.425924252,0.00593597
AFF4-K122,AFF4,-0.006693,0.957702635,0.018769318,-0.018769318,0.996729358,-0.28,0.030572858,1.514663967,-1.514663967,0.110765011
AFF4-K503,AFF4,0.5535,0.128104575,0.892435359,0.892435359,0.521595285,-0.28,0.030572858,1.514663967,-1.514663967,0.110765011
AFF4-K538,AFF4,-0.374345,0.671418235,0.173006868,-0.173006868,0.921768451,-0.28,0.030572858,1.514663967,-1.514663967,0.110765011
AFF4-K564,AFF4,0.1697,0.361229087,0.442217286,0.442217286,0.754388607,-0.28,0.030572858,1.514663967,-1.514663967,0.110765011
AFF4-K565,AFF4,0.1697,0.361229087,0.442217286,0.442217286,0.754388607,-0.28,0.030572858,1.514663967,-1.514663967,0.110765011
AFF4-K572,AFF4,0.2068,0.15828182,0.800568964,0.800568964,0.567435943,-0.28,0.030572858,1.514663967,-1.514663967,0.110765011
AFF4-K627,AFF4,0.5793,0.00581285,2.23561088,2.23561088,0.184568011,-0.28,0.030572858,1.514663967,-1.514663967,0.110765011
AFF4-K747,AFF4,0.0504,0.585844452,0.232217678,0.232217678,0.880296299,-0.28,0.030572858,1.514663967,-1.514663967,0.110765011
AFF4-K754,AFF4,0.06325,0.760047345,0.119159354,0.119159354,0.957127455,-0.28,0.030572858,1.514663967,-1.514663967,0.110765011
AFF4-K759,AFF4,-0.53352,0.357852723,0.446295674,-0.446295674,0.753339705,-0.28,0.030572858,1.514663967,-1.514663967,0.110765011
AFF4-K802,AFF4,-0.0945,0.809597523,0.091730829,-0.091730829,0.972019056,-0.28,0.030572858,1.514663967,-1.514663967,0.110765011
AFF4-K876,AFF4,0.6944,0.039472233,1.403708306,1.403708306,0.3640764,-0.28,0.030572858,1.514663967,-1.514663967,0.110765011
AFG3L2-K100,AFG3L2,0.33727,0.929399032,0.031797784,0.031797784,0.988667547,0.75,8.02E-06,5.096073955,5.096073955,6.66E-04
AFG3L2-K308,AFG3L2,-0.4496,0.534525361,0.272031685,-0.272031685,0.856190227,0.75,8.02E-06,5.096073955,5.096073955,6.66E-04
AFM-K300,AFM,0.427,0.529832181,0.275861667,0.275861667,0.853515522,0,0.802962487,0.095304744,0,0.892046367
AGFG2-K173,AGFG2,0.12505,0.331679533,0.479281327,0.479281327,0.729583934,-0.19,0.282083738,0.54962195,-0.54962195,0.487500456
AGL-K5,AGL,0.309,0.28323113,0.547859015,0.547859015,0.690484731,-0.1,0.40699002,0.39041624,-0.39041624,0.608718942
AGO2-K355,AGO2,0.20125,0.718732102,0.143432957,0.143432957,0.93955786,0.48,0.002530908,2.596723707,2.596723707,0.020496714
AGPS-K116,AGPS,0.2628,0.172820643,0.762404382,0.762404382,0.58227186,-0.365,0.029324918,1.532763187,-1.532763187,0.107607188
AHCY-K190,AHCY,0.162,0.379518182,0.420767413,0.420767413,0.76813852,0.635,2.65E-04,3.575990726,3.575990726,0.004804986
AHCY-K391,AHCY,0.03125,6.59E-01,0.181024073,0.181024073,0.912619577,0.635,2.65E-04,3.575990726,3.575990726,0.004804986
AHCY-K414,AHCY,-0.2142,0.94177291,0.026053806,-0.026053806,0.99107133,0.635,2.65E-04,3.575990726,3.575990726,0.004804986
AHCY-K428,AHCY,0.1003,0.898382506,0.046538714,0.046538714,0.984095422,0.635,2.65E-04,3.575990726,3.575990726,0.004804986
AHCY-K45,AHCY,-0.07415,5.52E-01,0.257960178,-0.257960178,0.864901235,0.635,2.65E-04,3.575990726,3.575990726,0.004804986
AHCYL1-K246,AHCYL1,-0.4885,0.031040907,1.508065597,-1.508065597,0.341230751,-0.435,0.00364372,2.438454969,-2.438454969,0.026216396
AHDC1-K737,AHDC1,0.4815,0.075064835,1.124563465,1.124563465,0.433314351,0.27,0.146818852,0.833218177,0.833218177,0.318769932
AHNAK-K627,AHNAK,0.271,4.14E-01,0.382757424,0.382757424,0.792651467,0.39,0.178809072,0.747610452,0.747610452,0.36298155
AHNAK-K891,AHNAK,-0.0035,0.522427688,0.281973814,-0.281973814,0.849014147,0.39,0.178809072,0.747610452,0.747610452,0.36298155
AHSA1-K194,AHSA1,0.12465,0.757186482,0.120797148,0.120797148,0.956454445,0.05,0.466437943,0.331206129,0.331206129,0.65793616
AHSG-K120,AHSG,-0.231,0.948545184,0.022941977,-0.022941977,0.994521417,1.415,0.024272889,1.614878535,1.614878535,0.094582139
AHSG-K226,AHSG,-0.1735,0.647467475,0.188782043,-0.188782043,0.909344156,1.415,0.024272889,1.614878535,1.614878535,0.094582139
AIDA-K87,AIDA,0.1683,0.792118664,0.101209753,0.101209753,0.965324785,0.325,0.013489987,1.869988462,1.869988462,0.063098694
AIFM1-K244,AIFM1,-0.2305,0.027504372,1.560598262,-1.560598262,0.323036046,0.225,0.745251037,0.127697411,0.127697411,0.857650947
AIFM1-K278,AIFM1,-0.483,0.055139676,1.258535787,-1.258535787,0.396352921,0.225,0.745251037,0.127697411,0.127697411,0.857650947
AIFM1-K593,AIFM1,-0.5805,0.101309397,0.994350269,-0.994350269,0.474494877,0.225,0.745251037,0.127697411,0.127697411,0.857650947
AIMP1-K313,AIMP1,0.4941935,0.016377615,1.785749346,1.785749346,0.277215216,0.08,0.97765022,0.009816498,0.009816498,0.98901722
AIMP2-K252,AIMP2,0.1567,0.209379211,0.67906644,0.67906644,0.623532917,0.115,0.388295415,0.410837737,0.410837737,0.591878271
AK1-K43,AK1,-0.17695,0.157251469,0.803405288,-0.803405288,0.567435943,-0.765,0.00109124,2.962079548,-2.962079548,0.01177911
AK2-K181,AK2,-0.1814,0.964257525,0.015806963,-0.015806963,0.998260607,0.415,0.006473188,2.188881786,2.188881786,0.038561083
AK3-K181,AK3,0.3639,0.467512807,0.330206488,0.330206488,0.8237386,-0.465,0.001067123,2.971785429,-2.971785429,0.011648899
AKR1A1-K141,AKR1A1,0.3791,0.289637364,0.538145413,0.538145413,0.695522206,-0.335,0.002263724,2.645176565,-2.645176565,0.019007294
AKR1B1-K240,AKR1B1,0.486,0.0497149,1.30351343,1.30351343,0.387973393,0.75,0.001436082,2.842820659,2.842820659,0.01404048
AKR1B1-K95,AKR1B1,0.498,1.29E-02,1.889310179,1.889310179,0.250655241,0.75,0.001436082,2.842820659,2.842820659,0.01404048
AKR1C3-K246,AKR1C3,-0.48715,0.079883172,1.0975447,-1.0975447,0.448507886,-1.655,0.053296432,1.273301863,-1.273301863,0.161761232
AKR7A2-K128,AKR7A2,-0.311,0.167708841,0.775444043,-0.775444043,0.57621754,-0.11,0.749476912,0.125241741,-0.125241741,0.860963129
ALB-K117,ALB,0.17555,0.31873863,0.496565298,0.496565298,0.721826194,0.52,0.884204737,0.053447163,0.053447163,0.93693216
ALB-K130,ALB,0.0762,0.674408556,0.171076928,0.171076928,0.922454527,0.52,0.884204737,0.053447163,0.053447163,0.93693216
ALB-K160,ALB,0.04925,0.862145636,0.064419366,0.064419366,0.983227298,0.52,0.884204737,0.053447163,0.053447163,0.93693216
ALB-K161,ALB,0.313,0.326961505,0.485503376,0.485503376,0.728126726,0.52,0.884204737,0.053447163,0.053447163,0.93693216
ALB-K183,ALB,0.063,0.941950954,0.02597171,0.02597171,0.99107133,0.52,0.884204737,0.053447163,0.053447163,0.93693216
ALB-K186,ALB,0.31055,0.16995791,0.769658618,0.769658618,0.577480603,0.52,0.884204737,0.053447163,0.053447163,0.93693216
ALB-K198,ALB,0.081325,0.326964891,0.485498879,0.485498879,0.728126726,0.52,0.884204737,0.053447163,0.053447163,0.93693216
ALB-K205,ALB,0.416,0.248824295,0.604107218,0.604107218,0.659140998,0.52,0.884204737,0.053447163,0.053447163,0.93693216
ALB-K214,ALB,0.0038,0.915242949,0.038463608,0.038463608,0.985845275,0.52,0.884204737,0.053447163,0.053447163,0.93693216
ALB-K219,ALB,-0.3875,0.646004451,0.18976449,-0.18976449,0.909266219,0.52,0.884204737,0.053447163,0.053447163,0.93693216
ALB-K223,ALB,0.15,0.355367438,0.449322368,0.449322368,0.752084522,0.52,0.884204737,0.053447163,0.053447163,0.93693216
ALB-K229,ALB,0.30045,0.084484531,1.073222802,1.073222802,0.456123901,0.52,0.884204737,0.053447163,0.053447163,0.93693216
ALB-K236,ALB,0.1945,0.419889251,0.376865243,0.376865243,0.799160856,0.52,0.884204737,0.053447163,0.053447163,0.93693216
ALB-K257,ALB,0.2315,0.19616436,0.707379895,0.707379895,0.607432988,0.52,0.884204737,0.053447163,0.053447163,0.93693216
ALB-K264,ALB,0.11475,0.910800528,0.040576726,0.040576726,0.985845275,0.52,0.884204737,0.053447163,0.053447163,0.93693216
ALB-K28,ALB,0.112,0.306787835,0.513161866,0.513161866,0.710987387,0.52,0.884204737,0.053447163,0.053447163,0.93693216
ALB-K286,ALB,-0.21325,0.594102129,0.226138892,-0.226138892,0.885700182,0.52,0.884204737,0.053447163,0.053447163,0.93693216
ALB-K298,ALB,0.22875,0.126217716,0.898879682,0.898879682,0.517925554,0.52,0.884204737,0.053447163,0.053447163,0.93693216
ALB-K300,ALB,0.427,0.529832181,0.275861667,0.275861667,0.853515522,0.52,0.884204737,0.053447163,0.053447163,0.93693216
ALB-K305,ALB,0.064,0.674406408,0.171078312,0.171078312,0.922454527,0.52,0.884204737,0.053447163,0.053447163,0.93693216
ALB-K310,ALB,0.44125,0.131867685,0.879861617,0.879861617,0.526555788,0.52,0.884204737,0.053447163,0.053447163,0.93693216
