idx,Log2_variant_per_Mbp,mutation_classification,APP_Z_score,APP_classification,Immune_cluster,Activated_B_cell,Activated_CD4_T_cell,Activated_CD8_T_cell,Central_memory_CD4_T_cell,Central_memory_CD8_T_cell,Effector_memeory_CD4_T_cell,Effector_memeory_CD8_T_cell,Gamma_delta_T_cell,Immature__B_cell,Memory_B_cell,Regulatory_T_cell,T_follicular_helper_cell,Type_1_T_helper_cell,Type_17_T_helper_cell,Type_2_T_helper_cell,Activated_dendritic_cell,CD56bright_natural_killer_cell,CD56dim_natural_killer_cell,Eosinophil,Immature_dendritic_cell,Macrophage,Mast_cell,MDSC,Monocyte,Natural_killer_cell,Natural_killer_T_cell,Neutrophil,Plasmacytoid_dendritic_cell
S057,5.382393153,MB_H,0.085831094,APP_H,MB_H_APP_H,-0.202516344,0.353914033,0.152963906,0.441191614,0.240375003,0.231184482,0.204833425,0.274474123,0.047655875,0.136335649,0.116055127,0.108881221,0.128628524,-0.014478346,0.189728808,0.159143087,0.196712695,0.344088155,-0.055151503,0.313612683,-0.052346263,-0.082778486,0.136125621,0.413581943,0.256828418,0.0613167,-0.310401714,0.393133395
S058,1.162461482,MB_L,-1.604212465,APP_L,MB_L_APP_L,-0.21475726,0.259406088,-0.004389019,0.405511064,0.261097611,0.177496313,0.17046417,0.183436976,-0.121036795,0.213474573,0.070829066,0.107808701,0.12861674,-0.084857736,0.235216392,0.139729439,0.171216619,0.340128483,-0.019000403,0.277254451,-0.081534962,-0.052874589,0.08964334,0.375619725,0.341855468,0.088378918,-0.372072628,0.416318035
S059,8.317776613,MB_H,-0.723041748,APP_L,MB_H_APP_L,-0.062717495,0.318312676,0.128797861,0.483174853,0.264918547,0.220080436,0.27268279,0.263055878,0.110375617,0.152605315,0.176693143,0.130981063,0.135076218,-0.000584472,0.275244413,0.230439951,0.258052663,0.332923273,-0.070795352,0.378244234,0.003285449,0.015835097,0.24104956,0.409501614,0.330602913,0.052292324,-0.161412995,0.445208398
S060,1.162461482,MB_L,-0.611122777,APP_L,MB_L_APP_L,-0.233555987,0.104779179,0.042364507,0.44718784,0.318188982,0.138842999,0.212061429,0.227876431,-0.040131586,0.225997429,0.104371866,0.138196684,0.126632954,-0.016759738,0.210825685,0.156289742,0.187392495,0.323169793,0.001961021,0.371690159,-0.013048866,-0.067623688,0.10345314,0.356809167,0.352337186,0.035044232,-0.289752334,0.457734808
S061,5.050337259,MB_H,-0.123020009,APP_L,MB_H_APP_L,-0.151092259,0.334459729,0.126544113,0.47423145,0.278044105,0.265345517,0.285613555,0.261211155,0.076504588,0.262903924,0.158148827,0.175190667,0.142359535,-0.049484974,0.25889499,0.198459964,0.265795466,0.346653634,-0.028230955,0.374994103,-0.007627284,-0.04299814,0.179857757,0.41268157,0.345430558,0.108534042,-0.334174069,0.423135319
S062,1.797751858,MB_L,-0.875545933,APP_L,MB_L_APP_L,-0.21163858,0.146550672,0.090279688,0.441009783,0.190261201,0.1941109,0.180885892,0.237996482,-0.081059869,0.125641963,0.01103375,0.106192377,0.093967356,-0.019584169,0.236163007,0.105837036,0.267194627,0.272943146,-0.059622233,0.378232657,0.001041633,-0.086190284,0.013882269,0.381322886,0.266369532,0.060125775,-0.275015751,0.428280764
S063,1.560942049,MB_L,-0.019189983,APP_H,MB_L_APP_H,-0.212916109,0.183415262,0.045843355,0.45243846,0.203660762,0.222433256,0.227756007,0.223525393,0.016533277,0.212838547,0.122745059,0.147076305,0.140323883,-0.024640032,0.231142129,0.178433023,0.21936612,0.273065528,-0.034770031,0.352793468,-0.020191091,0.00372835,0.113364969,0.374706234,0.332337553,0.099132902,-0.288515971,0.44533946
S064,1.732044006,MB_L,-0.189807829,APP_L,MB_L_APP_L,-0.162534179,0.223099876,0.077437126,0.457216942,0.286242303,0.204547685,0.238068483,0.250044582,0.054477914,0.134946467,0.152410906,0.151344013,0.123409583,0.008700952,0.178977231,0.260375156,0.26310666,0.358556835,0.020730415,0.414378992,0.049675002,0.001336358,0.319341861,0.411036266,0.311663415,0.085978882,-0.118471927,0.46777834
S065,0.801600757,MB_L,-0.490739051,APP_L,MB_L_APP_L,-0.221072703,0.168809071,0.053178469,0.43097404,0.270969986,0.148699794,0.113458511,0.216167269,-0.042516529,0.176572494,0.042736725,0.089758135,0.059144456,-0.023919892,0.173262412,0.143651418,0.232973866,0.301786849,0.018570082,0.387816205,-0.028263716,-0.072070536,0.04655153,0.388960554,0.276597629,0.028404175,-0.187067622,0.426926627
S066,7.571805466,MB_H,1.690030295,APP_H,MB_H_APP_H,0.062239651,0.462374808,0.302558605,0.530374609,0.264490677,0.286088434,0.43615549,0.334078205,0.277371068,0.226129343,0.360561383,0.260691163,0.239487809,0.012771678,0.351620577,0.308893189,0.254880224,0.336946467,0.011727969,0.397995819,0.126004798,0.004371518,0.421002126,0.421724776,0.429074881,0.195611986,-0.269175016,0.441131469
S067,1.349358266,MB_L,-0.1826009,APP_L,MB_L_APP_L,-0.198854052,0.212462492,0.033415055,0.494457458,0.328522266,0.195359007,0.299692009,0.312040023,0.008148357,0.203406952,0.27681443,0.188329008,0.159047932,0.021630235,0.297390439,0.205388631,0.292935736,0.318630146,-0.065822892,0.378518411,0.055498125,0.037486955,0.297217791,0.377160692,0.399038204,0.097500068,-0.166417835,0.466131947
S068,3.691478851,MB_H,-0.540869259,APP_L,MB_H_APP_L,-0.148982738,0.220105584,0.062518495,0.437711256,0.231949727,0.209279339,0.210923407,0.223353517,0.028501303,0.175070207,0.132125525,0.113418423,0.105365617,-0.002818924,0.239310649,0.206770046,0.228478007,0.348600352,-0.011029554,0.397584942,-0.012459672,-0.016803933,0.163171604,0.405504607,0.330259167,0.068474645,-0.206450404,0.439441963
S069,5.271130528,MB_H,0.057527194,APP_H,MB_H_APP_H,-0.036848194,0.436943536,0.242957193,0.514230331,0.351597041,0.292803861,0.352411711,0.359697654,0.153978328,0.286517596,0.382371404,0.208922147,0.226242978,0.059437548,0.26701335,0.271889885,0.21989883,0.422209982,-0.038700089,0.360593558,0.126201508,0.09143451,0.404111399,0.438775453,0.383307099,0.166698536,-0.157266975,0.448141258
S070,1.483191823,MB_L,-1.594619945,APP_L,MB_L_APP_L,-0.2033617,0.218670679,-0.016399589,0.419043867,0.22896801,0.196910348,0.240790818,0.194211009,-0.083647678,0.146716085,0.04043394,0.130770219,0.095947562,0.020519778,0.248218387,0.152662145,0.247150719,0.292546135,-0.047633199,0.359860039,-0.041555973,-0.027005057,0.076427237,0.384618333,0.277932463,0.034842159,-0.183590275,0.361801246
