gene_name,gene_claim_name,entrez_id,interaction_claim_source,interaction_types,drug_claim_name,drug_claim_primary_name,drug_name,drug_chembl_id,PMIDs
BRD2,1944,6046,GuideToPharmacologyInteractions,inhibitor,7807,ME BROMODOMAIN INHIBITOR,FALSE,FALSE,FALSE
BRD2,1944,6046,GuideToPharmacologyInteractions,inhibitor,7033,I-BET-762,CHEMBL1232461,CHEMBL1232461,FALSE
BRD2,1944,6046,GuideToPharmacologyInteractions,inhibitor,7521,COMPOUND 36 [PMID: 24000170],FALSE,FALSE,FALSE
BRD2,1944,6046,GuideToPharmacologyInteractions,inhibitor,7516,COMPOUND 4D [PMID: 21851057],CHEMBL1828986,CHEMBL1828986,FALSE
BRD2,1944,6046,GuideToPharmacologyInteractions,antagonist,7034,RVX 208,APABETALONE,CHEMBL2393130,FALSE
BRD2,1944,6046,GuideToPharmacologyInteractions,inhibitor,7510,BIC1,CHEMBL1738777,CHEMBL1738777,FALSE
BRD2,1944,6046,GuideToPharmacologyInteractions,inhibitor,6004,LY 294002,LY-294002,CHEMBL98350,FALSE
BRD4,1945,23476,GuideToPharmacologyInteractions,inhibitor,7509,MS436,CHEMBL3086883,CHEMBL3086883,FALSE
BRD4,1945,23476,GuideToPharmacologyInteractions,inhibitor,7810,COMPOUND 2 [PMID: 25408830],FALSE,FALSE,FALSE
BRD4,1945,23476,GuideToPharmacologyInteractions,inhibitor,7033,I-BET-762,CHEMBL1232461,CHEMBL1232461,FALSE
BRD4,1945,23476,GuideToPharmacologyInteractions,inhibitor,7522,COMPOUND 38 [PMID: 24000170],FALSE,FALSE,FALSE
BRD4,1945,23476,GuideToPharmacologyInteractions,inhibitor,7528,"COMPOUND 15 [HAY ET AL., 2013]",CHEMBL3220860,CHEMBL3220860,FALSE
BRD4,1945,23476,GuideToPharmacologyInteractions,inhibitor,9120,CPI-0610,CHLORMEZANONE,CHEMBL1200714,FALSE
BRD4,1945,23476,GuideToPharmacologyInteractions,inhibitor,7514,GW841819X,CHEMBL2153434,CHEMBL2153434,FALSE
BRD4,1945,23476,GuideToPharmacologyInteractions,inhibitor,7515,BZT-7,CHEMBL1958337,CHEMBL1958337,FALSE
BRD4,1945,23476,GuideToPharmacologyInteractions,inhibitor,6004,LY 294002,LY-294002,CHEMBL98350,FALSE
BRD4,BRD4,23476,NCI,FALSE,TRICHOSTATIN A,TRICHOSTATIN A,TRICHOSTATIN,CHEMBL99,17267518
BRD4,1945,23476,GuideToPharmacologyInteractions,inhibitor,7511,(+)-JQ1,FALSE,FALSE,FALSE
BRD4,1945,23476,GuideToPharmacologyInteractions,inhibitor,7811,COMPOUND 3 [PMID: 25408830],FALSE,FALSE,FALSE
BRD4,1945,23476,GuideToPharmacologyInteractions,inhibitor,8304,COMPOUND 7D [PMID: 25703523],FALSE,FALSE,FALSE
BRD4,1945,23476,GuideToPharmacologyInteractions,antagonist,7034,RVX 208,APABETALONE,CHEMBL2393130,FALSE
BRD4,1945,23476,GuideToPharmacologyInteractions,inhibitor,7524,XD14,FALSE,FALSE,FALSE
BRD4,1945,23476,GuideToPharmacologyInteractions,inhibitor,7527,ISOXAZOLE AZEPINE COMPOUND 3,CHEMBL2431090,CHEMBL2431090,FALSE
BRD4,BRD4,23476,CIViC,FALSE,JQ1,JQ1,FALSE,FALSE,20871596
BRD4,1945,23476,GuideToPharmacologyInteractions,inhibitor,5716,FEDRATINIB,FEDRATINIB,CHEMBL1287853,FALSE
BRD4,1945,23476,GuideToPharmacologyInteractions,inhibitor,7517,COMPOUND 9 [PMID: 23517011],CHEMBL2335153,CHEMBL2335153,FALSE
BRD4,1945,23476,GuideToPharmacologyInteractions,inhibitor,7518,I-BET151,CHEMBL2017291,CHEMBL2017291,FALSE
BRD4,1945,23476,GuideToPharmacologyInteractions,inhibitor,7525,XD1,FALSE,FALSE,FALSE
BRD4,1945,23476,GuideToPharmacologyInteractions,inhibitor,7809,COMPOUND 1 [PMID: 25408830],FALSE,FALSE,FALSE
BRD4,1945,23476,GuideToPharmacologyInteractions,inhibitor,7526,XD25,FALSE,FALSE,FALSE
BRD4,1945,23476,GuideToPharmacologyInteractions,inhibitor,7516,COMPOUND 4D [PMID: 21851057],CHEMBL1828986,CHEMBL1828986,FALSE
BRD4,1945,23476,GuideToPharmacologyInteractions,inhibitor,7513,CPI-203,FALSE,FALSE,FALSE
BRD4,1945,23476,GuideToPharmacologyInteractions,inhibitor,5666,BI-2536,BI-2536,CHEMBL513909,FALSE
BRD4,1945,23476,GuideToPharmacologyInteractions,inhibitor,9117,MIVEBRESIB,FALSE,FALSE,FALSE
BRD4,1945,23476,GuideToPharmacologyInteractions,inhibitor,7521,COMPOUND 36 [PMID: 24000170],FALSE,FALSE,FALSE
BRD4,1945,23476,GuideToPharmacologyInteractions,inhibitor,9520,N-METHYL-2-PYRROLIDONE,STAVUDINE,CHEMBL991,FALSE
BRD4,1945,23476,GuideToPharmacologyInteractions,inhibitor,7523,PFI-1,CHEMBL2179387,CHEMBL2179387,FALSE
BRD4,BRD4,23476,NCI,FALSE,DOCETAXEL,DOCETAXEL,DOCETAXEL,CHEMBL92,16542442
BRD4,1945,23476,GuideToPharmacologyInteractions,inhibitor,7512,MS417,FALSE,FALSE,FALSE
CAST,CAST,831,NCI,FALSE,STAUROSPORINE,STAUROSPORINE,STAUROSPORINE,CHEMBL388978,12576481
CAST,CAST,831,NCI,FALSE,ACE INHIBITOR,ACE INHIBITOR,FALSE,FALSE,11159730
CAST,CAST,831,NCI,FALSE,DHT,DHT,STANOLONE,CHEMBL27769,12646165
CAST,CAST,831,NCI,FALSE,12-O-TETRADECANOYLPHORBOL-13-ACETATE,12-O-TETRADECANOYLPHORBOL-13-ACETATE,PHORBOL MYRISTATE ACETATE,CHEMBL279115,1995645
CAST,CAST,831,NCI,FALSE,DOX,DOX,FALSE,FALSE,12650523
CAST,CAST,831,NCI,FALSE,THROMBIN,THROMBIN,THROMBIN,CHEMBL2108110,8358337
CAST,CAST,831,NCI,FALSE,EPINEPHRINE,EPINEPHRINE,EPINEPHRINE,CHEMBL679,10863002
CBL,CBL,867,CKB,FALSE,Fasudil,Fasudil,FASUDIL,CHEMBL38380,26177294
CBL,CBL,867,NCI,FALSE,ANTISENSE OLIGONUCLEOTIDES,ANTISENSE OLIGONUCLEOTIDES,FALSE,FALSE,8849724
CBL,CBL,867,CKB,FALSE,Gemcitabine,Gemcitabine,GEMCITABINE,CHEMBL888,25348515
CBL,CBL,867,DoCM,FALSE,DASATINIB,DASATINIB,DASATINIB,CHEMBL1421,23696637
CBL,CBL,867,CKB,FALSE,FALSE,FALSE,FALSE,FALSE,"262,309,572,369,041,000,000,000"
CBL,CBL,867,CKB,FALSE,Quizartinib,Quizartinib,QUIZARTINIB,CHEMBL576982,22990016
CBL,CBL,867,NCI,FALSE,IL-2,IL-2,FALSE,FALSE,9461587
CBL,CBL,867,CKB,FALSE,Erlotinib,Erlotinib,ERLOTINIB,CHEMBL553,25348515
CBL,CBL,867,NCI,FALSE,FLT3-LIGAND,FLT3-LIGAND,FALSE,FALSE,17446348
CBL,CBL,867,NCI,FALSE,TCDD,TCDD,FALSE,FALSE,9918770
CBL,CBL,867,CGI,FALSE,Dasatinib,Dasatinib,DASATINIB,CHEMBL1421,FALSE
CDK12,CRK7,51755,ChemblInteractions,inhibitor,CHEMBL445813,AT-7519,AT-7519,CHEMBL445813,FALSE
CDK12,CRK7,51755,ChemblInteractions,inhibitor,CHEMBL3544942,Roniciclib,Roniciclib,CHEMBL3544942,FALSE
CDK12,CRK7,51755,ChemblInteractions,inhibitor,CHEMBL488436,AZD-5438,AZD-5438,CHEMBL488436,FALSE
CDK12,CRK7,51755,ChemblInteractions,inhibitor,CHEMBL1230607,PHA-793887,PHA-793887,CHEMBL1230607,FALSE
CDK12,CDK12,51755,CIViC,FALSE,OLAPARIB,OLAPARIB,OLAPARIB,CHEMBL521686,24240700
EML4,EML4,27436,CKB,FALSE,TAE226,TAE226,CHEMBL458997,CHEMBL458997,26090892
EML4,EML4,27436,CKB,FALSE,Sirolimus,Sirolimus,SIROLIMUS,CHEMBL413,21613408
EML4,EML4,27436,CKB,FALSE,AZD3463,AZD3463,FALSE,FALSE,27009859
EML4,EML4,27436,CKB,FALSE,Crizotinib,Crizotinib,CRIZOTINIB,CHEMBL601719,"26,775,591,270,098,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
EML4,EML4,27436,CKB,FALSE,Alectinib,Alectinib,ALECTINIB,CHEMBL1738797,"27,009,859,284,767,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
EML4,EML4,27436,CKB,FALSE,AUY922,AUY922,NVP-AUY922,CHEMBL252164,26698910
EML4,EML4,27436,CKB,FALSE,PF-06463922,PF-06463922,LORLATINIB,CHEMBL3286830,"27,432,227,266,989,100,000,000,000,000,000"
EML4,EML4,27436,CKB,FALSE,Afatinib,Afatinib,AFATINIB,CHEMBL1173655,26682573
EML4,EML4,27436,CKB,FALSE,X-396,X-396,X-396,CHEMBL3544934,21613408
EML4,EML4,27436,CKB,FALSE,AP26113,AP26113,BRIGATINIB,CHEMBL3545311,"2,700,985,927,432,220,000,000,000,000,000,000,000,000"
EML4,EML4,27436,CKB,FALSE,Ceritinib,Ceritinib,CERITINIB,CHEMBL2403108,"2,677,559,127,009,850,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
EML4,EML4,27436,CKB,FALSE,TAE684,TAE684,TAE-684,CHEMBL509032,25228534
EML4,EML4,27436,CKB,FALSE,X-376,X-376,FALSE,FALSE,21613408
EML4,EML4,27436,CKB,FALSE,Entrectinib,Entrectinib,ENTRECTINIB,CHEMBL1983268,26939704
EML4,EML4,27436,CKB,FALSE,ASP3026,ASP3026,ASP-3026,CHEMBL3545360,"2,700,985,925,228,530"
EML4,EML4,27436,CKB,FALSE,TPX-0005,TPX-0005,FALSE,FALSE,FALSE
ETV5,ETV5,2119,CIViC,FALSE,TRAMETINIB,TRAMETINIB,TRAMETINIB,CHEMBL2103875,28178529
F2RL1,348,2150,GuideToPharmacologyInteractions,agonist,9457,AC-98170,CHEMBL494303,CHEMBL494303,FALSE
F2RL1,348,2150,GuideToPharmacologyInteractions,agonist,3851,2-FUROYL-LIGRLO-AMIDE,CHEMBL509819,CHEMBL509819,FALSE
F2RL1,348,2150,GuideToPharmacologyInteractions,antagonist,6659,P2PAL18S,FALSE,FALSE,FALSE
F2RL1,348,2150,GuideToPharmacologyInteractions,agonist,9460,AC264613,NALBUPHINE,CHEMBL895,FALSE
F2RL1,348,2150,GuideToPharmacologyInteractions,agonist,3914,TRANS-CINNAMOYL-LIGRLO [N-[3H]PROPIONYL]-NH2,BUNOLOL (CHEMBL293030),CHEMBL293030,FALSE
F2RL1,348,2150,GuideToPharmacologyInteractions,agonist,9455,AY77,FALSE,FALSE,FALSE
F2RL1,348,2150,GuideToPharmacologyInteractions,agonist,3740,SLIGKV-NH2,FALSE,FALSE,FALSE
F2RL1,348,2150,GuideToPharmacologyInteractions,allosteric modulator,9560,AZ3451,FALSE,FALSE,FALSE
F2RL1,348,2150,GuideToPharmacologyInteractions,agonist,4050,2-FUROYL-LIGRL[N-(ALEXA FLUOR 594)-O]-NH2,FALSE,FALSE,FALSE
F2RL1,348,2150,GuideToPharmacologyInteractions,agonist,6657,GB110,CHEMBL55242,CHEMBL55242,FALSE
F2RL1,348,2150,GuideToPharmacologyInteractions,antagonist,9570,C391,FALSE,FALSE,FALSE
F2RL1,348,2150,GuideToPharmacologyInteractions,antagonist,6658,GB88,FALSE,FALSE,FALSE
F2RL1,348,2150,GuideToPharmacologyInteractions,antagonist,9585,AZ8838,FALSE,FALSE,FALSE
F2RL1,348,2150,GuideToPharmacologyInteractions,agonist,4049,2-FUROYL-LIGRL[N[3H]PROPIONYL]-O-NH2,FALSE,FALSE,FALSE
F2RL1,348,2150,GuideToPharmacologyInteractions,agonist,9456,AC-55541,CHEMBL493076,CHEMBL493076,FALSE
F2RL1,348,2150,GuideToPharmacologyInteractions,agonist,3741,SLIGRL-NH2,FALSE,FALSE,FALSE
F2RL1,348,2150,GuideToPharmacologyInteractions,antagonist,9586,AZ7188,FALSE,FALSE,FALSE
F2RL1,F2RL1,2150,NCI,FALSE,MACROLIDES,MACROLIDES,TYLOSIN,CHEMBL42743,18212111
F2RL1,348,2150,GuideToPharmacologyInteractions,agonist,6660,[3H]2-FUROYL-LIGRL-NH2,FALSE,FALSE,FALSE
ILF3,ILF3,3609,NCI,FALSE,CSA,CSA,CYCLOSPORINE,CHEMBL160,9843854
ILF3,ILF3,3609,NCI,FALSE,IL-2,IL-2,FALSE,FALSE,12504009
JUNB,JUNB,3726,NCI,FALSE,UVB,UVB,FALSE,FALSE,9607142
JUNB,JUNB,3726,NCI,FALSE,INSULIN,INSULIN,FALSE,FALSE,8264634
JUNB,JUNB,3726,NCI,FALSE,CYTOKINES,CYTOKINES,FALSE,FALSE,9591138
JUNB,JUNB,3726,NCI,FALSE,DEXAMETHASONE,DEXAMETHASONE,DEXAMETHASONE,CHEMBL384467,9024781
KMT2A,MLL,4297,CGI,FALSE,Daunorubicin,Daunorubicin,DAUNORUBICIN,CHEMBL178,FALSE
KMT2A,MLL,4297,CGI,FALSE,EPZ-5676,EPZ-5676,CHEMBL3087499,CHEMBL3087499,"2,174,159,621,418,280,000,000"
KMT2A,KMT2A,4297,CKB,FALSE,Mocetinostat,Mocetinostat,MOCETINOSTAT,CHEMBL272980,27443263
KMT2A,KMT2A,4297,CKB,FALSE,Romidepsin,Romidepsin,ROMIDEPSIN,CHEMBL1213490,27443263
KMT2A,KMT2A,4297,CKB,FALSE,MI-503,MI-503,FALSE,FALSE,25817203
KMT2A,KMT2A,4297,CKB,FALSE,Cytarabine,Cytarabine,CYTARABINE,CHEMBL803,27443263
KMT2A,KMT2A,4297,CKB,FALSE,Dinaciclib,Dinaciclib,DINACICLIB,CHEMBL2103840,26627013
KMT2A,KMT2A,4297,CKB,FALSE,FALSE,FALSE,FALSE,FALSE,"21,881,046,224,172,000,000,000,000,000,000"
KMT2A,KMT2A,4297,CKB,FALSE,romidepsin,romidepsin,ROMIDEPSIN,CHEMBL1213490,27443263
KMT2A,KMT2A,4297,CKB,FALSE,Panobinostat,Panobinostat,PANOBINOSTAT,CHEMBL483254,27443263
KMT2A,KMT2A,4297,CKB,FALSE,Doxorubicin,Doxorubicin,DOXORUBICIN,CHEMBL53463,26552700
KMT2A,MLL,4297,CGI,FALSE,Belinostat,Belinostat,BELINOSTAT,CHEMBL408513,"35,197,522,015,773,300,000"
KMT2A,KMT2A,4297,CKB,FALSE,I-BET151,I-BET151,CHEMBL2017291,CHEMBL2017291,27294782
KMT2A,KMT2A,4297,CKB,FALSE,Dacinostat,Dacinostat,DACINOSTAT,CHEMBL356066,27443263
KMT2A,KMT2A,4297,CKB,FALSE,IRAK1/4,IRAK1/4,FALSE,FALSE,28065413
KMT2A,KMT2A,4297,CKB,FALSE,AMI-408,AMI-408,FALSE,FALSE,26766589
KMT2A,KMT2A,4297,CKB,FALSE,SGC0946,SGC0946,CHEMBL3087498,CHEMBL3087498,27294782
KMT2A,KMT2A,4297,CKB,FALSE,I-CBP112,I-CBP112,FALSE,FALSE,26552700
KMT2A,KMT2A,4297,CKB,FALSE,JQ1,JQ1,FALSE,FALSE,26552700
KMT2A,KMT2A,4297,CKB,FALSE,EPZ004777,EPZ004777,CHEMBL2169919,CHEMBL2169919,23138183
KMT2A,KMT2A,4297,CKB,FALSE,AZD5153,AZD5153,FALSE,FALSE,27573426
MARK2,MARK2,2011,NCI,FALSE,TYROSINE KINASE INHIBITORS,TYROSINE KINASE INHIBITORS,FALSE,FALSE,15811957
MARK2,MARK2,2011,NCI,FALSE,APAP,APAP,ACETAMINOPHEN,CHEMBL112,17654741
MSH6,MSH6,2956,OncoKB,FALSE,Ipilimumab,Ipilimumab,IPILIMUMAB,CHEMBL1789844,"2,584,069,325,891,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
MSH6,MSH6,2956,CKB,FALSE,Temozolomide,Temozolomide,TEMOZOLOMIDE,CHEMBL810,19584161
MSH6,MSH6,2956,OncoKB,FALSE,Pembrolizumab,Pembrolizumab,PEMBROLIZUMAB,CHEMBL3137343,"2,584,069,325,891,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
MSH6,MSH6,2956,CKB,FALSE,FALSE,FALSE,FALSE,FALSE,"212,422,811,912,512,000,000,000"
MSH6,MSH6,2956,CKB,FALSE,KU60648,KU60648,FALSE,FALSE,28224663
MSH6,MSH6,2956,NCI,FALSE,TEMOZOLOMIDE,TEMOZOLOMIDE,TEMOZOLOMIDE,CHEMBL810,17404084
MSH6,MSH6,2956,OncoKB,FALSE,Nivolumab,Nivolumab,NIVOLUMAB,CHEMBL2108738,"2,584,069,325,891,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
MSH6,MSH6,2956,CIViC,FALSE,MEDI0680,MEDI0680,FALSE,FALSE,26674132
MSH6,MSH6,2956,CIViC,FALSE,MEDI4736,MEDI4736,DURVALUMAB,CHEMBL3301587,26674132
MSH6,MSH6,2956,OncoKB,FALSE,Atezolizumab,Atezolizumab,ATEZOLIZUMAB,CHEMBL3707227,"2,584,069,325,891,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
NCF1,NCF1,653361,NCI,FALSE,HYDROGEN PEROXIDE,HYDROGEN PEROXIDE,HYDROGEN PEROXIDE,CHEMBL71595,15840036
NCF2,NCF2,4688,NCI,FALSE,PMA,PMA,PHORBOL MYRISTATE ACETATE,CHEMBL279115,9794433
NPM1,NPM1,4869,CKB,FALSE,Crizotinib,Crizotinib,CRIZOTINIB,CHEMBL601719,"2,700,985,925,749,030,000,000,000,000,000,000,000,000"
NPM1,NPM1,4869,CKB,FALSE,FALSE,FALSE,FALSE,FALSE,"1,904,729,426,586,700,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
NPM1,NPM1,4869,CKB,FALSE,AZD3463,AZD3463,FALSE,FALSE,27009859
NPM1,NPM1,4869,CKB,FALSE,Deguelin,Deguelin,DEGUELIN,CHEMBL393417,"2,534,801,625,242,570"
NPM1,NPM1,4869,CKB,FALSE,EPZ004777,EPZ004777,CHEMBL2169919,CHEMBL2169919,27535106
NPM1,NPM1,4869,CKB,FALSE,MI-503,MI-503,FALSE,FALSE,27535106
NPM1,NPM1,4869,FDA,FALSE,Midostaurin,Midostaurin,MIDOSTAURIN,CHEMBL608533,FALSE
NPM1,NPM1,4869,CKB,FALSE,NSC348884,NSC348884,FALSE,FALSE,21719597
NPM1,NPM1,4869,CKB,FALSE,ENMD-2076,ENMD-2076,ENMD-2076,CHEMBL482968,27406088
NPM1,NPM1,4869,CIViC,FALSE,ALL-TRANS RETINOIC ACID,ALL-TRANS RETINOIC ACID,TRETINOIN,CHEMBL38,"1,996,564,721,719,590"
NPM1,NPM1,4869,CKB,FALSE,PF-06463922,PF-06463922,LORLATINIB,CHEMBL3286830,25749034
NPM1,NPM1,4869,CIViC,FALSE,NSC348884,NSC348884,FALSE,FALSE,21719597
NPM1,NPM1,4869,CKB,FALSE,TAE684,TAE684,TAE-684,CHEMBL509032,20207848
NPM1,NPM1,4869,CGI,FALSE,Daunorubicin,Daunorubicin,DAUNORUBICIN,CHEMBL178,FALSE
NPM1,NPM1,4869,CKB,FALSE,Vorinostat,Vorinostat,VORINOSTAT,CHEMBL98,26634271
NPM1,NPM1,4869,CKB,FALSE,Alectinib,Alectinib,ALECTINIB,CHEMBL1738797,"270,098,592,574,903,000,000,000"
NPM1,NPM1,4869,CKB,FALSE,Ixazomib,Ixazomib,IXAZOMIB,CHEMBL2141296,26634271
NPM1,NPM1,4869,CKB,FALSE,ASP3026,ASP3026,ASP-3026,CHEMBL3545360,"270,098,592,574,903,000,000,000"
NPM1,NPM1,4869,CKB,FALSE,Entrectinib,Entrectinib,ENTRECTINIB,CHEMBL1983268,26939704
NPM1,NPM1,4869,CKB,FALSE,Ceritinib,Ceritinib,CERITINIB,CHEMBL2403108,"270,098,592,574,903,000,000,000"
NPM1,NPM1,4869,CKB,FALSE,AP26113,AP26113,BRIGATINIB,CHEMBL3545311,"27,009,859,257,490,300,000,000,000,000,000"
PML,PML,5371,CGI,FALSE,Trioxide,Trioxide,FALSE,FALSE,FALSE
PML,PML,5371,FDA,FALSE,Arsenic Trioxide,Arsenic Trioxide,ARSENIC TRIOXIDE,CHEMBL1200978,FALSE
PML,PML,5371,CGI,FALSE,Arsenic,Arsenic,ARSENIC,CHEMBL1231052,FALSE
PML,PML,5371,FDA,FALSE,Tretinoin,Tretinoin,TRETINOIN,CHEMBL38,FALSE
PML,PML,5371,CIViC,FALSE,ALL-TRANS RETINOIC ACID,ALL-TRANS RETINOIC ACID,TRETINOIN,CHEMBL38,"215,051,368,674,046,000,000,000,000,000,000,000,000"
PML,PML,5371,NCI,FALSE,TAZAROTENE,TAZAROTENE,TAZAROTENE,CHEMBL1657,16939905
PML,PML,5371,CGI,FALSE,Arsenic Trioxide,Arsenic Trioxide,ARSENIC TRIOXIDE,CHEMBL1200978,FALSE
PML,PML,5371,CGI,FALSE,Tretinoin,Tretinoin,TRETINOIN,CHEMBL38,FALSE
PML,PML,5371,CGI,FALSE,Volasertib,Volasertib,VOLASERTIB,CHEMBL1233528,FALSE
PML,PML,5371,CIViC,FALSE,ARSENIC TRIOXIDE,ARSENIC TRIOXIDE,ARSENIC TRIOXIDE,CHEMBL1200978,11704842
PRKCD,1485,5580,GuideToPharmacologyInteractions,inhibitor,7907,7-HYDROXYSTAUROSPORINE,CHEMBL1236539,CHEMBL1236539,FALSE
PRKCD,PRKCD,5580,NCI,FALSE,ETHANOL,ETHANOL,ALCOHOL,CHEMBL545,1744136
PRKCD,PRKCD,5580,ChemblInteractions,inhibitor,CHEMBL565612,SOTRASTAURIN,SOTRASTAURIN,CHEMBL565612,FALSE
PRKCD,PRKCD,5580,ChemblInteractions,inhibitor,CHEMBL574737,(7S)-HYDROXYL-STAUROSPORINE,(7S)-HYDROXYL-STAUROSPORINE,CHEMBL574737,FALSE
PRKCD,Q05655,5580,TdgClinicalTrial,FALSE,KAI-9803,KAI-9803,FALSE,FALSE,FALSE
PRKCD,PRKCD,5580,ChemblInteractions,inhibitor,CHEMBL608533,MIDOSTAURIN,MIDOSTAURIN,CHEMBL608533,FALSE
PRKCD,TTDC00077,5580,TTD,inhibitor,DCL000141,KAI-9803,FALSE,FALSE,FALSE
