service_day,day_of_week,is_special_day,period_code,cycle_label
15-Nov-2018,Tuesday,0,P2018-3,P2018-4
16-Nov-2018,Wednesday,0,P2018-3,P2018-4
17-Nov-2018,Thursday,0,P2018-3,P2018-4
18-Nov-2018,Friday,1,P2018-3,P2018-4
19-Nov-2018,Saturday,0,P2018-3,P2018-4
20-Nov-2018,Sunday,0,P2018-3,P2018-4
21-Nov-2018,Monday,0,P2018-3,P2018-4
22-Nov-2018,Tuesday,1,P2018-3,P2018-4
23-Nov-2018,Wednesday,1,P2018-3,P2018-4
24-Nov-2018,Thursday,1,P2018-3,P2018-4
25-Nov-2018,Friday,0,P2018-3,P2018-4
26-Nov-2018,Saturday,0,P2018-3,P2018-4
27-Nov-2018,Sunday,0,P2018-3,P2018-4
28-Nov-2018,Monday,0,P2018-3,P2018-4
29-Nov-2018,Tuesday,0,P2018-3,P2018-4
30-Nov-2018,Wednesday,0,P2018-3,P2018-4
01-Dec-2018,Thursday,0,P2018-3,P2018-4
02-Dec-2018,Friday,0,P2018-3,P2018-4
03-Dec-2018,Saturday,0,P2018-3,P2018-4
04-Dec-2018,Sunday,0,P2018-3,P2018-4
05-Dec-2018,Monday,0,P2018-3,P2018-4
06-Dec-2018,Tuesday,0,P2018-3,P2018-4
07-Dec-2018,Wednesday,0,P2018-3,P2018-4
08-Dec-2018,Thursday,0,P2018-3,P2018-4
09-Dec-2018,Friday,0,P2018-3,P2018-4
10-Dec-2018,Saturday,0,P2018-3,P2018-4
11-Dec-2018,Sunday,0,P2018-3,P2018-4
12-Dec-2018,Monday,0,P2018-3,P2018-4
13-Dec-2018,Tuesday,0,P2018-3,P2018-4
14-Dec-2018,Wednesday,0,P2018-3,P2018-4
15-Dec-2018,Thursday,0,P2018-3,P2018-4
16-Dec-2018,Friday,0,P2018-3,P2018-4
17-Dec-2018,Saturday,0,P2018-3,P2018-4
18-Dec-2018,Sunday,0,P2018-3,P2018-4
19-Dec-2018,Monday,0,P2018-3,P2018-4
20-Dec-2018,Tuesday,0,P2018-3,P2018-4
21-Dec-2018,Wednesday,0,P2018-3,P2018-4
22-Dec-2018,Thursday,0,P2018-3,P2018-4
23-Dec-2018,Friday,0,P2018-3,P2018-4
24-Dec-2018,Saturday,0,P2018-3,P2018-4
25-Dec-2018,Sunday,0,P2018-3,P2018-4
26-Dec-2018,Monday,0,P2018-3,P2018-4
27-Dec-2018,Tuesday,0,P2018-3,P2018-4
28-Dec-2018,Wednesday,0,P2018-3,P2018-4
29-Dec-2018,Thursday,0,P2018-3,P2018-4
30-Dec-2018,Friday,0,P2018-3,P2018-4
31-Dec-2018,Saturday,0,P2018-3,P2018-4
01-Jan-2019,Sunday,0,P2018-4,P2019-1
02-Jan-2019,Monday,0,P2018-4,P2019-1
03-Jan-2019,Tuesday,0,P2018-4,P2019-1
04-Jan-2019,Wednesday,0,P2018-4,P2019-1
05-Jan-2019,Thursday,0,P2018-4,P2019-1
06-Jan-2019,Friday,0,P2018-4,P2019-1
07-Jan-2019,Saturday,0,P2018-4,P2019-1
08-Jan-2019,Sunday,0,P2018-4,P2019-1
09-Jan-2019,Monday,0,P2018-4,P2019-1
10-Jan-2019,Tuesday,0,P2018-4,P2019-1
11-Jan-2019,Wednesday,0,P2018-4,P2019-1
12-Jan-2019,Thursday,0,P2018-4,P2019-1
13-Jan-2019,Friday,0,P2018-4,P2019-1
14-Jan-2019,Saturday,0,P2018-4,P2019-1
15-Jan-2019,Sunday,0,P2018-4,P2019-1
16-Jan-2019,Monday,0,P2018-4,P2019-1
17-Jan-2019,Tuesday,0,P2018-4,P2019-1
18-Jan-2019,Wednesday,0,P2018-4,P2019-1
19-Jan-2019,Thursday,0,P2018-4,P2019-1
20-Jan-2019,Friday,0,P2018-4,P2019-1
21-Jan-2019,Saturday,0,P2018-4,P2019-1
22-Jan-2019,Sunday,0,P2018-4,P2019-1
23-Jan-2019,Monday,0,P2018-4,P2019-1
24-Jan-2019,Tuesday,0,P2018-4,P2019-1
25-Jan-2019,Wednesday,0,P2018-4,P2019-1
26-Jan-2019,Thursday,0,P2018-4,P2019-1
27-Jan-2019,Friday,0,P2018-4,P2019-1
28-Jan-2019,Saturday,0,P2018-4,P2019-1
29-Jan-2019,Sunday,0,P2018-4,P2019-1
30-Jan-2019,Monday,0,P2018-4,P2019-1
31-Jan-2019,Tuesday,0,P2018-4,P2019-1
01-Feb-2019,Wednesday,0,P2018-4,P2019-1
02-Feb-2019,Thursday,0,P2018-4,P2019-1
03-Feb-2019,Friday,0,P2018-4,P2019-1
04-Feb-2019,Saturday,0,P2018-4,P2019-1
05-Feb-2019,Sunday,0,P2018-4,P2019-1
06-Feb-2019,Monday,1,P2018-4,P2019-1
07-Feb-2019,Tuesday,0,P2018-4,P2019-1
08-Feb-2019,Wednesday,0,P2018-4,P2019-1
09-Feb-2019,Thursday,0,P2018-4,P2019-1
10-Feb-2019,Friday,0,P2018-4,P2019-1
11-Feb-2019,Saturday,0,P2018-4,P2019-1
12-Feb-2019,Sunday,0,P2018-4,P2019-1
13-Feb-2019,Monday,0,P2018-4,P2019-1
14-Feb-2019,Tuesday,0,P2018-4,P2019-1
15-Feb-2019,Wednesday,0,P2018-4,P2019-1
16-Feb-2019,Thursday,0,P2018-4,P2019-1
17-Feb-2019,Friday,0,P2018-4,P2019-1
18-Feb-2019,Saturday,0,P2018-4,P2019-1
19-Feb-2019,Sunday,0,P2018-4,P2019-1
20-Feb-2019,Monday,0,P2018-4,P2019-1
21-Feb-2019,Tuesday,0,P2018-4,P2019-1
22-Feb-2019,Wednesday,0,P2018-4,P2019-1
23-Feb-2019,Thursday,0,P2018-4,P2019-1
24-Feb-2019,Friday,0,P2018-4,P2019-1
25-Feb-2019,Saturday,0,P2018-4,P2019-1
26-Feb-2019,Sunday,0,P2018-4,P2019-1
27-Feb-2019,Monday,0,P2018-4,P2019-1
28-Feb-2019,Tuesday,0,P2018-4,P2019-1
01-Mar-2019,Wednesday,0,P2018-4,P2019-1
02-Mar-2019,Thursday,1,P2018-4,P2019-1
03-Mar-2019,Friday,0,P2018-4,P2019-1
04-Mar-2019,Saturday,1,P2018-4,P2019-1
05-Mar-2019,Sunday,1,P2018-4,P2019-1
06-Mar-2019,Monday,1,P2018-4,P2019-1
07-Mar-2019,Tuesday,0,P2018-4,P2019-1
08-Mar-2019,Wednesday,0,P2018-4,P2019-1
09-Mar-2019,Thursday,0,P2018-4,P2019-1
10-Mar-2019,Friday,0,P2018-4,P2019-1
11-Mar-2019,Saturday,0,P2018-4,P2019-1
12-Mar-2019,Sunday,0,P2018-4,P2019-1
13-Mar-2019,Monday,0,P2018-4,P2019-1
14-Mar-2019,Tuesday,0,P2018-4,P2019-1
15-Mar-2019,Wednesday,0,P2018-4,P2019-1
16-Mar-2019,Thursday,0,P2018-4,P2019-1
17-Mar-2019,Friday,0,P2018-4,P2019-1
18-Mar-2019,Saturday,0,P2018-4,P2019-1
19-Mar-2019,Sunday,0,P2018-4,P2019-1
20-Mar-2019,Monday,0,P2018-4,P2019-1
21-Mar-2019,Tuesday,0,P2018-4,P2019-1
22-Mar-2019,Wednesday,0,P2018-4,P2019-1
23-Mar-2019,Thursday,0,P2018-4,P2019-1
24-Mar-2019,Friday,0,P2018-4,P2019-1
25-Mar-2019,Saturday,0,P2018-4,P2019-1
26-Mar-2019,Sunday,0,P2018-4,P2019-1
27-Mar-2019,Monday,0,P2018-4,P2019-1
28-Mar-2019,Tuesday,0,P2018-4,P2019-1
29-Mar-2019,Wednesday,0,P2018-4,P2019-1
30-Mar-2019,Thursday,0,P2018-4,P2019-1
31-Mar-2019,Friday,0,P2018-4,P2019-1
01-Apr-2019,Saturday,0,P2019-1,P2019-2
02-Apr-2019,Sunday,0,P2019-1,P2019-2
03-Apr-2019,Monday,0,P2019-1,P2019-2
04-Apr-2019,Tuesday,0,P2019-1,P2019-2
05-Apr-2019,Wednesday,0,P2019-1,P2019-2
06-Apr-2019,Thursday,0,P2019-1,P2019-2
07-Apr-2019,Friday,0,P2019-1,P2019-2
08-Apr-2019,Saturday,0,P2019-1,P2019-2
09-Apr-2019,Sunday,0,P2019-1,P2019-2
10-Apr-2019,Monday,1,P2019-1,P2019-2
11-Apr-2019,Tuesday,0,P2019-1,P2019-2
12-Apr-2019,Wednesday,0,P2019-1,P2019-2
13-Apr-2019,Thursday,1,P2019-1,P2019-2
14-Apr-2019,Friday,0,P2019-1,P2019-2
15-Apr-2019,Saturday,0,P2019-1,P2019-2
16-Apr-2019,Sunday,0,P2019-1,P2019-2
17-Apr-2019,Monday,0,P2019-1,P2019-2
18-Apr-2019,Tuesday,0,P2019-1,P2019-2
19-Apr-2019,Wednesday,0,P2019-1,P2019-2
20-Apr-2019,Thursday,0,P2019-1,P2019-2
21-Apr-2019,Friday,0,P2019-1,P2019-2
22-Apr-2019,Saturday,0,P2019-1,P2019-2
23-Apr-2019,Sunday,0,P2019-1,P2019-2
24-Apr-2019,Monday,0,P2019-1,P2019-2
25-Apr-2019,Tuesday,0,P2019-1,P2019-2
26-Apr-2019,Wednesday,0,P2019-1,P2019-2
27-Apr-2019,Thursday,0,P2019-1,P2019-2
28-Apr-2019,Friday,0,P2019-1,P2019-2
29-Apr-2019,Saturday,0,P2019-1,P2019-2
30-Apr-2019,Sunday,0,P2019-1,P2019-2
01-May-2019,Monday,1,P2019-1,P2019-2
02-May-2019,Tuesday,0,P2019-1,P2019-2
03-May-2019,Wednesday,0,P2019-1,P2019-2
04-May-2019,Thursday,0,P2019-1,P2019-2
05-May-2019,Friday,0,P2019-1,P2019-2
06-May-2019,Saturday,0,P2019-1,P2019-2
07-May-2019,Sunday,0,P2019-1,P2019-2
08-May-2019,Monday,0,P2019-1,P2019-2
09-May-2019,Tuesday,0,P2019-1,P2019-2
10-May-2019,Wednesday,0,P2019-1,P2019-2
11-May-2019,Thursday,0,P2019-1,P2019-2
12-May-2019,Friday,0,P2019-1,P2019-2
13-May-2019,Saturday,0,P2019-1,P2019-2
14-May-2019,Sunday,0,P2019-1,P2019-2
15-May-2019,Monday,0,P2019-1,P2019-2
16-May-2019,Tuesday,0,P2019-1,P2019-2
17-May-2019,Wednesday,0,P2019-1,P2019-2
18-May-2019,Thursday,0,P2019-1,P2019-2
19-May-2019,Friday,0,P2019-1,P2019-2
20-May-2019,Saturday,0,P2019-1,P2019-2
21-May-2019,Sunday,0,P2019-1,P2019-2
22-May-2019,Monday,0,P2019-1,P2019-2
23-May-2019,Tuesday,0,P2019-1,P2019-2
24-May-2019,Wednesday,0,P2019-1,P2019-2
25-May-2019,Thursday,1,P2019-1,P2019-2
26-May-2019,Friday,0,P2019-1,P2019-2
27-May-2019,Saturday,0,P2019-1,P2019-2
28-May-2019,Sunday,0,P2019-1,P2019-2
29-May-2019,Monday,0,P2019-1,P2019-2
30-May-2019,Tuesday,0,P2019-1,P2019-2
31-May-2019,Wednesday,0,P2019-1,P2019-2
01-Jun-2019,Thursday,0,P2019-1,P2019-2
02-Jun-2019,Friday,0,P2019-1,P2019-2
03-Jun-2019,Saturday,0,P2019-1,P2019-2
04-Jun-2019,Sunday,0,P2019-1,P2019-2
05-Jun-2019,Monday,0,P2019-1,P2019-2
06-Jun-2019,Tuesday,0,P2019-1,P2019-2
07-Jun-2019,Wednesday,0,P2019-1,P2019-2
08-Jun-2019,Thursday,0,P2019-1,P2019-2
09-Jun-2019,Friday,0,P2019-1,P2019-2
10-Jun-2019,Saturday,0,P2019-1,P2019-2
11-Jun-2019,Sunday,0,P2019-1,P2019-2
12-Jun-2019,Monday,0,P2019-1,P2019-2
13-Jun-2019,Tuesday,0,P2019-1,P2019-2
14-Jun-2019,Wednesday,1,P2019-1,P2019-2
15-Jun-2019,Thursday,0,P2019-1,P2019-2
16-Jun-2019,Friday,0,P2019-1,P2019-2
17-Jun-2019,Saturday,0,P2019-1,P2019-2
18-Jun-2019,Sunday,0,P2019-1,P2019-2
19-Jun-2019,Monday,0,P2019-1,P2019-2
20-Jun-2019,Tuesday,0,P2019-1,P2019-2
21-Jun-2019,Wednesday,0,P2019-1,P2019-2
22-Jun-2019,Thursday,0,P2019-1,P2019-2
23-Jun-2019,Friday,0,P2019-1,P2019-2
24-Jun-2019,Saturday,0,P2019-1,P2019-2
25-Jun-2019,Sunday,0,P2019-1,P2019-2
26-Jun-2019,Monday,0,P2019-1,P2019-2
27-Jun-2019,Tuesday,0,P2019-1,P2019-2
28-Jun-2019,Wednesday,0,P2019-1,P2019-2
29-Jun-2019,Thursday,0,P2019-1,P2019-2
30-Jun-2019,Friday,0,P2019-1,P2019-2
01-Jul-2019,Saturday,0,P2019-2,P2019-3
02-Jul-2019,Sunday,0,P2019-2,P2019-3
03-Jul-2019,Monday,0,P2019-2,P2019-3
04-Jul-2019,Tuesday,0,P2019-2,P2019-3
05-Jul-2019,Wednesday,0,P2019-2,P2019-3
06-Jul-2019,Thursday,0,P2019-2,P2019-3
07-Jul-2019,Friday,0,P2019-2,P2019-3
08-Jul-2019,Saturday,0,P2019-2,P2019-3
09-Jul-2019,Sunday,0,P2019-2,P2019-3
10-Jul-2019,Monday,0,P2019-2,P2019-3
11-Jul-2019,Tuesday,0,P2019-2,P2019-3
12-Jul-2019,Wednesday,0,P2019-2,P2019-3
13-Jul-2019,Thursday,0,P2019-2,P2019-3
14-Jul-2019,Friday,1,P2019-2,P2019-3
15-Jul-2019,Saturday,0,P2019-2,P2019-3
16-Jul-2019,Sunday,0,P2019-2,P2019-3
17-Jul-2019,Monday,0,P2019-2,P2019-3
18-Jul-2019,Tuesday,0,P2019-2,P2019-3
19-Jul-2019,Wednesday,0,P2019-2,P2019-3
20-Jul-2019,Thursday,1,P2019-2,P2019-3
21-Jul-2019,Friday,1,P2019-2,P2019-3
22-Jul-2019,Saturday,1,P2019-2,P2019-3
23-Jul-2019,Sunday,1,P2019-2,P2019-3
24-Jul-2019,Monday,1,P2019-2,P2019-3
25-Jul-2019,Tuesday,1,P2019-2,P2019-3
26-Jul-2019,Wednesday,0,P2019-2,P2019-3
27-Jul-2019,Thursday,0,P2019-2,P2019-3
28-Jul-2019,Friday,0,P2019-2,P2019-3
29-Jul-2019,Saturday,0,P2019-2,P2019-3
30-Jul-2019,Sunday,0,P2019-2,P2019-3
31-Jul-2019,Monday,1,P2019-2,P2019-3
01-Aug-2019,Tuesday,0,P2019-2,P2019-3
02-Aug-2019,Wednesday,0,P2019-2,P2019-3
03-Aug-2019,Thursday,0,P2019-2,P2019-3
04-Aug-2019,Friday,0,P2019-2,P2019-3
05-Aug-2019,Saturday,0,P2019-2,P2019-3
06-Aug-2019,Sunday,0,P2019-2,P2019-3
07-Aug-2019,Monday,0,P2019-2,P2019-3
08-Aug-2019,Tuesday,0,P2019-2,P2019-3
09-Aug-2019,Wednesday,0,P2019-2,P2019-3
10-Aug-2019,Thursday,0,P2019-2,P2019-3
11-Aug-2019,Friday,0,P2019-2,P2019-3
12-Aug-2019,Saturday,0,P2019-2,P2019-3
13-Aug-2019,Sunday,0,P2019-2,P2019-3
14-Aug-2019,Monday,0,P2019-2,P2019-3
15-Aug-2019,Tuesday,0,P2019-2,P2019-3
16-Aug-2019,Wednesday,0,P2019-2,P2019-3
17-Aug-2019,Thursday,0,P2019-2,P2019-3
18-Aug-2019,Friday,0,P2019-2,P2019-3
19-Aug-2019,Saturday,0,P2019-2,P2019-3
20-Aug-2019,Sunday,0,P2019-2,P2019-3
21-Aug-2019,Monday,0,P2019-2,P2019-3
22-Aug-2019,Tuesday,0,P2019-2,P2019-3
23-Aug-2019,Wednesday,0,P2019-2,P2019-3
24-Aug-2019,Thursday,0,P2019-2,P2019-3
25-Aug-2019,Friday,0,P2019-2,P2019-3
26-Aug-2019,Saturday,0,P2019-2,P2019-3
27-Aug-2019,Sunday,0,P2019-2,P2019-3
28-Aug-2019,Monday,0,P2019-2,P2019-3
29-Aug-2019,Tuesday,0,P2019-2,P2019-3
30-Aug-2019,Wednesday,0,P2019-2,P2019-3
31-Aug-2019,Thursday,0,P2019-2,P2019-3
01-Sep-2019,Friday,0,P2019-2,P2019-3
02-Sep-2019,Saturday,1,P2019-2,P2019-3
03-Sep-2019,Sunday,0,P2019-2,P2019-3
04-Sep-2019,Monday,0,P2019-2,P2019-3
05-Sep-2019,Tuesday,0,P2019-2,P2019-3
06-Sep-2019,Wednesday,0,P2019-2,P2019-3
07-Sep-2019,Thursday,0,P2019-2,P2019-3
08-Sep-2019,Friday,0,P2019-2,P2019-3
09-Sep-2019,Saturday,0,P2019-2,P2019-3
10-Sep-2019,Sunday,0,P2019-2,P2019-3
11-Sep-2019,Monday,0,P2019-2,P2019-3
12-Sep-2019,Tuesday,0,P2019-2,P2019-3
13-Sep-2019,Wednesday,0,P2019-2,P2019-3
14-Sep-2019,Thursday,0,P2019-2,P2019-3
15-Sep-2019,Friday,0,P2019-2,P2019-3
16-Sep-2019,Saturday,0,P2019-2,P2019-3
17-Sep-2019,Sunday,0,P2019-2,P2019-3
18-Sep-2019,Monday,0,P2019-2,P2019-3
19-Sep-2019,Tuesday,0,P2019-2,P2019-3
20-Sep-2019,Wednesday,0,P2019-2,P2019-3
21-Sep-2019,Thursday,0,P2019-2,P2019-3
22-Sep-2019,Friday,0,P2019-2,P2019-3
23-Sep-2019,Saturday,0,P2019-2,P2019-3
24-Sep-2019,Sunday,0,P2019-2,P2019-3
25-Sep-2019,Monday,0,P2019-2,P2019-3
26-Sep-2019,Tuesday,0,P2019-2,P2019-3
27-Sep-2019,Wednesday,0,P2019-2,P2019-3
28-Sep-2019,Thursday,0,P2019-2,P2019-3
29-Sep-2019,Friday,0,P2019-2,P2019-3
30-Sep-2019,Saturday,0,P2019-2,P2019-3
01-Oct-2019,Sunday,0,P2019-3,P2019-4
02-Oct-2019,Monday,0,P2019-3,P2019-4
03-Oct-2019,Tuesday,0,P2019-3,P2019-4
04-Oct-2019,Wednesday,0,P2019-3,P2019-4
05-Oct-2019,Thursday,0,P2019-3,P2019-4
06-Oct-2019,Friday,0,P2019-3,P2019-4
07-Oct-2019,Saturday,0,P2019-3,P2019-4
08-Oct-2019,Sunday,0,P2019-3,P2019-4
09-Oct-2019,Monday,1,P2019-3,P2019-4
10-Oct-2019,Tuesday,0,P2019-3,P2019-4
11-Oct-2019,Wednesday,0,P2019-3,P2019-4
12-Oct-2019,Thursday,0,P2019-3,P2019-4
13-Oct-2019,Friday,0,P2019-3,P2019-4
14-Oct-2019,Saturday,0,P2019-3,P2019-4
15-Oct-2019,Sunday,0,P2019-3,P2019-4
16-Oct-2019,Monday,0,P2019-3,P2019-4
17-Oct-2019,Tuesday,0,P2019-3,P2019-4
18-Oct-2019,Wednesday,0,P2019-3,P2019-4
19-Oct-2019,Thursday,0,P2019-3,P2019-4
20-Oct-2019,Friday,0,P2019-3,P2019-4
21-Oct-2019,Saturday,0,P2019-3,P2019-4
22-Oct-2019,Sunday,0,P2019-3,P2019-4
23-Oct-2019,Monday,0,P2019-3,P2019-4
24-Oct-2019,Tuesday,0,P2019-3,P2019-4
25-Oct-2019,Wednesday,0,P2019-3,P2019-4
26-Oct-2019,Thursday,0,P2019-3,P2019-4
27-Oct-2019,Friday,0,P2019-3,P2019-4
28-Oct-2019,Saturday,0,P2019-3,P2019-4
29-Oct-2019,Sunday,0,P2019-3,P2019-4
30-Oct-2019,Monday,0,P2019-3,P2019-4
31-Oct-2019,Tuesday,0,P2019-3,P2019-4
01-Nov-2019,Wednesday,0,P2019-3,P2019-4
02-Nov-2019,Thursday,0,P2019-3,P2019-4
03-Nov-2019,Friday,0,P2019-3,P2019-4
04-Nov-2019,Saturday,0,P2019-3,P2019-4
05-Nov-2019,Sunday,0,P2019-3,P2019-4
06-Nov-2019,Monday,0,P2019-3,P2019-4
07-Nov-2019,Tuesday,0,P2019-3,P2019-4
08-Nov-2019,Wednesday,0,P2019-3,P2019-4
09-Nov-2019,Thursday,0,P2019-3,P2019-4
10-Nov-2019,Friday,0,P2019-3,P2019-4
11-Nov-2019,Saturday,0,P2019-3,P2019-4
12-Nov-2019,Sunday,0,P2019-3,P2019-4
13-Nov-2019,Monday,0,P2019-3,P2019-4
14-Nov-2019,Tuesday,0,P2019-3,P2019-4
15-Nov-2019,Wednesday,0,P2019-3,P2019-4
16-Nov-2019,Thursday,0,P2019-3,P2019-4
17-Nov-2019,Friday,0,P2019-3,P2019-4
18-Nov-2019,Saturday,1,P2019-3,P2019-4
19-Nov-2019,Sunday,0,P2019-3,P2019-4
20-Nov-2019,Monday,0,P2019-3,P2019-4
21-Nov-2019,Tuesday,0,P2019-3,P2019-4
22-Nov-2019,Wednesday,1,P2019-3,P2019-4
23-Nov-2019,Thursday,1,P2019-3,P2019-4
24-Nov-2019,Friday,1,P2019-3,P2019-4
25-Nov-2019,Saturday,0,P2019-3,P2019-4
26-Nov-2019,Sunday,0,P2019-3,P2019-4
27-Nov-2019,Monday,0,P2019-3,P2019-4
28-Nov-2019,Tuesday,0,P2019-3,P2019-4
29-Nov-2019,Wednesday,0,P2019-3,P2019-4
30-Nov-2019,Thursday,0,P2019-3,P2019-4
01-Dec-2019,Friday,0,P2019-3,P2019-4
02-Dec-2019,Saturday,0,P2019-3,P2019-4
03-Dec-2019,Sunday,0,P2019-3,P2019-4
