venue_code,cuisine_type,location_label,district_code,seating_capacity
V0150,Category-05,Region-022,D619,53
V0583,Category-05,Region-007,D208,24
V0224,Category-05,Region-007,D991,81
V0172,Category-05,Region-006,D740,11
V0329,Category-05,Region-006,D405,95
V0299,Category-14,Region-028,D961,26
V0646,Category-14,Region-028,D754,39
V0630,Category-14,Region-001,D619,51
V0200,Category-14,Region-001,D723,32
V0788,Category-14,Region-001,D303,69
V0168,Category-14,Region-021,D256,62
V0554,Category-14,Region-021,D482,14
V0129,Category-14,Region-102,D880,71
V0597,Category-14,Region-102,D265,78
V0030,Category-14,Region-075,D652,61
V0248,Category-14,Region-075,D897,55
V0125,Category-14,Region-046,D643,91
V0402,Category-14,Region-046,D100,105
V0345,Category-14,Region-033,D713,61
V0678,Category-14,Region-033,D431,51
V0495,Category-14,Region-033,D600,55
V0545,Category-14,Region-024,D119,115
V0716,Category-14,Region-024,D214,57
V0140,Category-14,Region-024,D471,88
V0061,Category-14,Region-018,D999,51
V0726,Category-14,Region-018,D951,57
V0283,Category-14,Region-098,D926,95
V0189,Category-14,Region-098,D414,24
V0629,Category-03,Region-028,D345,78
V0539,Category-03,Region-028,D159,23
V0255,Category-03,Region-063,D346,57
V0334,Category-03,Region-063,D999,51
V0138,Category-03,Region-063,D680,30
V0657,Category-03,Region-001,D180,30
V0494,Category-03,Region-001,D187,42
V0509,Category-03,Region-001,D849,32
V0562,Category-03,Region-001,D597,61
V0344,Category-03,Region-001,D935,48
V0648,Category-03,Region-001,D170,111
V0354,Category-03,Region-001,D878,106
V0778,Category-03,Region-001,D645,88
V0289,Category-03,Region-001,D884,45
V0745,Category-03,Region-001,D228,53
V0714,Category-03,Region-001,D231,101
V0078,Category-03,Region-001,D775,91
V0176,Category-03,Region-001,D586,61
V0167,Category-03,Region-001,D662,42
V0225,Category-03,Region-001,D269,67
V0156,Category-03,Region-001,D371,54
V0634,Category-03,Region-001,D640,43
V0389,Category-03,Region-001,D993,84
V0760,Category-03,Region-001,D721,20
V0768,Category-03,Region-001,D533,93
V0563,Category-03,Region-001,D316,33
V0522,Category-03,Region-001,D652,27
V0113,Category-03,Region-001,D873,92
V0042,Category-03,Region-001,D847,91
V0619,Category-03,Region-071,D806,45
V0293,Category-03,Region-071,D305,40
V0175,Category-03,Region-071,D830,50
V0461,Category-03,Region-071,D419,17
V0418,Category-03,Region-071,D508,26
V0596,Category-03,Region-071,D787,41
V0266,Category-03,Region-071,D765,91
V0472,Category-03,Region-071,D482,53
V0556,Category-03,Region-071,D548,81
V0076,Category-03,Region-071,D629,83
V0632,Category-03,Region-030,D562,116
V0506,Category-03,Region-030,D223,63
V0062,Category-03,Region-030,D353,80
V0686,Category-03,Region-030,D330,54
V0662,Category-03,Region-041,D165,77
V0088,Category-03,Region-041,D446,61
V0412,Category-03,Region-102,D121,78
V0190,Category-03,Region-102,D702,34
V0696,Category-03,Region-102,D667,34
V0568,Category-03,Region-102,D335,81
V0447,Category-03,Region-102,D702,72
V0501,Category-03,Region-102,D325,58
V0282,Category-03,Region-071,D107,27
V0593,Category-03,Region-071,D172,45
V0360,Category-03,Region-075,D824,30
V0285,Category-03,Region-075,D746,110
V0645,Category-03,Region-075,D160,39
V0764,Category-03,Region-075,D334,54
V0049,Category-03,Region-075,D169,96
V0388,Category-03,Region-075,D132,36
V0740,Category-03,Region-075,D980,37
V0570,Category-03,Region-075,D438,31
V0586,Category-03,Region-075,D172,82
V0550,Category-03,Region-075,D626,86
V0782,Category-03,Region-075,D343,105
V0752,Category-03,Region-080,D385,49
V0449,Category-03,Region-080,D785,60
V0315,Category-03,Region-080,D597,118
V0515,Category-03,Region-080,D319,33
V0733,Category-03,Region-080,D652,56
V0279,Category-03,Region-080,D235,60
V0415,Category-03,Region-080,D840,118
V0493,Category-03,Region-080,D684,20
V0264,Category-03,Region-078,D690,37
V0440,Category-03,Region-078,D584,77
V0085,Category-03,Region-078,D348,48
V0409,Category-03,Region-059,D903,56
V0518,Category-03,Region-059,D584,84
V0060,Category-03,Region-059,D926,23
V0474,Category-03,Region-059,D516,53
V0664,Category-03,Region-023,D294,58
V0677,Category-03,Region-023,D196,111
V0157,Category-03,Region-101,D199,45
V0407,Category-03,Region-101,D774,81
V0566,Category-03,Region-101,D541,84
V0435,Category-03,Region-038,D462,28
V0774,Category-03,Region-038,D533,92
V0540,Category-03,Region-038,D520,61
V0196,Category-03,Region-038,D578,114
V0280,Category-03,Region-056,D984,109
V0040,Category-03,Region-056,D846,20
V0534,Category-03,Region-024,D155,11
V0580,Category-03,Region-024,D789,40
V0362,Category-03,Region-024,D769,40
V0537,Category-03,Region-024,D761,94
V0359,Category-03,Region-047,D200,51
V0210,Category-03,Region-047,D162,90
V0260,Category-03,Region-047,D512,93
V0573,Category-03,Region-047,D845,57
V0370,Category-03,Region-050,D447,98
V0443,Category-03,Region-050,D919,60
V0673,Category-03,Region-045,D982,29
V0551,Category-03,Region-045,D211,43
V0511,Category-03,Region-045,D354,43
V0142,Category-03,Region-008,D296,29
V0119,Category-03,Region-008,D294,25
V0488,Category-03,Region-039,D649,106
V0497,Category-03,Region-039,D559,80
V0191,Category-03,Region-096,D243,95
V0508,Category-03,Region-096,D532,92
V0742,Category-03,Region-004,D287,62
V0813,Category-03,Region-004,D385,84
V0787,Category-03,Region-004,D573,40
V0691,Category-03,Region-004,D355,21
V0031,Category-03,Region-058,D995,83
V0195,Category-03,Region-058,D177,70
V0352,Category-03,Region-083,D553,38
V0824,Category-03,Region-083,D927,41
V0701,Category-03,Region-083,D982,97
V0600,Category-03,Region-083,D976,105
V0685,Category-03,Region-083,D663,82
V0096,Category-03,Region-083,D200,111
V0564,Category-03,Region-083,D151,39
V0045,Category-03,Region-009,D767,108
V0542,Category-03,Region-009,D653,108
V0333,Category-03,Region-009,D956,82
V0804,Category-03,Region-009,D115,105
V0023,Category-03,Region-009,D195,118
V0369,Category-03,Region-009,D871,20
V0640,Category-03,Region-009,D969,29
V0705,Category-03,Region-064,D342,37
V0014,Category-03,Region-064,D270,38
V0330,Category-03,Region-020,D516,119
V0351,Category-03,Region-020,D597,41
V0109,Category-03,Region-052,D592,47
V0382,Category-03,Region-052,D318,83
V0086,Category-03,Region-098,D985,61
V0437,Category-03,Region-098,D510,22
V0481,Category-03,Region-098,D160,65
V0452,Category-03,Region-098,D268,58
V0386,Category-03,Region-098,D488,26
V0035,Category-03,Region-098,D102,11
V0005,Category-03,Region-103,D499,17
V0121,Category-03,Region-103,D371,23
V0521,Category-03,Region-005,D902,67
V0288,Category-03,Region-005,D903,36
V0052,Category-03,Region-005,D565,75
V0552,Category-03,Region-005,D392,105
V0243,Category-03,Region-053,D533,71
V0097,Category-03,Region-053,D813,102
V0165,Category-03,Region-015,D848,22
V0321,Category-03,Region-015,D902,65
V0577,Category-03,Region-085,D669,10
V0100,Category-03,Region-085,D777,51
V0015,Category-03,Region-031,D835,40
V0206,Category-03,Region-031,D598,80
V0094,Category-03,Region-079,D258,21
V0239,Category-03,Region-079,D294,96
V0270,Category-03,Region-042,D403,109
V0746,Category-03,Region-042,D322,62
V0575,Category-03,Region-042,D159,108
V0697,Category-03,Region-094,D693,43
V0707,Category-03,Region-094,D853,46
V0007,Category-03,Region-069,D655,27
V0605,Category-03,Region-069,D162,37
V0112,Category-03,Region-069,D865,52
V0765,Category-03,Region-069,D421,54
V0559,Category-03,Region-069,D158,67
V0572,Category-03,Region-010,D151,57
V0205,Category-03,Region-010,D698,74
V0659,Category-03,Region-087,D588,45
V0732,Category-03,Region-087,D614,44
V0306,Category-03,Region-001,D973,102
V0048,Category-03,Region-001,D643,55
V0480,Category-03,Region-084,D261,19
V0770,Category-03,Region-084,D158,97
V0006,Category-03,Region-032,D620,58
V0371,Category-03,Region-032,D182,73
V0041,Category-03,Region-074,D971,74
V0706,Category-03,Region-074,D290,100
V0067,Category-03,Region-034,D170,101
V0532,Category-03,Region-034,D709,112
V0259,Category-08,Region-028,D169,43
V0227,Category-08,Region-028,D791,100
V0305,Category-08,Region-028,D982,15
V0420,Category-08,Region-063,D340,47
V0487,Category-08,Region-063,D513,80
V0703,Category-08,Region-063,D222,67
V0820,Category-08,Region-063,D683,43
V0478,Category-08,Region-063,D352,55
V0828,Category-08,Region-063,D692,98
V0642,Category-08,Region-063,D708,55
V0527,Category-08,Region-063,D140,36
V0729,Category-08,Region-063,D734,56
V0265,Category-08,Region-001,D183,16
V0571,Category-08,Region-001,D529,16
V0267,Category-08,Region-001,D773,47
V0013,Category-08,Region-001,D697,53
V0666,Category-08,Region-001,D678,119
V0582,Category-08,Region-001,D635,112
V0731,Category-08,Region-019,D423,43
V0535,Category-08,Region-019,D367,23
V0560,Category-08,Region-019,D309,101
V0711,Category-08,Region-019,D785,111
V0054,Category-08,Region-019,D833,18
V0633,Category-08,Region-019,D421,97
V0754,Category-08,Region-030,D344,17
V0465,Category-08,Region-030,D371,99
V0218,Category-08,Region-102,D505,34
V0348,Category-08,Region-102,D234,104
V0075,Category-08,Region-102,D787,34
V0309,Category-08,Region-102,D760,52
V0442,Category-08,Region-025,D407,18
V0670,Category-08,Region-025,D568,98
V0275,Category-08,Region-075,D423,83
V0428,Category-08,Region-075,D869,54
V0801,Category-08,Region-075,D174,113
V0602,Category-08,Region-075,D109,102
V0093,Category-08,Region-080,D569,76
V0327,Category-08,Region-080,D736,49
V0046,Category-08,Region-055,D676,21
V0025,Category-08,Region-055,D202,88
V0235,Category-08,Region-016,D175,14
V0594,Category-08,Region-016,D650,75
V0769,Category-08,Region-016,D318,94
V0008,Category-08,Region-016,D618,119
V0638,Category-08,Region-016,D371,97
V0489,Category-08,Region-016,D235,92
V0810,Category-08,Region-016,D457,95
V0116,Category-08,Region-016,D170,66
V0197,Category-08,Region-016,D350,27
V0065,Category-08,Region-016,D478,107
V0311,Category-08,Region-016,D391,61
V0719,Category-08,Region-036,D261,114
V0753,Category-08,Region-036,D548,10
V0038,Category-08,Region-036,D953,46
V0775,Category-08,Region-036,D656,109
V0286,Category-08,Region-046,D820,20
V0517,Category-08,Region-046,D409,110
V0276,Category-08,Region-078,D726,58
V0074,Category-08,Region-078,D926,114
V0453,Category-08,Region-078,D769,19
V0220,Category-08,Region-078,D641,111
V0792,Category-08,Region-078,D108,76
V0102,Category-08,Region-078,D783,11
V0114,Category-08,Region-078,D936,69
V0108,Category-08,Region-078,D667,113
V0308,Category-08,Region-090,D406,39
V0793,Category-08,Region-090,D779,51
V0405,Category-08,Region-090,D206,115
V0483,Category-08,Region-059,D999,109
V0699,Category-08,Region-059,D237,17
V0536,Category-08,Region-059,D370,106
V0815,Category-08,Region-059,D218,34
V0628,Category-08,Region-059,D209,64
V0379,Category-08,Region-023,D860,14
V0011,Category-08,Region-023,D666,84
V0612,Category-08,Region-101,D259,18
V0365,Category-08,Region-101,D378,76
V0607,Category-08,Region-037,D388,94
V0679,Category-08,Region-037,D719,41
V0373,Category-08,Region-037,D315,87
V0417,Category-08,Region-002,D834,44
V0613,Category-08,Region-002,D451,65
V0135,Category-08,Region-002,D308,102
V0016,Category-08,Region-002,D803,42
V0660,Category-08,Region-002,D749,112
V0717,Category-08,Region-002,D973,106
V0477,Category-08,Region-002,D370,28
V0576,Category-08,Region-002,D617,102
V0245,Category-08,Region-038,D600,87
V0722,Category-08,Region-038,D357,102
V0298,Category-08,Region-011,D966,53
V0296,Category-08,Region-011,D152,72
V0669,Category-08,Region-011,D194,102
V0034,Category-08,Region-013,D749,44
V0381,Category-08,Region-013,D533,111
V0611,Category-08,Region-013,D949,53
V0111,Category-08,Region-056,D383,102
V0017,Category-08,Region-056,D145,29
V0103,Category-08,Region-056,D103,66
V0741,Category-08,Region-056,D441,42
V0457,Category-08,Region-056,D889,118
V0814,Category-08,Region-056,D233,66
V0237,Category-08,Region-056,D752,98
V0627,Category-08,Region-033,D368,32
V0027,Category-08,Region-033,D265,88
V0546,Category-08,Region-033,D859,63
V0203,Category-08,Region-033,D552,31
V0180,Category-08,Region-033,D664,45
V0750,Category-08,Region-033,D822,102
V0526,Category-08,Region-033,D537,37
V0171,Category-08,Region-061,D674,63
V0479,Category-08,Region-061,D109,114
V0378,Category-08,Region-061,D214,90
V0496,Category-08,Region-061,D177,34
V0317,Category-08,Region-047,D807,61
V0254,Category-08,Region-047,D252,65
V0503,Category-08,Region-047,D658,49
V0251,Category-08,Region-047,D136,107
V0242,Category-08,Region-047,D954,43
V0294,Category-08,Region-050,D478,55
V0785,Category-08,Region-050,D696,61
V0147,Category-08,Region-027,D665,66
V0341,Category-08,Region-027,D251,46
V0187,Category-08,Region-027,D540,30
V0028,Category-08,Region-027,D230,25
V0399,Category-08,Region-027,D142,25
V0744,Category-08,Region-027,D415,80
V0089,Category-08,Region-027,D473,53
V0728,Category-08,Region-027,D915,45
V0565,Category-08,Region-043,D981,25
V0458,Category-08,Region-043,D140,23
V0755,Category-08,Region-045,D466,103
V0322,Category-08,Region-045,D315,12
V0133,Category-08,Region-045,D798,17
V0541,Category-08,Region-045,D355,69
V0790,Category-08,Region-045,D782,30
V0587,Category-08,Region-008,D205,34
V0291,Category-08,Region-008,D462,20
V0009,Category-08,Region-067,D898,57
V0622,Category-08,Region-067,D673,48
V0003,Category-08,Region-083,D995,32
V0784,Category-08,Region-083,D516,104
V0584,Category-08,Region-083,D735,98
V0463,Category-08,Region-049,D867,60
V0766,Category-08,Region-049,D258,79
V0148,Category-08,Region-040,D342,20
V0287,Category-08,Region-040,D985,108
V0300,Category-08,Region-040,D266,85
V0507,Category-08,Region-035,D919,35
V0747,Category-08,Region-035,D930,79
V0772,Category-08,Region-103,D281,65
V0485,Category-08,Region-103,D522,62
V0246,Category-08,Region-005,D125,111
V0776,Category-08,Region-005,D283,86
V0253,Category-08,Region-005,D854,73
V0466,Category-08,Region-051,D440,11
V0268,Category-08,Region-051,D901,15
V0601,Category-08,Region-091,D521,108
V0380,Category-08,Region-091,D921,42
V0066,Category-08,Region-082,D785,26
V0403,Category-08,Region-082,D984,80
V0758,Category-08,Region-082,D852,112
V0406,Category-08,Region-082,D930,50
V0152,Category-08,Region-092,D354,61
V0073,Category-08,Region-092,D373,49
V0207,Category-08,Region-054,D263,109
V0233,Category-08,Region-054,D906,42
V0459,Category-08,Region-048,D818,33
V0071,Category-08,Region-048,D210,91
V0492,Category-08,Region-015,D491,99
V0635,Category-08,Region-015,D993,99
V0182,Category-08,Region-015,D139,104
V0786,Category-08,Region-015,D979,108
V0353,Category-08,Region-015,D581,99
V0450,Category-08,Region-070,D327,91
V0675,Category-08,Region-070,D304,43
V0393,Category-08,Region-086,D936,113
V0547,Category-08,Region-086,D571,38
V0688,Category-08,Region-029,D458,27
V0392,Category-08,Region-029,D412,23
V0346,Category-08,Region-026,D940,68
V0278,Category-08,Region-026,D914,57
V0117,Category-08,Region-026,D992,104
V0498,Category-08,Region-026,D333,59
V0252,Category-08,Region-026,D328,64
V0107,Category-08,Region-076,D124,30
V0232,Category-08,Region-076,D775,91
V0057,Category-08,Region-017,D297,30
V0154,Category-08,Region-017,D508,59
V0401,Category-08,Region-003,D436,24
V0625,Category-08,Region-003,D385,11
V0482,Category-08,Region-100,D985,68
V0238,Category-08,Region-100,D171,88
V0044,Category-08,Region-044,D891,61
V0149,Category-08,Region-044,D385,64
V0473,Category-08,Region-032,D459,87
V0174,Category-08,Region-032,D756,64
V0335,Category-11,Region-028,D621,82
V0808,Category-11,Region-028,D509,18
V0355,Category-11,Region-063,D795,10
V0374,Category-11,Region-063,D963,109
V0650,Category-11,Region-063,D649,67
V0020,Category-11,Region-102,D439,57
V0368,Category-11,Region-102,D128,22
V0072,Category-11,Region-075,D218,80
V0445,Category-11,Region-075,D998,10
V0127,Category-11,Region-016,D367,101
V0738,Category-11,Region-016,D282,97
V0188,Category-11,Region-016,D694,69
V0398,Category-11,Region-098,D371,48
V0318,Category-11,Region-098,D139,64
V0651,Category-02,Region-063,D211,76
V0631,Category-02,Region-063,D710,59
V0385,Category-02,Region-063,D544,110
V0292,Category-02,Region-063,D453,30
V0446,Category-02,Region-063,D846,89
V0724,Category-02,Region-063,D905,110
V0723,Category-02,Region-063,D421,107
V0743,Category-02,Region-063,D546,29
V0822,Category-02,Region-001,D720,56
V0561,Category-02,Region-001,D623,60
V0687,Category-02,Region-001,D218,113
V0070,Category-02,Region-001,D494,60
V0658,Category-02,Region-001,D690,82
V0529,Category-02,Region-001,D294,41
V0064,Category-02,Region-001,D360,109
V0656,Category-02,Region-071,D145,25
V0809,Category-02,Region-071,D825,76
V0241,Category-02,Region-071,D546,78
V0693,Category-02,Region-071,D101,41
V0647,Category-02,Region-019,D632,90
V0274,Category-02,Region-019,D925,110
V0247,Category-02,Region-019,D651,97
V0163,Category-02,Region-019,D803,114
V0423,Category-02,Region-075,D836,50
V0284,Category-02,Region-075,D859,45
V0425,Category-02,Region-075,D854,38
V0228,Category-02,Region-075,D786,51
V0126,Category-02,Region-075,D301,117
V0599,Category-02,Region-075,D472,31
V0091,Category-02,Region-075,D541,57
V0557,Category-02,Region-075,D171,103
V0179,Category-02,Region-016,D780,80
V0123,Category-02,Region-016,D438,10
V0603,Category-02,Region-046,D738,51
V0404,Category-02,Region-046,D421,110
V0614,Category-02,Region-046,D779,77
V0295,Category-02,Region-046,D968,67
V0090,Category-02,Region-078,D227,68
V0444,Category-02,Region-078,D837,44
V0422,Category-02,Region-078,D407,89
V0544,Category-02,Region-078,D619,98
V0709,Category-02,Region-078,D416,55
V0361,Category-02,Region-078,D782,74
V0460,Category-02,Region-002,D518,22
V0419,Category-02,Region-002,D434,42
V0128,Category-02,Region-033,D512,54
V0120,Category-02,Region-033,D813,103
V0796,Category-02,Region-024,D402,74
V0816,Category-02,Region-024,D667,119
V0598,Category-02,Region-024,D230,104
V0695,Category-02,Region-024,D296,119
V0800,Category-02,Region-047,D530,30
V0665,Category-02,Region-047,D780,32
V0336,Category-02,Region-045,D488,15
V0162,Category-02,Region-045,D793,33
V0680,Category-02,Region-087,D866,15
V0069,Category-02,Region-087,D278,87
V0390,Category-02,Region-087,D730,106
V0249,Category-02,Region-098,D682,112
V0357,Category-02,Region-098,D408,18
V0358,Category-02,Region-072,D515,113
V0221,Category-02,Region-072,D661,28
V0694,Category-02,Region-066,D953,115
V0805,Category-02,Region-066,D100,64
V0637,Category-02,Region-085,D411,23
V0181,Category-02,Region-085,D393,90
V0277,Category-02,Region-085,D315,52
V0297,Category-02,Region-088,D540,54
V0441,Category-02,Region-088,D904,94
V0364,Category-02,Region-079,D693,39
V0475,Category-02,Region-079,D721,15
V0829,Category-02,Region-066,D770,72
V0430,Category-02,Region-066,D429,64
V0383,Category-02,Region-093,D576,113
V0084,Category-02,Region-093,D552,19
V0229,Category-02,Region-062,D552,28
V0366,Category-02,Region-062,D791,32
V0269,Category-02,Region-087,D318,38
V0115,Category-02,Region-087,D623,110
V0236,Category-09,Region-063,D584,80
V0426,Category-09,Region-063,D912,20
V0588,Category-09,Region-063,D915,55
V0427,Category-09,Region-063,D853,78
V0319,Category-09,Region-063,D273,107
V0578,Category-09,Region-063,D774,117
V0226,Category-09,Region-063,D186,89
V0183,Category-09,Region-001,D390,96
V0010,Category-09,Region-001,D627,95
V0653,Category-09,Region-001,D779,78
V0538,Category-09,Region-071,D748,102
V0077,Category-09,Region-071,D734,52
V0387,Category-09,Region-071,D443,27
V0184,Category-09,Region-075,D195,103
V0555,Category-09,Region-075,D938,73
V0807,Category-09,Region-080,D869,79
V0620,Category-09,Region-080,D340,74
V0735,Category-09,Region-016,D788,105
V0222,Category-09,Region-016,D417,58
V0469,Category-09,Region-016,D330,33
V0484,Category-09,Region-036,D925,52
V0144,Category-09,Region-036,D303,11
V0470,Category-09,Region-036,D250,44
V0083,Category-09,Region-024,D125,32
V0799,Category-09,Region-024,D147,15
V0671,Category-09,Region-046,D350,55
V0186,Category-09,Region-046,D586,117
V0395,Category-09,Region-078,D725,35
V0081,Category-09,Region-078,D970,75
V0213,Category-09,Region-078,D886,29
